sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and double the size of original dataset lambda = 0.3,logistic_regression,0.8555 ± 0.0009,0.7466 ± 0.0020,0.7973 ± 0.0008,0.8160 ± 0.0005,0.8160 ± 0.0005,0.2273 ± 0.0030,0.5712 ± 0.0032,0.1068 ± 0.0033
HC with fairness constraints and double the size of original dataset lambda = 0.3,random_forest,0.8095 ± 0.0028,0.7712 ± 0.0012,0.7899 ± 0.0010,0.8032 ± 0.0012,0.8032 ± 0.0012,0.2972 ± 0.0049,0.5075 ± 0.0065,0.2168 ± 0.0065
HC with fairness constraints and double the size of original dataset lambda = 0.3,xgboost,0.8371 ± 0.0017,0.7739 ± 0.0034,0.8043 ± 0.0022,0.8185 ± 0.0018,0.8185 ± 0.0018,0.2789 ± 0.0037,0.5197 ± 0.0044,0.1660 ± 0.0036
HC with fairness constraints and double the size of original dataset lambda = 0.3,mlp,0.7934 ± 0.0093,0.7607 ± 0.0203,0.7764 ± 0.0062,0.7902 ± 0.0028,0.7902 ± 0.0028,0.2947 ± 0.0223,0.5136 ± 0.0153,0.2203 ± 0.0259
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,logistic_regression,0.8175 ± 0.0012,0.7919 ± 0.0009,0.8045 ± 0.0007,0.8157 ± 0.0007,0.8157 ± 0.0007,0.2945 ± 0.0019,0.5168 ± 0.0027,0.2048 ± 0.0041
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,random_forest,0.7912 ± 0.0029,0.7956 ± 0.0047,0.7934 ± 0.0018,0.8024 ± 0.0015,0.8024 ± 0.0015,0.3194 ± 0.0065,0.5007 ± 0.0056,0.2488 ± 0.0084
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,xgboost,0.8104 ± 0.0026,0.8075 ± 0.0036,0.8089 ± 0.0017,0.8179 ± 0.0015,0.8179 ± 0.0015,0.3286 ± 0.0079,0.4867 ± 0.0071,0.2416 ± 0.0089
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,mlp,0.7748 ± 0.0147,0.7759 ± 0.0284,0.7747 ± 0.0085,0.7850 ± 0.0052,0.7850 ± 0.0052,0.3126 ± 0.0305,0.5085 ± 0.0204,0.2516 ± 0.0427
HC with fairness constraints and equal number of protected attribute lambda = 0.3,logistic_regression,0.8498 ± 0.0019,0.7557 ± 0.0024,0.8000 ± 0.0007,0.8172 ± 0.0004,0.8172 ± 0.0004,0.2442 ± 0.0055,0.5532 ± 0.0062,0.1261 ± 0.0066
HC with fairness constraints and equal number of protected attribute lambda = 0.3,random_forest,0.8164 ± 0.0027,0.7639 ± 0.0041,0.7893 ± 0.0015,0.8039 ± 0.0011,0.8039 ± 0.0011,0.2820 ± 0.0068,0.5201 ± 0.0070,0.1914 ± 0.0089
HC with fairness constraints and equal number of protected attribute lambda = 0.3,xgboost,0.8360 ± 0.0026,0.7781 ± 0.0045,0.8060 ± 0.0015,0.8197 ± 0.0010,0.8197 ± 0.0010,0.2869 ± 0.0090,0.5120 ± 0.0086,0.1757 ± 0.0109
HC with fairness constraints and equal number of protected attribute lambda = 0.3,mlp,0.7933 ± 0.0053,0.7562 ± 0.0116,0.7742 ± 0.0048,0.7886 ± 0.0033,0.7886 ± 0.0033,0.2804 ± 0.0119,0.5290 ± 0.0105,0.2017 ± 0.0141
HC with fairness constraints and same size as original dataset lambda = 0.4,logistic_regression,0.7612 ± 0.0033,0.5294 ± 0.0042,0.6244 ± 0.0036,0.6837 ± 0.0025,0.6837 ± 0.0025,0.0086 ± 0.0031,0.9753 ± 0.0089,0.0158 ± 0.0051
HC with fairness constraints and same size as original dataset lambda = 0.4,random_forest,0.6747 ± 0.0047,0.6311 ± 0.0042,0.6522 ± 0.0044,0.6672 ± 0.0043,0.6672 ± 0.0043,0.0077 ± 0.0042,0.9836 ± 0.0091,0.0120 ± 0.0055
HC with fairness constraints and same size as original dataset lambda = 0.4,xgboost,0.7159 ± 0.0070,0.6039 ± 0.0049,0.6551 ± 0.0046,0.6851 ± 0.0047,0.6851 ± 0.0047,0.0120 ± 0.0114,0.9718 ± 0.0268,0.0204 ± 0.0134
HC with fairness constraints and same size as original dataset lambda = 0.4,mlp,0.6470 ± 0.0102,0.6370 ± 0.0136,0.6418 ± 0.0050,0.6488 ± 0.0060,0.6488 ± 0.0060,0.0110 ± 0.0068,0.9780 ± 0.0131,0.0214 ± 0.0108
HC with fairness constraints and double the size of original dataset lambda = 0.4,logistic_regression,0.8678 ± 0.0004,0.6053 ± 0.0009,0.7132 ± 0.0005,0.7608 ± 0.0003,0.7608 ± 0.0003,0.1076 ± 0.0008,0.7214 ± 0.0014,0.1098 ± 0.0007
HC with fairness constraints and double the size of original dataset lambda = 0.4,random_forest,0.7596 ± 0.0030,0.6579 ± 0.0029,0.7051 ± 0.0013,0.7344 ± 0.0012,0.7344 ± 0.0012,0.1038 ± 0.0084,0.7767 ± 0.0158,0.0734 ± 0.0074
HC with fairness constraints and double the size of original dataset lambda = 0.4,xgboost,0.8669 ± 0.0025,0.6103 ± 0.0016,0.7163 ± 0.0007,0.7626 ± 0.0006,0.7626 ± 0.0006,0.1124 ± 0.0039,0.7131 ± 0.0081,0.1022 ± 0.0057
HC with fairness constraints and double the size of original dataset lambda = 0.4,mlp,0.7343 ± 0.0197,0.6704 ± 0.0198,0.7003 ± 0.0050,0.7244 ± 0.0059,0.7244 ± 0.0059,0.1020 ± 0.0154,0.7905 ± 0.0279,0.0607 ± 0.0163
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,logistic_regression,0.8671 ± 0.0005,0.6058 ± 0.0007,0.7133 ± 0.0004,0.7607 ± 0.0002,0.7607 ± 0.0002,0.1066 ± 0.0005,0.7240 ± 0.0010,0.1103 ± 0.0003
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,random_forest,0.7393 ± 0.0045,0.6669 ± 0.0056,0.7012 ± 0.0027,0.7266 ± 0.0022,0.7266 ± 0.0022,0.0889 ± 0.0067,0.8127 ± 0.0116,0.0773 ± 0.0070
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,xgboost,0.8536 ± 0.0025,0.6136 ± 0.0034,0.7139 ± 0.0022,0.7590 ± 0.0014,0.7590 ± 0.0014,0.1088 ± 0.0050,0.7259 ± 0.0095,0.1007 ± 0.0061
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,mlp,0.7002 ± 0.0128,0.6893 ± 0.0129,0.6945 ± 0.0043,0.7103 ± 0.0057,0.7103 ± 0.0057,0.0932 ± 0.0135,0.8193 ± 0.0260,0.0576 ± 0.0107
HC with fairness constraints and equal number of protected attribute lambda = 0.4,logistic_regression,0.8675 ± 0.0003,0.6066 ± 0.0014,0.7140 ± 0.0010,0.7612 ± 0.0006,0.7612 ± 0.0006,0.1085 ± 0.0009,0.7201 ± 0.0015,0.1081 ± 0.0007
HC with fairness constraints and equal number of protected attribute lambda = 0.4,random_forest,0.7474 ± 0.0062,0.6607 ± 0.0035,0.7013 ± 0.0021,0.7289 ± 0.0027,0.7289 ± 0.0027,0.0893 ± 0.0106,0.8085 ± 0.0218,0.0795 ± 0.0104
HC with fairness constraints and equal number of protected attribute lambda = 0.4,xgboost,0.8499 ± 0.0012,0.6127 ± 0.0021,0.7121 ± 0.0015,0.7572 ± 0.0010,0.7572 ± 0.0010,0.1043 ± 0.0037,0.7365 ± 0.0083,0.1056 ± 0.0054
HC with fairness constraints and equal number of protected attribute lambda = 0.4,mlp,0.7012 ± 0.0184,0.6791 ± 0.0198,0.6896 ± 0.0085,0.7077 ± 0.0091,0.7077 ± 0.0091,0.0896 ± 0.0262,0.8233 ± 0.0512,0.0605 ± 0.0203
HC with fairness constraints and same size as original dataset lambda = 0.5,logistic_regression,0.8565 ± 0.0046,0.6190 ± 0.0092,0.7186 ± 0.0056,0.7597 ± 0.0034,0.7597 ± 0.0034,0.0109 ± 0.0113,0.9706 ± 0.0299,0.0147 ± 0.0049
HC with fairness constraints and same size as original dataset lambda = 0.5,random_forest,0.7620 ± 0.0038,0.6653 ± 0.0055,0.7103 ± 0.0036,0.7330 ± 0.0029,0.7330 ± 0.0029,0.0154 ± 0.0128,0.9654 ± 0.0287,0.0157 ± 0.0133
HC with fairness constraints and same size as original dataset lambda = 0.5,xgboost,0.8324 ± 0.0039,0.6384 ± 0.0070,0.7226 ± 0.0042,0.7576 ± 0.0028,0.7576 ± 0.0028,0.0115 ± 0.0087,0.9702 ± 0.0220,0.0120 ± 0.0059
HC with fairness constraints and same size as original dataset lambda = 0.5,mlp,0.7199 ± 0.0107,0.6818 ± 0.0197,0.7000 ± 0.0062,0.7134 ± 0.0026,0.7134 ± 0.0026,0.0281 ± 0.0200,0.9429 ± 0.0396,0.0290 ± 0.0207
HC with fairness constraints and double the size of original dataset lambda = 0.5,logistic_regression,0.8638 ± 0.0010,0.6121 ± 0.0007,0.7165 ± 0.0006,0.7622 ± 0.0005,0.7622 ± 0.0005,0.1102 ± 0.0014,0.7194 ± 0.0032,0.1082 ± 0.0013
HC with fairness constraints and double the size of original dataset lambda = 0.5,random_forest,0.7751 ± 0.0068,0.6528 ± 0.0047,0.7087 ± 0.0026,0.7403 ± 0.0028,0.7403 ± 0.0028,0.0982 ± 0.0059,0.7819 ± 0.0138,0.0883 ± 0.0041
HC with fairness constraints and double the size of original dataset lambda = 0.5,xgboost,0.8337 ± 0.0020,0.6317 ± 0.0029,0.7188 ± 0.0018,0.7586 ± 0.0013,0.7586 ± 0.0013,0.1027 ± 0.0061,0.7511 ± 0.0123,0.1002 ± 0.0066
HC with fairness constraints and double the size of original dataset lambda = 0.5,mlp,0.7510 ± 0.0113,0.6574 ± 0.0138,0.7009 ± 0.0032,0.7295 ± 0.0017,0.7295 ± 0.0017,0.0867 ± 0.0076,0.8120 ± 0.0103,0.0914 ± 0.0045
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,logistic_regression,0.8502 ± 0.0028,0.6283 ± 0.0012,0.7226 ± 0.0009,0.7638 ± 0.0010,0.7638 ± 0.0010,0.1187 ± 0.0027,0.7116 ± 0.0066,0.0998 ± 0.0036
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,random_forest,0.7574 ± 0.0043,0.6820 ± 0.0047,0.7177 ± 0.0031,0.7418 ± 0.0028,0.7418 ± 0.0028,0.1150 ± 0.0060,0.7637 ± 0.0109,0.0808 ± 0.0037
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,xgboost,0.8245 ± 0.0024,0.6478 ± 0.0006,0.7255 ± 0.0011,0.7613 ± 0.0012,0.7613 ± 0.0012,0.1150 ± 0.0038,0.7338 ± 0.0079,0.0979 ± 0.0049
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,mlp,0.7308 ± 0.0111,0.6866 ± 0.0178,0.7078 ± 0.0075,0.7282 ± 0.0054,0.7282 ± 0.0054,0.1201 ± 0.0101,0.7631 ± 0.0241,0.0643 ± 0.0051
HC with fairness constraints and equal number of protected attribute lambda = 0.5,logistic_regression,0.8576 ± 0.0061,0.6177 ± 0.0056,0.7181 ± 0.0018,0.7622 ± 0.0006,0.7622 ± 0.0006,0.1157 ± 0.0046,0.7116 ± 0.0063,0.1035 ± 0.0042
HC with fairness constraints and equal number of protected attribute lambda = 0.5,random_forest,0.7648 ± 0.0041,0.6720 ± 0.0049,0.7153 ± 0.0022,0.7421 ± 0.0017,0.7421 ± 0.0017,0.1072 ± 0.0055,0.7732 ± 0.0102,0.0894 ± 0.0027
HC with fairness constraints and equal number of protected attribute lambda = 0.5,xgboost,0.8345 ± 0.0063,0.6413 ± 0.0050,0.7252 ± 0.0012,0.7629 ± 0.0009,0.7629 ± 0.0009,0.1145 ± 0.0080,0.7298 ± 0.0158,0.1026 ± 0.0100
HC with fairness constraints and equal number of protected attribute lambda = 0.5,mlp,0.7319 ± 0.0149,0.6725 ± 0.0164,0.7007 ± 0.0081,0.7241 ± 0.0077,0.7241 ± 0.0077,0.0908 ± 0.0238,0.8130 ± 0.0437,0.0845 ± 0.0207
HC with fairness constraints and same size as original dataset lambda = 0.6,logistic_regression,0.8530 ± 0.0040,0.6042 ± 0.0058,0.7073 ± 0.0050,0.7548 ± 0.0036,0.7548 ± 0.0036,0.0064 ± 0.0077,0.9816 ± 0.0219,0.0137 ± 0.0097
HC with fairness constraints and same size as original dataset lambda = 0.6,random_forest,0.7593 ± 0.0039,0.6309 ± 0.0079,0.6891 ± 0.0058,0.7246 ± 0.0042,0.7246 ± 0.0042,0.0095 ± 0.0036,0.9765 ± 0.0087,0.0171 ± 0.0068
HC with fairness constraints and same size as original dataset lambda = 0.6,xgboost,0.8416 ± 0.0035,0.6016 ± 0.0075,0.7016 ± 0.0057,0.7494 ± 0.0039,0.7494 ± 0.0039,0.0061 ± 0.0093,0.9829 ± 0.0258,0.0152 ± 0.0089
HC with fairness constraints and same size as original dataset lambda = 0.6,mlp,0.7168 ± 0.0122,0.6410 ± 0.0181,0.6765 ± 0.0071,0.7053 ± 0.0046,0.7053 ± 0.0046,0.0240 ± 0.0090,0.9458 ± 0.0186,0.0309 ± 0.0110
HC with fairness constraints and double the size of original dataset lambda = 0.6,logistic_regression,0.8614 ± 0.0001,0.6069 ± 0.0000,0.7121 ± 0.0000,0.7591 ± 0.0000,0.7591 ± 0.0000,0.1060 ± 0.0001,0.7274 ± 0.0001,0.1109 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.6,random_forest,0.7798 ± 0.0041,0.6191 ± 0.0024,0.6902 ± 0.0027,0.7302 ± 0.0025,0.7302 ± 0.0025,0.0741 ± 0.0060,0.8216 ± 0.0134,0.1199 ± 0.0065
HC with fairness constraints and double the size of original dataset lambda = 0.6,xgboost,0.8567 ± 0.0029,0.6008 ± 0.0027,0.7063 ± 0.0010,0.7548 ± 0.0004,0.7548 ± 0.0004,0.0979 ± 0.0021,0.7446 ± 0.0048,0.1171 ± 0.0033
HC with fairness constraints and double the size of original dataset lambda = 0.6,mlp,0.7420 ± 0.0155,0.6263 ± 0.0179,0.6788 ± 0.0047,0.7138 ± 0.0026,0.7138 ± 0.0026,0.0803 ± 0.0101,0.8191 ± 0.0140,0.0970 ± 0.0103
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,logistic_regression,0.8613 ± 0.0000,0.6069 ± 0.0000,0.7121 ± 0.0000,0.7591 ± 0.0000,0.7591 ± 0.0000,0.1060 ± 0.0000,0.7273 ± 0.0000,0.1109 ± 0.0000
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,random_forest,0.7468 ± 0.0047,0.6639 ± 0.0037,0.7029 ± 0.0015,0.7297 ± 0.0018,0.7297 ± 0.0018,0.0925 ± 0.0099,0.8033 ± 0.0191,0.0885 ± 0.0106
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.6,xgboost,0.8456 ± 0.0021,0.6143 ± 0.0029,0.7116 ± 0.0020,0.7562 ± 0.0014,0.7562 ± 0.0014,0.1001 ± 0.0034,0.7475 ± 0.0076,0.1088 ± 0.0037
