sex,cur_eco_activity,household_position,citizenship,country_birth,prev_residence_place,age,economic_status,household_size,occupation,marital_status,edu_level
female,139,1122,1,1,1,7,111,113,0,2,3
male,138,1220,1,1,1,7,111,112,1,1,5
male,124,1121,1,1,1,6,111,114,0,2,2
female,124,1121,1,1,1,11,111,112,0,2,5
male,111,1121,1,1,1,7,120,114,0,2,3
male,131,1131,1,1,1,9,111,112,1,1,2
male,135,1121,1,1,1,9,111,112,1,2,3
female,136,1122,1,1,1,8,111,114,1,2,5
male,135,1110,1,1,1,4,112,114,0,1,2
female,131,1121,1,1,1,13,111,112,1,2,3
female,138,1122,1,1,1,11,111,113,0,2,1
female,138,1131,1,1,1,6,111,112,0,1,3
female,131,1122,1,1,1,7,111,114,0,2,2
female,124,1122,1,1,2,8,111,114,1,2,5
male,131,1121,1,1,1,11,111,112,1,2,3
female,111,1122,1,1,1,13,120,114,1,2,3
female,137,1210,1,1,1,7,111,111,0,1,5
female,139,1131,1,1,1,9,120,112,1,1,5
female,131,1121,1,1,1,11,111,112,0,2,1
male,136,1122,1,1,1,8,111,114,1,2,3
female,135,1121,1,1,1,10,111,112,1,2,5
male,124,1131,1,1,1,6,111,112,0,1,5
male,136,1210,1,1,1,9,111,111,1,4,5
female,138,1140,2,1,2,11,111,113,0,3,3
male,136,1121,1,1,1,13,111,112,1,2,5
female,138,1110,1,2,1,5,111,126,0,1,3
male,122,1122,1,1,1,8,111,114,0,2,2
female,131,1210,1,1,1,6,112,111,1,1,5
male,132,1122,1,1,1,8,111,126,1,2,5
female,131,1122,1,1,2,9,111,114,1,2,1
female,131,1131,1,1,1,5,112,112,1,1,5
female,138,1210,1,1,1,7,111,111,1,1,3
male,111,1122,1,1,1,12,111,113,1,2,3
female,139,1122,1,1,1,9,111,114,0,2,3
male,131,1121,1,1,1,8,111,112,1,2,4
female,137,1121,1,1,1,10,111,112,0,2,3
male,111,1122,1,1,1,10,111,113,0,2,2
male,131,1110,1,1,1,4,111,125,0,1,5
male,133,1122,1,1,1,10,111,113,0,2,1
female,139,1140,2,3,2,11,120,113,0,4,2
male,124,1220,1,2,1,6,111,112,0,2,5
male,122,1121,1,1,1,10,111,112,1,2,5
female,134,1122,1,1,1,7,111,114,0,2,3
female,135,1210,1,1,2,7,111,111,1,1,5
male,136,1122,1,1,1,9,111,114,0,2,2
female,132,1140,1,1,1,5,112,113,0,1,2
male,139,1110,1,1,1,9,111,126,0,3,2
female,122,1121,1,1,1,11,111,112,0,2,1
female,138,1122,1,1,1,10,111,114,1,2,5
male,122,1122,1,1,2,8,111,125,0,2,5
female,131,1122,2,2,1,8,111,125,0,2,3
female,134,1122,1,1,1,10,111,114,0,2,2
male,138,1131,1,1,1,9,111,112,0,1,2
male,135,1110,1,1,1,5,111,114,0,1,5
female,131,1140,1,1,1,9,111,112,0,3,1
male,135,1121,1,3,1,11,111,112,0,2,3
male,137,1131,1,1,1,7,111,112,0,1,2
male,134,1121,1,1,1,12,111,112,1,2,3
female,135,1122,1,1,1,10,111,114,0,2,5
female,138,1122,1,1,1,9,111,114,0,2,3
female,136,1122,1,1,1,10,111,125,1,2,3
male,122,1110,1,1,1,5,111,114,0,1,2
male,136,1122,1,1,1,11,111,113,1,2,3
male,139,1122,1,1,1,11,111,114,1,2,5
female,139,1121,1,3,1,11,120,112,1,2,5
female,131,1131,1,1,1,5,111,112,0,1,2
female,131,1110,1,1,1,5,112,114,0,1,2
female,136,1131,1,1,1,5,112,112,1,1,5
male,137,1210,1,1,1,8,111,111,1,1,5
female,131,1122,1,1,1,8,111,113,1,2,5
female,132,1122,1,1,1,9,111,114,0,2,5
male,131,1110,1,1,1,5,112,126,1,1,5
male,135,1210,1,1,1,6,112,111,1,1,5
male,135,1122,1,1,1,11,111,113,0,2,1
female,135,1122,1,1,1,8,111,114,0,2,5
male,136,1121,1,1,1,11,111,112,1,2,4
female,131,1110,1,1,1,4,111,112,0,1,2
female,138,1121,1,1,1,9,111,112,1,2,5
male,136,1121,1,1,1,12,111,112,0,2,2
female,135,1122,1,1,1,9,111,125,1,2,3
female,137,1131,1,1,1,6,111,112,1,1,5
male,111,1122,1,1,1,10,120,125,1,2,5
female,131,1140,1,2,1,7,111,125,0,4,5
male,133,1122,1,1,1,10,111,114,1,2,5
male,131,1110,1,1,1,4,112,113,0,1,3
female,132,1210,1,1,1,9,111,111,0,4,3
male,132,1110,1,1,1,4,112,125,0,1,4
female,138,1210,1,1,1,10,111,111,1,4,2
female,131,1122,1,1,1,8,111,125,1,2,3
female,137,1131,1,3,1,5,111,126,1,1,5
male,136,1122,1,1,1,9,111,114,0,2,2
female,139,1121,1,1,1,5,111,112,0,2,3
female,122,1121,2,1,1,9,111,112,1,2,3
female,131,1132,2,3,1,14,111,114,1,1,2
female,137,1210,1,1,1,10,111,111,1,1,5
male,124,1122,1,1,1,9,111,114,1,2,3
female,138,1110,1,1,1,5,111,113,0,1,2
female,124,1140,1,1,1,10,111,112,1,4,2
female,111,1122,1,1,1,9,120,125,0,2,3
female,132,1110,1,1,1,4,112,114,0,1,3
female,139,1131,1,1,2,10,120,112,1,2,5
male,124,1122,1,1,1,8,111,114,1,2,5
female,138,1122,1,1,1,8,111,114,1,2,3
male,122,1122,1,1,1,10,111,113,1,2,5
female,133,1122,1,1,1,8,111,114,0,2,2
male,137,1122,1,1,1,8,111,125,0,2,3
female,137,1122,1,1,1,6,111,113,0,2,1
male,111,1210,1,1,1,7,120,126,0,2,3
male,131,1122,1,1,1,11,111,114,1,2,5
female,136,1131,1,1,2,6,111,112,1,1,1
male,137,1131,1,3,1,8,111,112,1,1,5
male,137,1121,1,1,1,13,111,112,0,2,2
female,135,1121,1,1,1,6,111,112,0,2,3
male,136,1122,1,1,1,12,111,114,0,2,2
female,138,1121,1,1,1,12,111,112,0,2,2
female,137,1121,1,1,1,5,111,112,0,2,3
male,135,1122,1,1,1,8,111,113,1,2,5
female,138,1131,1,1,1,8,111,112,0,1,2
female,132,1122,1,1,1,7,111,114,1,2,3
male,131,1110,1,1,1,4,111,125,0,1,2
male,136,1122,1,1,1,6,111,113,0,2,2
female,135,1131,1,1,1,5,111,112,1,1,5
female,138,1210,1,1,1,6,111,111,1,1,3
female,138,1131,1,1,1,11,111,112,0,1,3
female,135,1121,1,1,2,11,111,112,1,2,3
male,135,1110,1,1,1,4,111,125,0,1,2
male,137,1122,1,1,1,7,111,113,0,2,2
female,138,1122,1,1,1,13,111,113,1,2,5
male,124,1122,1,2,2,9,111,114,1,2,3
male,133,1122,1,1,1,9,111,114,1,2,5
male,138,1110,1,1,1,4,112,114,0,1,2
male,135,1122,1,1,1,8,111,113,1,2,3
female,111,1140,1,1,1,13,120,114,0,3,2
female,138,1110,1,1,1,7,111,113,0,1,1
female,131,1110,2,2,1,5,111,114,0,1,2
female,136,1210,1,1,1,8,111,111,1,1,2
female,138,1140,1,1,1,12,111,112,1,4,3
female,138,1122,1,1,1,7,111,114,0,2,2
female,135,1121,1,1,1,11,111,112,0,2,2
female,138,1121,1,1,1,11,111,112,0,2,3
female,135,1121,1,1,1,6,111,112,1,2,3
male,122,1122,1,1,1,8,111,114,0,2,3
male,122,1121,1,1,1,10,111,112,0,2,3
female,131,1122,1,1,1,8,111,113,0,2,5
female,124,1121,1,1,1,6,120,112,1,2,3
male,135,1131,1,1,1,12,111,112,1,3,5
male,122,1122,1,1,2,9,111,114,0,2,3
female,131,1121,1,1,1,11,120,112,0,2,3
female,131,1110,1,1,1,4,112,114,0,1,1
female,135,1122,1,1,1,7,111,113,0,2,3
female,122,1140,1,1,1,8,111,113,1,1,5
male,131,1210,1,1,1,5,112,111,0,1,5
male,135,1122,1,3,1,13,111,112,0,2,4
male,136,1110,2,1,1,6,111,114,1,1,3
female,131,1132,1,1,1,7,120,114,1,1,5
female,138,1121,1,1,1,6,111,112,1,2,3
male,131,1110,1,2,1,5,112,113,0,1,3
female,132,1121,1,1,1,6,111,112,0,2,1
male,135,1210,1,1,1,7,111,111,1,1,5
female,135,1122,1,1,1,9,111,114,0,2,2
male,138,1110,1,1,1,7,111,125,1,1,3
female,135,1122,1,1,1,7,120,114,1,2,1
female,135,1110,1,1,1,4,112,125,0,1,2
female,138,1210,1,1,1,7,111,111,1,1,3
female,124,1122,1,1,1,9,111,113,1,2,5
female,137,1122,1,1,1,6,111,114,0,2,3
female,135,1122,1,1,1,9,120,125,1,2,5
male,131,1121,1,1,1,7,111,112,1,2,5
male,137,1131,1,1,1,9,111,112,0,1,2
female,131,1110,1,1,1,4,112,125,0,1,5
female,136,1122,1,1,1,11,111,114,0,2,2
female,136,1110,1,1,1,4,111,113,0,1,5
male,135,1110,1,1,1,5,111,125,1,1,5
male,137,1122,1,1,1,10,111,114,1,2,3
male,138,1110,2,1,1,4,112,114,0,1,2
male,132,1210,1,1,1,10,111,111,0,4,2
male,138,1131,1,1,1,12,111,112,0,1,3
male,131,1121,1,1,1,11,111,112,1,2,5
female,138,1140,1,1,1,10,111,112,0,4,2
male,135,1121,1,1,1,12,111,112,0,2,3
female,133,1132,1,1,1,8,111,113,0,4,5
female,138,1122,1,1,1,11,111,113,0,2,2
female,131,1122,1,1,1,7,120,113,1,2,3
female,134,1121,1,1,1,12,111,112,1,2,5
male,122,1131,1,3,1,6,111,112,0,1,3
male,136,1121,1,3,1,12,111,112,0,2,3
female,137,1122,1,1,1,11,111,125,1,2,3
female,132,1140,1,1,1,11,111,112,1,3,2
male,136,1131,1,1,1,5,111,112,1,1,5
female,133,1121,1,1,1,9,111,112,0,2,2
female,138,1110,1,1,1,4,111,112,0,1,3
female,132,1122,1,1,1,10,111,126,1,2,5
male,134,1110,1,1,1,4,112,125,0,1,3
female,138,1110,1,1,1,5,111,112,0,1,5
male,139,1110,1,1,1,6,111,113,1,1,5
male,137,1121,1,1,1,11,111,112,1,2,5
female,134,1122,1,1,1,7,112,113,1,2,3
male,131,1140,1,1,1,9,111,113,0,4,2
male,136,1122,1,1,1,9,111,114,1,2,5
female,139,1131,1,1,1,6,112,112,0,1,3
female,122,1122,1,1,1,9,111,114,0,2,3
female,138,1121,1,1,2,9,111,112,0,2,2
male,111,1131,1,1,1,7,111,112,0,1,2
female,138,1131,1,1,1,8,111,112,1,1,3
male,136,1122,1,1,1,8,111,126,1,2,5
male,131,1122,1,2,1,12,111,126,1,2,2
male,132,1122,1,1,1,9,111,113,0,2,2
female,138,1121,1,1,1,12,111,112,0,2,3
female,131,1122,1,1,2,9,111,114,1,2,2
female,138,1122,1,1,1,8,111,125,1,2,1
female,131,1110,1,1,1,4,112,125,0,1,5
female,135,1122,1,1,1,8,111,114,0,2,3
male,122,1121,1,1,2,12,111,112,1,2,3
female,133,1131,1,1,1,6,111,112,1,1,5
male,135,1110,1,1,1,4,112,113,0,1,3
female,135,1122,1,1,1,8,111,125,1,2,3
male,133,1131,1,1,1,7,111,112,0,1,1
female,139,1220,1,1,1,11,120,125,1,1,1
female,131,1110,1,1,1,4,112,114,0,1,3
male,131,1122,1,1,1,12,111,113,0,2,3
female,138,1140,1,3,1,10,111,114,1,4,5
female,111,1121,1,1,1,11,120,112,0,2,2
male,137,1122,1,1,1,9,111,114,1,2,5
male,135,1132,1,1,1,11,111,113,0,4,3
male,122,1122,1,1,1,7,111,114,1,2,5
male,135,1132,1,1,1,7,111,114,0,4,3
female,138,1122,1,1,1,8,111,114,0,2,3
female,131,1140,1,1,1,10,111,112,1,4,2
female,135,1122,1,1,1,7,120,114,1,2,5
male,131,1122,1,1,1,6,111,113,0,2,5
female,138,1121,1,1,1,12,111,112,1,2,3
female,131,1121,1,1,1,11,111,112,0,2,1
male,139,1121,1,1,1,7,111,112,0,2,3
female,139,1210,1,3,1,9,111,111,0,1,3
male,122,1131,1,1,1,7,111,112,0,1,3
female,134,1131,1,1,1,6,111,112,1,1,3
female,138,1132,1,1,1,7,111,113,1,1,5
male,136,1131,1,1,1,7,111,112,0,1,2
male,131,1122,1,1,1,11,111,114,1,2,3
male,138,1121,1,1,1,11,111,112,0,2,5
male,122,1121,1,1,1,10,111,112,0,2,2
male,137,1121,1,1,1,12,111,112,0,2,1
female,139,1122,1,1,1,8,111,114,1,2,3
female,135,1110,1,1,1,6,111,114,0,1,2
female,131,1131,1,1,1,5,111,112,0,1,5
male,122,1131,1,1,1,7,111,112,0,1,3
female,135,1121,1,1,1,6,111,112,0,2,3
male,122,1110,1,3,1,5,111,114,0,1,5
female,131,1122,1,1,1,9,111,125,1,2,5
female,137,1121,1,1,1,7,111,112,1,2,0
female,135,1122,1,1,1,9,111,125,1,2,5
female,137,1121,1,1,1,6,111,112,1,2,3
male,122,1121,1,1,1,10,111,112,0,2,3
female,135,1122,1,1,1,6,111,114,0,2,3
female,136,1122,1,1,1,7,111,113,0,2,3
female,122,1122,1,1,1,10,111,113,0,2,3
male,135,1122,1,1,1,9,111,113,0,2,2
female,135,1132,1,1,1,7,111,113,1,1,5
female,135,1122,1,1,1,9,111,125,1,2,5
female,134,1140,1,1,1,10,111,114,0,3,5
female,133,1121,1,1,1,12,111,112,1,2,3
male,111,1122,1,1,1,9,120,113,0,2,3
male,131,1131,1,1,1,6,112,112,0,1,2
female,134,1140,1,1,1,10,111,114,0,4,3
female,133,1122,1,1,1,10,111,114,1,2,5
female,138,1210,1,1,1,6,111,111,1,1,3
female,138,1121,1,2,2,11,111,112,0,2,3
female,131,1122,1,1,1,8,111,113,0,2,2
female,131,1122,1,2,1,10,111,113,0,2,2
female,131,1131,1,1,1,6,111,112,1,1,5
male,135,1210,1,1,1,7,111,111,1,1,5
male,136,1121,1,1,1,12,111,112,1,2,5
male,137,1122,1,1,1,9,111,114,0,2,5
female,135,1121,1,1,1,10,120,112,1,2,3
female,133,1210,1,1,1,10,111,111,0,1,1
female,138,1210,1,1,1,6,111,111,0,1,3
female,138,1121,1,1,1,8,111,112,0,2,5
male,132,1122,1,1,1,11,111,113,0,2,3
female,135,1122,1,1,1,10,111,114,1,2,3
female,135,1110,1,1,1,4,111,113,0,1,1
male,138,1121,1,1,1,5,111,112,0,2,5
female,139,1131,1,1,1,7,111,112,1,1,5
female,138,1122,1,1,1,12,111,113,1,2,2
male,111,1132,1,1,1,8,111,114,0,1,3
female,135,1122,1,1,1,7,111,113,1,2,3
female,138,1210,1,1,1,7,120,111,1,4,1
male,137,1122,1,1,1,6,111,125,1,2,2
male,122,1132,1,1,1,8,111,114,1,1,5
male,122,1121,1,1,1,6,111,112,1,2,5
male,131,1122,1,1,1,11,111,113,1,2,5
female,138,1131,1,1,1,8,111,112,1,4,5
female,135,1121,1,1,1,7,111,112,1,2,4
female,131,1121,1,1,1,12,120,112,1,2,3
female,137,1122,1,1,1,7,111,125,1,2,5
female,138,1121,1,1,2,11,111,112,0,2,2
female,131,1110,1,1,1,4,112,113,0,1,2
female,138,1131,1,1,1,10,111,112,0,1,2
female,138,1132,1,3,1,8,111,125,0,1,3
male,124,1131,1,1,1,8,111,112,0,1,3
female,135,1110,1,1,1,4,112,114,0,1,5
female,122,1110,1,1,1,4,111,114,1,1,3
female,135,1122,1,1,1,7,111,114,0,2,2
female,137,1121,1,1,1,12,111,112,1,2,5
female,131,1122,1,1,1,9,111,114,0,2,2
female,135,1122,1,1,2,7,111,114,0,2,2
female,137,1131,1,1,1,9,111,112,1,1,4
male,131,1110,1,1,1,6,120,113,0,1,2
male,131,1132,1,1,1,6,111,113,0,1,1
male,122,1210,1,1,1,7,111,111,1,1,5
female,137,1121,1,1,1,11,111,112,1,2,3
female,136,1122,1,1,1,8,111,114,0,2,1
male,136,1122,1,1,1,7,111,114,0,2,1
male,131,1121,1,1,1,12,111,112,1,2,5
male,131,1122,1,3,1,11,111,114,0,2,4
female,138,1210,1,1,1,7,111,111,0,1,3
male,139,1121,1,1,1,12,111,112,0,2,0
male,133,1122,1,1,1,13,111,114,1,2,5
female,138,1122,1,1,1,8,111,125,1,2,3
female,137,1122,1,1,1,9,111,125,0,2,2
female,139,1132,1,1,1,8,111,114,1,1,3
female,131,1131,1,1,1,7,120,112,1,1,5
male,137,1210,1,1,1,5,111,111,1,1,3
female,135,1121,1,1,1,7,111,112,0,2,2
male,132,1122,1,1,1,7,111,114,0,2,2
male,131,1122,1,1,1,8,111,114,1,2,5
male,135,1121,1,1,1,6,111,112,1,2,5
female,131,1140,1,1,1,12,111,112,0,4,3
male,136,1110,1,1,1,5,111,114,1,1,5
male,122,1122,1,1,1,9,111,125,0,2,3
male,135,1122,1,1,1,8,111,114,0,2,3
male,136,1122,1,1,1,8,111,125,1,2,5
female,137,1122,1,1,1,7,111,114,1,2,5
female,132,1121,3,1,2,11,111,112,0,3,1
female,131,1121,1,1,1,7,111,112,1,2,3
male,122,1110,1,1,1,4,111,125,0,1,5
male,122,1131,1,1,1,12,111,112,1,4,3
female,131,1121,1,1,2,11,111,112,1,2,3
female,122,1132,1,1,1,7,111,114,1,1,5
male,138,1122,1,1,1,8,111,114,0,2,2
female,137,1131,1,1,1,5,111,112,0,1,4
female,138,1131,1,1,1,5,111,112,0,1,3
female,135,1121,1,1,1,11,120,112,1,2,2
male,135,1122,1,1,1,8,111,114,0,2,2
female,122,1122,1,1,1,9,120,114,1,2,5
female,131,1121,1,1,1,12,111,112,1,2,1
male,136,1131,2,1,1,6,111,112,1,1,5
male,136,1110,1,1,1,4,111,113,0,1,5
female,135,1110,1,3,1,4,112,113,0,1,1
male,133,1122,1,1,1,10,111,114,1,2,3
female,136,1121,1,1,1,12,111,112,1,2,5
female,137,1131,1,1,1,8,111,112,0,1,2
female,131,1122,1,1,1,7,111,113,1,2,5
female,131,1132,1,1,1,9,111,113,0,1,4
female,139,1121,1,1,1,11,111,112,0,2,3
female,137,1131,1,1,1,9,111,112,0,1,2
male,136,1210,2,2,1,6,111,111,0,1,3
male,135,1122,1,1,1,10,111,125,1,2,5
female,135,1121,1,1,1,5,111,112,0,2,3
female,134,1122,3,3,1,6,111,113,1,2,5
female,138,1122,1,1,1,9,111,114,0,2,3
female,137,1121,1,1,1,6,111,112,0,2,4
female,131,1122,1,1,1,10,111,114,1,2,1
male,137,1131,1,1,1,7,111,112,1,1,3
female,131,1122,1,1,1,7,111,113,1,2,5
female,135,1131,3,1,1,15,120,125,0,4,2
male,132,1110,1,1,1,4,112,125,0,1,4
male,133,1122,1,1,1,9,111,125,1,2,3
male,131,1110,1,1,1,4,112,112,0,1,2
male,131,1122,1,1,1,10,111,125,1,2,3
female,135,1220,1,1,1,6,111,114,0,1,3
female,135,1131,1,1,2,5,111,112,0,1,2
male,138,1122,1,1,1,9,111,114,1,2,3
female,131,1122,1,1,1,10,111,125,1,2,5
male,133,1122,1,1,1,10,111,114,1,2,3
male,131,1110,1,1,1,4,111,114,0,1,2
male,122,1122,1,1,1,7,120,114,0,2,3
female,111,1122,1,3,1,8,120,112,0,4,3
female,139,1132,1,1,1,7,120,125,1,1,5
male,131,1122,1,1,1,11,111,113,1,2,2
male,124,1210,1,1,1,5,111,111,0,1,2
female,131,1122,1,1,1,9,111,125,0,2,5
female,138,1121,1,1,1,13,120,112,0,2,0
male,122,1122,1,1,1,11,111,113,1,2,2
female,133,1210,1,1,1,6,111,111,0,1,2
male,122,1110,1,1,1,4,111,125,0,1,5
male,139,1122,1,1,1,13,111,113,1,2,5
male,131,1122,1,1,1,11,111,113,1,2,4
female,137,1121,1,1,1,12,111,112,1,2,2
male,135,1122,1,1,1,8,111,125,1,2,3
female,124,1121,1,1,1,10,111,112,0,2,3
female,122,1131,1,1,1,6,111,112,0,1,2
female,131,1140,2,2,1,8,111,112,0,1,3
male,137,1210,2,2,2,11,111,111,1,4,2
female,131,1131,1,1,1,5,111,112,1,1,5
male,131,1122,1,1,1,11,111,113,0,2,1
male,135,1122,1,1,1,8,120,114,0,2,5
female,135,1122,1,1,1,8,111,125,0,2,2
male,133,1122,1,1,1,7,111,125,0,2,3
male,122,1121,1,1,1,12,111,112,1,2,5
male,135,1122,1,1,1,8,111,114,0,2,2
female,131,1122,1,1,1,11,111,125,1,2,3
female,137,1210,1,1,1,11,111,111,1,1,5
female,136,1132,1,1,1,12,111,113,1,4,3
female,132,1131,1,1,1,7,120,112,1,1,0
male,135,1210,1,1,2,7,111,111,0,1,3
female,131,1122,1,1,1,9,111,114,1,2,2
female,135,1131,1,1,2,8,111,112,0,4,2
female,124,1121,1,1,1,12,120,112,0,2,2
male,131,1122,1,1,1,8,111,114,1,2,5
female,131,1122,1,1,1,8,120,114,1,2,5
female,139,1122,1,1,1,9,111,114,1,2,3
female,138,1132,1,1,1,8,111,114,1,1,5
male,134,1121,1,3,1,13,111,112,1,2,5
male,135,1110,1,1,1,5,111,114,0,1,2
female,135,1122,1,1,1,6,111,113,0,2,3
female,136,1121,1,1,1,7,111,112,0,2,5
male,137,1210,1,1,1,6,112,111,0,1,3
male,135,1122,1,1,1,7,111,113,1,2,5
male,137,1121,1,1,1,10,111,112,1,2,3
male,135,1122,1,1,1,8,111,114,0,2,3
female,131,1110,1,1,1,4,111,125,0,1,5
female,132,1122,1,1,1,13,111,113,1,2,3
female,133,1122,1,1,1,9,111,114,1,2,5
male,135,1110,1,1,1,4,111,113,0,1,3
female,131,1122,1,3,1,9,111,114,0,2,3
female,111,1140,1,1,1,7,120,113,0,1,2
female,138,1131,3,3,1,5,111,112,0,1,1
female,131,1122,1,1,1,9,120,113,0,2,2
female,136,1122,1,1,1,10,111,114,1,2,5
male,111,1122,1,1,1,10,120,125,1,2,5
female,131,1121,1,1,1,7,111,112,1,2,5
female,132,1122,1,1,1,8,111,114,0,2,3
male,136,1131,1,1,1,9,111,112,1,4,3
male,137,1122,1,1,1,10,111,114,0,2,3
male,138,1121,1,1,1,7,111,112,1,2,5
female,132,1140,1,1,1,11,111,112,1,4,5
female,138,1132,1,1,1,9,111,113,1,1,3
male,131,1110,1,1,1,4,111,113,0,1,3
female,137,1140,1,1,1,9,111,113,0,4,3
male,137,1122,1,1,1,11,111,113,1,2,3
female,138,1131,1,1,1,9,111,112,0,4,2
female,133,1131,1,1,1,6,111,112,1,1,2
male,131,1122,1,1,1,8,111,114,0,2,1
male,135,1122,1,1,1,10,111,113,1,2,5
female,137,1131,1,1,1,5,111,112,0,1,2
