sex,cur_eco_activity,marital_status,household_position,edu_level,household_size,citizenship,prev_residence_place,age,occupation,economic_status,country_birth
male,132,2,1122,3,114,1,1,11,1,111,1
male,137,2,1220,5,112,1,2,7,1,111,3
female,135,2,1121,2,112,1,1,9,1,111,1
male,124,2,1110,3,126,1,1,12,1,111,1
female,131,4,1121,1,112,1,1,10,1,120,1
male,135,4,1110,2,126,1,1,4,1,111,1
male,131,1,1131,3,112,1,1,6,1,112,1
female,138,1,1131,5,125,1,1,8,1,111,1
female,138,2,1121,5,113,1,1,4,1,111,1
female,131,1,1131,4,113,1,1,10,1,112,1
female,111,2,1122,3,113,1,1,9,1,120,1
male,139,2,1122,5,126,1,1,10,1,111,1
male,131,2,1122,1,111,3,1,6,1,111,3
male,136,2,1122,5,112,1,1,7,1,111,1
male,136,2,1122,1,126,1,1,11,1,111,2
male,124,2,1121,5,125,1,1,9,1,111,1
male,131,1,1122,3,111,1,1,11,1,111,1
female,135,2,1121,2,125,2,1,8,1,111,2
female,131,2,1110,4,113,1,1,10,1,111,1
male,131,2,1122,5,125,1,1,9,1,111,1
female,138,2,1121,3,113,1,1,11,1,111,1
male,137,2,1132,5,125,1,1,10,1,111,1
male,131,2,1110,3,111,1,1,6,1,111,1
male,111,2,1132,5,112,1,2,12,1,120,1
female,131,1,1122,1,114,1,1,7,1,112,1
female,136,1,1210,5,114,1,1,7,1,111,1
female,137,2,1122,1,113,1,1,11,1,111,1
female,138,2,1210,2,114,1,1,12,1,111,1
male,139,1,1210,3,112,1,1,12,1,120,1
female,131,2,1210,2,112,1,1,10,1,111,1
female,111,2,1110,1,126,1,1,10,1,120,1
female,137,1,1122,5,114,1,1,7,1,111,1
male,136,2,1122,3,112,1,1,10,1,111,1
male,133,2,1122,3,112,1,1,10,1,111,1
female,138,2,1210,1,125,1,1,10,1,111,1
male,137,2,1110,5,112,1,1,7,1,111,1
male,138,2,1121,3,112,1,1,7,1,111,1
male,134,2,1122,2,114,1,1,11,1,111,1
male,124,2,1131,5,111,1,1,8,1,111,1
female,131,4,1110,0,112,1,1,10,1,111,1
female,138,1,1122,3,114,1,1,8,1,111,1
male,131,1,1122,2,111,1,1,5,1,112,1
female,131,2,1122,5,112,2,1,10,1,111,1
male,122,2,1121,3,113,1,1,9,1,111,1
female,131,1,1122,3,113,1,1,10,1,112,1
male,138,2,1122,3,112,1,1,7,1,120,1
male,122,2,1121,3,114,1,1,8,1,111,1
female,137,2,1122,2,113,1,1,12,1,111,1
male,137,2,1121,3,114,1,1,10,1,111,1
female,135,2,1140,2,114,1,1,5,1,111,1
male,124,1,1122,2,114,1,1,8,1,111,1
female,135,1,1131,1,112,1,1,10,1,112,1
male,135,1,1131,3,112,1,1,7,1,111,1
male,131,2,1110,2,111,1,1,6,1,111,1
male,122,2,1122,3,113,1,1,8,1,111,1
female,138,2,1121,2,114,1,1,5,1,111,1
female,138,2,1122,3,113,1,1,7,1,111,1
male,111,2,1122,3,125,1,1,9,1,120,1
male,135,2,1122,2,112,1,1,12,1,111,1
male,122,2,1110,1,114,1,1,8,1,111,1
male,136,1,1122,5,111,1,1,6,1,111,1
female,111,2,1110,1,126,1,1,5,1,120,1
male,138,1,1122,3,112,1,1,12,1,111,1
female,139,1,1132,3,113,1,2,5,1,111,1
female,131,1,1121,3,114,1,1,12,1,111,1
male,138,2,1110,3,114,1,1,10,1,111,1
female,131,1,1131,5,125,1,1,9,1,111,1
female,133,2,1121,2,114,1,1,9,1,111,1
female,131,1,1121,3,112,1,1,6,1,111,1
female,122,2,1110,5,111,1,1,6,1,111,1
female,136,2,1110,2,114,1,1,9,1,111,1
female,138,2,1131,3,125,1,1,8,1,111,1
male,135,2,1121,3,112,1,1,11,1,111,1
female,137,2,1121,3,112,1,1,7,1,111,1
male,136,2,1122,2,113,1,1,4,1,111,1
male,135,2,1121,3,111,1,1,6,1,120,1
male,132,2,1121,5,113,1,1,5,1,120,1
male,135,1,1121,5,125,1,1,8,1,111,1
female,138,2,1131,1,113,1,1,12,1,111,1
male,138,2,1210,5,112,2,1,7,1,111,2
male,139,1,1122,3,114,1,1,11,1,111,3
female,135,1,1122,3,112,1,1,11,1,111,1
female,138,1,1121,5,113,2,1,10,1,111,2
male,135,1,1122,3,125,1,1,8,1,120,1
male,122,2,1110,3,112,1,1,7,1,111,1
female,138,1,1121,5,112,1,1,6,1,111,1
male,138,1,1122,5,112,1,1,11,1,111,1
female,135,2,1121,2,113,1,1,5,1,111,1
male,136,2,1122,5,114,1,1,7,1,111,1
male,124,2,1131,5,114,1,1,10,1,111,1
female,137,2,1140,3,114,1,1,7,1,111,1
female,138,2,1122,3,125,1,1,7,1,111,1
female,138,1,1121,5,113,1,1,9,1,111,1
male,139,2,1131,3,125,1,1,10,1,111,1
male,132,1,1121,1,114,1,1,11,1,112,3
male,137,2,1131,5,112,1,1,6,1,111,1
female,138,2,1131,3,113,1,1,7,1,111,1
female,135,1,1122,5,114,1,1,10,1,111,1
male,135,2,1131,3,111,1,1,8,1,111,1
female,133,4,1121,3,125,1,1,9,1,111,1
male,131,1,1110,3,114,1,2,9,1,112,1
male,111,2,1132,3,112,1,1,9,1,120,1
male,137,2,1122,1,111,1,1,6,1,111,3
female,138,1,1210,5,112,1,1,9,1,111,1
male,135,2,1122,1,114,1,1,9,1,111,1
female,135,2,1110,5,113,1,1,10,1,111,1
male,111,2,1122,3,111,1,1,10,1,111,1
male,136,2,1131,4,125,1,1,10,1,111,1
female,131,1,1121,5,112,1,1,6,1,111,1
male,135,2,1131,3,114,1,1,8,1,111,1
male,122,1,1132,5,114,1,1,11,1,111,1
female,136,2,1121,2,113,1,2,12,1,111,1
male,131,1,1121,3,113,1,1,5,1,111,1
male,122,1,1122,5,114,1,1,7,1,111,1
female,137,4,1210,3,112,1,1,9,1,111,1
female,135,4,1220,5,111,1,1,7,1,111,1
female,135,2,1210,5,114,1,1,7,1,111,1
female,111,2,1110,2,126,1,1,4,1,120,1
female,138,4,1122,3,114,1,1,8,1,120,1
female,135,1,1122,1,112,1,1,10,1,112,1
female,131,1,1121,4,113,2,1,10,1,112,1
male,138,1,1131,4,112,3,1,11,1,112,2
male,137,4,1210,4,111,3,1,8,1,111,3
female,137,1,1121,3,112,1,1,12,1,111,1
male,134,1,1121,2,125,1,1,9,1,111,1
female,133,4,1121,5,112,1,1,6,1,111,1
female,138,2,1122,1,125,1,1,8,1,111,1
female,132,1,1122,5,112,1,1,11,1,111,1
female,122,2,1122,2,113,1,1,11,1,111,1
male,131,2,1122,3,114,1,1,11,1,120,1
male,135,3,1122,2,114,1,1,5,1,111,1
female,135,2,1122,3,113,1,1,4,1,111,1
male,122,1,1122,2,113,1,1,8,1,111,1
female,139,2,1122,5,112,1,1,10,1,111,1
male,131,2,1121,3,114,1,1,12,1,111,1
female,138,2,1122,5,114,1,1,10,1,111,1
male,131,1,1122,2,114,1,1,9,1,111,1
male,133,2,1210,5,111,1,1,8,1,111,1
female,138,2,1131,5,112,1,1,6,1,111,1
male,136,1,1122,3,114,1,1,9,1,111,1
female,131,2,1132,5,113,1,1,10,1,111,1
male,137,2,1122,3,112,1,1,10,1,111,1
male,137,4,1122,3,125,1,1,7,1,111,1
female,139,2,1210,3,112,1,1,7,1,120,1
male,135,2,1132,1,112,1,1,5,1,111,1
female,131,2,1122,5,114,1,1,8,1,111,1
female,111,2,1110,2,114,1,1,4,1,120,1
female,111,2,1122,3,114,1,1,10,1,120,1
male,139,1,1122,3,125,1,1,11,1,111,1
male,131,2,1131,1,126,1,1,11,1,111,1
female,138,1,1210,5,125,1,1,9,1,111,1
male,136,1,1121,5,114,1,1,4,1,111,1
male,135,2,1122,5,126,1,1,8,1,111,1
male,135,1,1210,1,111,1,1,13,1,111,1
male,131,1,1122,3,114,1,1,7,1,111,1
female,138,1,1210,3,125,1,1,5,1,111,1
male,122,2,1110,1,125,1,1,8,1,111,1
male,122,2,1210,5,114,1,1,9,1,111,1
male,124,2,1122,3,114,1,1,8,1,111,1
male,133,2,1131,1,113,1,1,11,1,111,1
female,137,1,1121,5,112,1,1,7,1,111,1
female,137,2,1132,3,125,1,1,10,1,111,1
female,139,1,1122,5,112,1,1,9,1,111,1
male,122,2,1122,3,111,1,1,7,1,111,1
male,131,2,1121,5,114,1,1,9,1,111,1
male,131,2,1210,3,125,1,1,9,1,111,1
male,122,2,1132,3,113,1,1,9,1,111,1
male,131,1,1121,3,125,1,1,11,1,111,1
female,137,2,1140,3,112,1,1,12,1,111,1
male,138,1,1122,3,126,1,1,8,1,111,1
male,124,2,1122,5,112,1,1,10,1,111,1
female,137,2,1122,1,113,1,1,8,1,111,1
female,132,1,1122,2,114,1,1,4,1,112,1
female,132,2,1122,2,111,1,1,5,1,120,1
female,138,2,1122,5,125,1,1,10,1,111,1
male,136,2,1131,4,114,1,2,7,1,111,1
female,139,2,1122,1,111,1,1,11,1,120,1
male,133,1,1122,5,113,1,1,7,1,111,1
female,138,2,1122,2,113,1,1,11,1,111,1
male,122,2,1210,5,112,1,2,12,1,111,1
male,124,2,1122,3,114,1,1,9,1,111,3
male,135,2,1122,5,112,1,1,7,1,111,3
male,124,1,1122,1,113,2,1,9,1,111,2
male,138,2,1210,3,111,1,1,5,1,111,1
male,133,2,1210,5,125,1,1,11,1,111,1
male,124,2,1121,5,111,1,1,8,1,120,1
female,131,2,1122,2,114,1,1,10,1,120,1
female,136,1,1210,5,112,1,1,9,1,111,1
female,136,1,1122,4,111,1,1,6,1,111,1
female,135,1,1122,2,113,1,1,5,1,112,1
male,135,2,1131,2,125,1,1,4,1,111,1
female,138,2,1110,2,113,1,1,6,1,111,1
male,122,2,1122,5,114,1,1,8,1,111,1
male,135,1,1210,3,113,1,1,10,1,111,1
male,124,1,1122,3,114,1,1,7,1,112,1
female,135,2,1122,2,113,1,1,11,1,111,1
female,131,1,1121,2,114,1,1,10,1,112,1
female,138,4,1131,2,114,1,1,5,1,111,1
male,138,1,1122,3,114,1,1,7,1,111,1
female,138,2,1131,5,113,1,1,10,1,111,1
female,131,1,1122,1,125,1,1,8,1,112,1
male,137,1,1210,5,113,1,1,11,1,111,1
female,122,1,1122,3,112,1,1,8,1,111,1
female,135,2,1210,3,112,1,1,7,1,111,1
female,135,1,1132,2,126,1,1,7,1,112,1
female,134,4,1110,2,112,1,1,12,1,111,1
female,139,2,1131,2,112,1,1,12,1,111,1
male,137,2,1122,2,114,1,1,10,1,111,1
male,136,2,1122,5,125,1,1,9,1,111,1
male,135,1,1122,3,111,1,1,11,1,112,1
female,135,2,1110,4,113,1,1,10,1,111,1
female,131,1,1122,3,125,1,1,8,1,111,1
male,133,2,1122,3,125,1,1,5,1,111,1
female,137,1,1131,5,112,1,1,6,1,111,1
female,131,2,1121,3,114,1,1,8,1,120,1
female,131,1,1122,3,112,1,1,13,1,111,1
female,131,1,1122,3,112,1,1,6,1,111,1
female,131,2,1122,5,111,1,1,9,1,111,1
male,135,1,1132,5,125,1,1,10,1,111,1
female,131,2,1122,2,112,1,1,12,1,111,1
female,132,2,1110,4,112,1,1,8,1,120,1
female,135,2,1122,3,114,1,1,9,1,111,1
female,131,2,1110,3,112,1,1,6,1,111,1
male,138,3,1122,0,111,1,1,4,1,112,1
female,138,2,1121,3,114,1,1,9,1,111,1
male,139,1,1122,5,125,1,1,11,1,111,1
female,138,2,1110,1,125,1,1,8,1,111,1
male,138,1,1122,5,113,1,1,8,1,111,1
female,138,1,1132,1,113,1,1,5,1,112,1
female,135,2,1122,5,114,1,1,10,1,111,1
male,138,2,1122,2,114,1,1,5,1,120,1
male,131,2,1131,5,113,1,1,8,1,111,1
male,124,2,1122,2,113,1,1,11,1,111,1
female,137,1,1121,3,112,1,1,7,1,111,1
male,133,2,1210,5,125,1,1,10,1,111,1
female,137,1,1122,5,113,1,1,8,1,111,1
male,136,2,1110,5,112,1,1,6,1,111,1
female,136,2,1140,1,126,1,1,10,1,111,1
female,134,1,1131,5,111,1,1,12,1,111,1
male,131,2,1122,5,114,1,1,10,1,111,1
female,111,2,1121,5,113,1,1,11,1,111,1
female,139,2,1210,3,114,1,1,9,1,111,1
female,134,2,1131,3,112,1,1,5,1,111,1
male,135,1,1110,3,126,1,1,10,1,112,1
male,134,2,1210,5,113,1,1,10,1,111,1
female,122,2,1122,5,112,1,1,13,1,111,1
male,131,1,1210,3,114,1,1,10,1,111,1
male,131,2,1131,5,125,1,1,11,1,120,1
male,122,2,1122,3,125,1,1,12,1,111,1
female,138,2,1121,2,112,1,1,13,1,111,1
male,132,1,1210,2,112,2,1,5,1,112,1
male,132,2,1122,3,113,1,1,10,1,111,1
female,139,2,1210,3,112,1,1,9,1,120,1
male,135,4,1121,1,112,1,1,11,1,111,1
female,133,2,1140,5,111,1,1,11,1,111,1
male,133,2,1110,5,112,1,1,6,1,111,1
female,135,2,1122,2,113,1,1,10,1,120,1
female,131,1,1110,4,111,1,1,12,1,112,1
female,122,2,1110,3,114,1,1,10,1,111,1
female,138,1,1122,5,111,1,1,10,1,111,1
female,133,2,1122,2,111,1,1,11,1,111,1
male,131,1,1210,0,114,1,1,6,1,112,1
female,132,2,1140,3,114,1,1,8,1,120,1
female,135,1,1110,2,114,1,1,8,1,120,1
female,135,2,1122,2,113,1,1,6,1,120,1
male,122,2,1122,3,126,1,1,8,1,111,1
male,122,2,1122,3,114,1,1,9,1,111,1
female,139,2,1210,3,112,1,1,11,1,120,1
male,135,2,1122,5,114,1,1,9,1,111,1
male,131,2,1121,3,125,1,1,9,1,120,1
female,131,1,1131,3,125,1,1,10,1,111,1
male,133,1,1131,5,111,1,1,7,1,111,1
female,131,1,1121,3,125,1,1,5,1,111,1
male,135,2,1121,2,114,1,2,8,1,120,1
female,137,1,1131,5,112,1,1,13,1,111,1
male,131,2,1210,2,114,1,1,10,1,120,1
female,139,2,1110,2,112,1,1,11,1,111,1
female,137,2,1210,3,114,1,1,8,1,111,1
female,124,2,1122,0,114,1,1,4,1,111,1
male,131,2,1121,3,112,1,1,10,1,111,1
female,124,1,1210,2,112,1,1,12,1,111,1
male,135,1,1132,2,112,1,1,11,1,111,1
male,138,2,1110,3,112,1,1,8,1,120,1
female,131,2,1122,3,114,1,1,7,1,111,1
female,139,2,1122,3,112,1,1,12,1,111,1
female,137,1,1132,3,113,1,1,11,1,111,1
male,133,4,1122,5,112,1,1,12,1,111,1
male,111,1,1131,5,111,1,1,10,1,120,1
male,131,1,1131,2,112,1,1,7,1,111,1
female,131,2,1131,5,114,1,1,10,1,111,1
female,131,1,1122,1,112,1,1,11,1,111,1
male,131,4,1131,2,113,1,1,8,1,120,1
female,111,2,1131,5,114,1,1,10,1,120,1
male,135,4,1122,3,114,1,2,5,1,111,3
female,135,2,1110,3,114,1,1,10,1,111,1
female,138,1,1122,3,113,1,1,7,1,111,1
male,133,2,1122,3,112,1,2,12,1,111,1
male,122,1,1122,5,112,1,1,7,1,111,1
female,139,2,1131,3,111,1,1,7,1,120,1
male,135,2,1122,3,113,1,1,10,1,111,1
female,137,2,1140,3,114,1,1,5,1,111,1
