sex,cur_eco_activity,occupation,household_position,age,economic_status,marital_status,household_size,prev_residence_place,country_birth,citizenship,edu_level
female,135,0,1140,8,111,2,113,1,1,1,2
male,131,0,1110,4,112,1,113,1,1,1,3
female,122,0,1140,9,111,4,113,1,3,1,2
male,131,1,1110,5,111,1,114,1,1,1,3
female,139,0,1121,11,120,2,112,1,1,1,3
female,131,0,1122,8,111,2,113,1,1,1,3
female,135,0,1131,7,111,1,112,1,1,1,2
female,138,1,1122,11,111,2,113,1,1,1,3
male,131,1,1122,9,111,2,125,1,1,1,3
female,138,1,1122,11,111,2,114,1,1,1,5
female,122,1,1131,6,111,1,112,1,1,1,3
female,132,0,1140,8,111,1,112,1,1,1,3
male,135,1,1122,8,111,2,114,1,1,1,4
female,131,0,1122,8,111,2,114,1,1,1,1
female,131,0,1210,12,111,1,111,1,1,1,4
female,132,0,1122,8,111,2,125,1,1,1,2
female,132,1,1121,11,120,2,112,1,1,1,1
female,135,1,1122,7,111,2,125,1,1,1,3
male,131,0,1132,5,112,1,111,2,1,1,2
male,131,0,1110,4,112,1,114,1,1,1,3
male,134,0,1132,7,111,1,113,1,1,1,3
female,138,0,1131,5,111,1,112,1,1,1,5
female,132,1,1121,12,120,2,112,1,1,1,3
male,124,0,1132,7,111,1,113,1,1,1,2
male,139,1,1121,12,111,2,112,1,1,1,5
male,135,1,1132,7,111,1,113,1,1,1,5
female,132,1,1122,11,120,2,114,1,1,1,3
female,138,0,1140,10,120,3,112,1,1,1,3
male,137,1,1122,8,111,2,114,1,1,1,5
female,135,1,1121,10,120,2,112,1,1,1,2
female,133,0,1122,8,111,2,113,1,1,1,3
male,135,1,1122,11,111,2,113,1,1,1,5
female,131,0,1122,7,111,2,114,1,1,1,1
male,131,1,1210,6,111,1,111,2,1,1,3
female,138,1,1122,6,111,2,113,1,1,1,5
male,138,1,1122,10,120,2,113,1,1,1,5
female,139,0,1110,4,111,1,126,1,1,1,2
female,138,0,1122,9,111,2,126,1,1,1,3
male,131,1,1122,12,111,2,113,1,1,1,5
male,122,1,1210,7,111,1,111,1,2,1,5
male,122,1,1132,9,111,4,114,1,1,1,5
male,131,1,1122,8,111,2,125,1,1,1,3
male,135,0,1122,8,111,2,114,1,1,1,1
male,132,0,1110,4,112,1,114,1,1,1,1
male,135,1,1122,7,111,2,114,1,1,1,5
female,135,1,1121,7,111,2,112,1,1,1,5
male,136,0,1121,11,111,2,112,1,3,1,3
female,122,0,1121,12,111,2,112,1,1,1,3
female,122,0,1122,10,111,2,113,1,1,1,3
female,122,1,1122,8,111,2,114,1,1,1,3
female,136,0,1121,11,111,2,112,1,1,1,3
female,135,1,1122,10,120,2,114,1,1,1,5
female,135,0,1122,8,111,2,114,1,1,1,3
male,122,1,1122,11,111,2,114,1,1,1,5
female,111,0,1131,6,111,1,112,1,1,1,3
male,139,1,1131,6,111,1,112,1,1,1,5
male,111,1,1122,13,120,2,113,1,1,1,3
female,135,0,1210,6,111,1,111,1,1,1,2
female,131,0,1110,4,112,1,114,1,1,1,3
male,131,0,1110,4,112,1,114,1,1,1,2
male,122,1,1210,10,111,1,111,1,1,1,3
male,138,1,1122,10,111,2,114,1,1,1,5
female,138,1,1140,7,111,4,112,1,1,1,4
female,139,1,1122,10,111,2,114,1,1,1,5
male,136,1,1122,11,111,2,113,1,1,1,3
male,122,1,1122,9,111,2,113,1,1,1,5
female,131,0,1122,6,111,2,114,1,1,1,2
female,135,1,1131,7,120,4,112,1,1,1,2
female,135,1,1131,5,111,1,112,1,1,1,5
female,122,0,1210,6,111,1,111,1,1,1,4
male,137,1,1121,10,111,2,113,1,1,1,5
female,134,0,1121,7,111,2,112,1,1,1,2
female,137,1,1132,10,111,4,114,1,1,1,5
male,135,1,1210,5,111,1,111,1,1,1,3
female,133,0,1122,7,111,2,114,1,3,2,5
male,135,1,1110,5,111,1,114,1,1,1,5
male,124,1,1132,6,120,1,125,1,1,1,2
female,136,0,1131,7,111,1,112,1,1,1,3
male,139,0,1121,12,111,2,112,1,1,1,5
female,111,1,1122,9,120,2,114,1,1,1,4
male,135,1,1121,11,111,2,112,1,3,2,5
female,131,1,1122,9,111,2,125,1,1,1,3
female,138,0,1110,6,111,1,113,1,1,1,2
male,134,1,1210,9,111,1,111,1,1,1,5
female,138,1,1121,11,111,2,112,1,1,1,5
female,137,1,1210,12,111,1,111,1,1,1,5
male,131,1,1110,5,111,1,112,1,1,1,3
male,133,0,1122,8,111,2,114,1,1,1,2
male,122,0,1121,11,111,2,112,1,1,1,2
female,131,0,1122,8,111,2,113,1,3,1,2
female,135,0,1122,7,111,2,114,1,1,1,3
male,133,1,1210,8,111,1,111,1,1,1,2
male,135,0,1110,4,112,1,126,1,1,1,2
female,132,0,1110,5,112,1,114,1,1,1,3
male,131,1,1122,11,111,2,113,1,1,1,5
female,135,1,1110,10,111,1,113,1,1,1,5
male,111,1,1122,10,120,2,114,1,1,2,2
female,137,1,1131,7,111,1,112,2,2,1,5
female,138,0,1122,8,111,2,114,1,1,1,3
male,132,0,1131,5,112,1,112,1,1,1,2
female,135,0,1132,9,111,4,125,1,1,1,2
female,131,0,1110,6,111,1,112,1,1,1,3
male,132,0,1131,5,111,1,112,1,1,1,1
male,134,0,1122,9,111,2,114,1,1,1,1
male,136,1,1122,7,111,2,114,1,1,1,4
female,135,0,1122,8,111,2,114,1,1,1,2
male,136,1,1210,7,111,1,111,1,1,1,5
female,137,1,1131,9,111,1,112,1,1,1,5
female,122,0,1122,6,111,2,114,1,1,1,2
male,131,0,1110,4,111,1,114,1,1,1,2
male,131,0,1210,14,111,3,111,1,1,1,2
female,131,0,1110,4,112,1,125,1,1,1,3
female,136,0,1131,6,111,1,112,1,1,1,3
male,131,1,1122,9,111,2,125,1,1,1,5
female,138,1,1210,9,111,4,111,1,1,1,5
female,138,0,1131,5,111,1,112,1,1,1,3
female,137,1,1122,8,111,2,125,1,1,1,5
female,139,0,1110,4,112,1,112,2,1,1,2
female,135,0,1121,13,120,2,112,1,1,1,1
male,135,0,1122,10,111,2,114,1,1,1,1
male,111,1,1121,7,120,2,112,1,1,1,3
male,137,1,1122,9,111,2,114,1,1,1,5
female,122,1,1121,10,111,2,112,1,2,1,5
female,132,0,1110,5,111,1,114,1,1,1,3
female,136,1,1140,11,111,3,112,2,1,1,5
male,138,0,1210,9,111,1,111,1,1,1,1
female,134,1,1132,9,111,1,125,1,1,1,5
female,138,0,1121,12,111,2,112,1,1,1,2
male,135,0,1121,5,111,2,112,1,1,1,3
male,137,1,1132,9,111,4,114,1,1,1,5
female,138,0,1121,9,111,2,112,1,1,1,5
female,135,0,1131,6,111,1,112,1,1,1,4
female,135,0,1140,10,111,4,113,1,1,1,3
male,136,1,1121,10,111,2,112,1,1,1,3
female,137,0,1121,12,111,2,112,1,1,1,3
male,131,1,1122,8,111,2,114,1,1,1,5
female,132,0,1110,4,112,1,113,1,1,1,3
male,124,1,1122,8,111,2,114,1,1,1,3
male,139,1,1122,10,111,2,114,1,1,1,2
male,137,1,1121,9,111,2,112,1,1,1,5
female,137,1,1140,11,111,4,112,1,1,1,5
female,135,1,1122,9,111,2,125,2,1,1,5
male,135,1,1121,5,111,2,112,1,1,1,5
female,133,1,1122,7,120,2,114,1,2,1,5
male,138,1,1122,9,111,2,114,1,1,1,5
female,138,0,1110,5,111,1,125,1,1,1,2
female,133,0,1122,9,111,2,114,1,1,1,2
female,131,0,1131,7,111,1,112,1,1,1,3
female,135,0,1132,9,111,1,113,1,1,1,3
female,132,1,1131,10,111,4,112,1,1,1,5
male,135,0,1210,6,111,1,111,1,1,1,3
female,137,1,1122,10,111,2,125,1,1,1,5
male,122,0,1122,8,111,2,125,1,1,1,1
male,139,1,1121,11,111,2,112,1,1,1,5
female,131,0,1122,9,111,2,125,1,1,1,2
female,137,1,1210,11,111,4,111,1,1,1,5
female,138,1,1122,8,111,2,125,1,1,1,5
female,122,0,1122,10,111,2,114,1,1,1,5
male,131,0,1122,6,111,2,113,1,3,2,2
female,135,0,1122,9,111,2,126,1,1,1,2
female,135,1,1122,7,111,2,114,1,1,1,5
female,137,1,1122,8,111,2,114,1,1,1,5
male,139,0,1121,8,111,2,112,1,1,1,1
female,135,0,1131,6,111,1,112,1,1,1,3
female,135,1,1122,6,111,2,113,1,1,1,4
male,122,0,1122,7,112,2,113,2,1,1,2
male,136,1,1121,8,111,2,112,1,1,1,2
female,136,1,1122,9,111,2,114,1,1,1,5
female,138,0,1121,7,111,2,112,1,1,1,1
male,132,0,1122,7,111,2,126,1,1,1,3
male,136,1,1110,5,112,1,126,1,1,1,5
male,136,0,1122,9,111,2,114,1,1,1,5
male,122,1,1122,8,111,2,125,1,1,1,3
female,131,0,1110,5,111,2,125,1,1,1,2
female,136,0,1122,9,111,2,114,1,1,1,5
female,135,0,1122,7,111,2,114,1,1,1,5
female,138,0,1122,7,111,2,125,1,3,2,3
male,122,1,1122,9,111,2,113,1,1,1,3
female,131,0,1210,7,111,1,111,1,1,1,3
male,139,1,1121,7,111,2,112,1,2,1,2
male,131,1,1122,11,111,2,114,1,1,1,3
female,138,0,1131,6,111,1,112,1,1,1,3
female,131,1,1140,10,120,4,113,2,1,1,5
female,136,1,1122,8,111,2,114,1,1,1,5
female,135,0,1131,5,112,1,112,1,1,1,3
male,122,1,1122,9,111,2,126,1,1,1,5
female,122,0,1122,9,111,2,114,1,1,1,2
female,137,0,1132,6,111,4,113,1,1,1,5
female,135,0,1122,7,111,2,114,1,1,1,3
male,122,1,1131,9,111,1,112,1,1,1,5
female,131,0,1110,4,112,1,126,1,1,1,3
male,137,0,1122,9,111,2,114,1,1,1,2
female,135,0,1121,6,111,2,112,1,3,1,2
female,137,1,1121,11,111,2,112,1,1,1,5
male,122,1,1122,11,111,2,126,1,1,1,5
male,137,1,1122,12,111,2,113,1,1,1,5
female,136,1,1210,11,111,4,111,1,1,1,5
female,122,1,1210,7,111,1,111,1,3,1,5
male,134,1,1132,6,111,1,113,1,1,1,3
male,133,0,1210,5,111,1,111,1,1,1,1
male,139,0,1121,7,111,2,112,1,1,1,3
male,122,0,1121,12,111,2,112,1,3,1,0
female,134,0,1121,7,111,2,112,1,1,1,1
male,137,1,1122,8,111,2,114,1,1,1,5
male,137,1,1122,9,111,2,125,1,1,1,2
male,133,1,1210,5,111,1,111,1,1,1,2
female,137,1,1132,10,111,1,114,1,1,1,5
female,138,0,1122,12,111,2,114,1,1,1,0
male,136,0,1121,8,111,2,112,1,1,1,3
male,131,1,1110,4,111,1,126,1,1,1,3
male,132,0,1110,4,111,1,114,1,3,1,1
male,131,1,1122,8,111,2,114,1,1,1,3
female,135,0,1122,7,111,2,114,1,1,1,4
female,138,0,1122,8,111,2,126,1,1,1,2
male,122,0,1121,8,111,2,112,1,1,1,2
female,122,0,1140,9,111,4,113,1,1,1,2
female,122,1,1122,8,111,2,125,1,1,1,5
female,138,0,1121,11,111,2,112,1,3,1,3
female,122,0,1210,5,111,1,111,1,1,1,3
female,135,0,1122,9,111,2,113,1,1,1,2
male,124,1,1121,11,120,2,112,1,1,1,5
male,122,1,1110,6,111,1,113,1,1,1,4
female,139,1,1122,7,120,2,113,1,1,1,5
female,132,0,1122,9,111,2,114,1,1,1,3
male,131,1,1122,9,111,2,114,1,1,1,2
male,122,1,1210,7,111,1,111,1,1,1,5
male,122,0,1121,7,111,2,112,1,1,1,3
male,131,1,1122,7,111,2,113,1,1,1,4
male,135,0,1122,9,111,2,125,1,1,1,2
female,138,1,1121,9,111,2,112,1,1,1,5
female,135,1,1122,9,111,2,125,1,1,1,2
female,137,1,1122,8,111,2,125,1,1,1,5
female,131,0,1121,11,111,2,112,1,1,1,3
female,122,0,1131,5,111,1,112,1,1,1,3
male,131,0,1110,5,111,1,114,1,1,1,2
female,137,1,1131,6,111,1,112,1,1,1,5
male,131,0,1110,5,111,1,113,1,1,1,3
female,138,1,1122,10,111,2,113,1,1,1,4
male,137,1,1122,11,111,2,114,1,1,1,5
female,131,0,1121,10,111,2,112,1,1,1,2
male,131,0,1132,6,111,1,113,1,1,1,3
female,135,0,1122,8,111,2,125,1,3,1,2
female,122,0,1210,8,111,1,111,1,1,1,5
male,135,0,1210,10,111,2,111,1,1,1,3
male,135,1,1121,8,111,2,112,1,3,2,3
male,122,1,1131,8,111,1,112,2,1,1,3
male,137,1,1131,7,120,1,112,1,1,1,5
male,135,0,1110,5,111,1,114,1,1,1,1
male,131,1,1122,7,111,2,114,1,2,1,3
male,133,1,1110,5,111,1,113,1,1,1,3
male,122,1,1122,9,120,2,114,1,2,1,3
male,111,1,1122,9,120,2,125,1,1,1,2
male,139,1,1131,6,111,1,112,1,1,1,2
male,136,1,1122,9,111,2,125,1,1,1,3
female,132,0,1122,8,111,2,113,1,1,1,2
male,135,1,1110,4,111,1,125,1,1,1,5
male,133,0,1122,11,111,2,114,1,1,1,3
male,124,0,1122,9,111,2,114,1,1,1,3
male,131,0,1122,7,111,2,114,1,1,1,3
male,133,0,1121,12,111,2,112,1,1,1,3
female,135,0,1131,6,111,1,112,2,1,1,2
female,131,0,1220,5,111,1,112,1,1,1,2
male,136,1,1122,11,111,2,125,1,1,1,3
male,138,1,1122,11,111,2,114,1,1,1,5
male,133,1,1122,10,111,2,113,1,1,1,5
female,131,1,1131,6,111,1,112,1,1,1,3
male,136,1,1210,6,111,1,111,1,1,1,5
male,131,1,1131,6,111,1,112,1,1,1,3
male,132,1,1132,6,111,1,113,1,1,1,3
female,138,0,1210,8,111,4,111,1,1,1,3
male,135,1,1122,10,111,2,114,1,2,1,5
male,137,1,1110,9,111,1,112,1,1,1,5
female,135,0,1110,4,112,1,125,1,2,1,3
male,131,1,1121,9,120,2,112,1,1,1,5
female,136,0,1122,9,111,2,114,1,1,1,3
female,138,0,1131,6,111,1,112,1,1,1,3
male,122,0,1122,8,111,2,114,1,1,1,5
female,131,0,1131,6,111,1,112,1,2,1,2
female,138,0,1121,11,111,2,112,1,1,1,3
female,131,0,1110,4,111,1,114,1,1,1,3
female,138,0,1122,6,111,2,114,1,1,1,5
female,135,0,1121,10,111,2,112,1,1,1,3
female,133,0,1122,8,111,2,113,1,1,1,3
female,137,1,1110,5,111,1,113,1,1,1,5
male,122,1,1121,13,111,2,112,1,2,1,5
female,135,0,1110,4,111,1,126,1,1,1,3
female,135,1,1210,12,111,3,111,1,1,1,5
male,136,1,1210,8,111,1,111,1,1,1,5
female,135,1,1122,7,111,2,114,1,1,1,4
female,131,0,1131,7,111,1,112,1,1,1,2
female,131,0,1210,5,111,1,111,1,1,1,1
male,131,0,1122,8,111,2,125,1,1,1,3
female,111,1,1122,8,120,2,114,1,1,1,5
male,131,0,1110,4,112,1,125,1,1,1,2
female,131,0,1110,4,112,1,114,1,1,1,3
male,135,1,1122,7,111,2,113,1,2,1,3
male,122,1,1122,10,111,2,114,1,1,1,3
male,131,0,1210,7,111,1,111,1,1,1,3
male,111,1,1121,13,111,2,112,1,1,1,3
male,135,0,1210,11,111,4,111,1,1,1,3
female,131,0,1122,8,111,2,114,1,1,1,3
male,131,0,1110,5,111,1,113,1,1,1,2
female,133,1,1122,10,111,2,113,1,1,1,4
female,139,0,1122,6,111,2,113,1,1,1,2
male,136,1,1110,8,111,1,114,1,1,1,5
male,137,1,1122,9,111,2,125,1,1,1,5
female,133,0,1140,11,111,4,113,1,3,2,1
male,136,1,1122,9,111,2,125,1,1,1,5
male,134,1,1131,7,111,1,112,1,1,1,5
male,137,1,1122,12,111,2,113,1,1,1,5
male,137,1,1210,9,111,4,111,1,1,1,5
female,133,1,1122,7,111,2,114,1,1,1,5
male,122,0,1121,7,111,2,112,1,1,1,2
male,137,1,1121,11,111,2,112,1,1,1,5
male,111,0,1131,10,120,1,112,2,1,1,3
male,135,1,1122,7,111,2,125,1,1,1,5
male,134,1,1121,12,111,2,112,1,1,1,3
male,132,0,1121,6,112,2,112,1,1,1,1
male,124,1,1210,9,111,1,111,1,1,1,5
male,135,0,1110,4,111,1,114,1,1,1,1
male,136,0,1122,10,111,2,125,1,1,1,3
male,137,1,1121,12,111,2,113,1,1,1,2
male,122,0,1122,7,111,2,114,1,1,1,3
female,139,0,1140,9,111,4,112,1,1,1,5
male,135,1,1122,10,111,2,125,1,1,1,5
male,122,1,1131,8,111,1,112,1,1,1,5
female,122,0,1122,7,111,2,114,1,1,1,3
female,138,1,1121,7,111,2,112,1,1,1,5
male,131,1,1122,10,111,2,113,1,1,1,1
male,135,0,1110,7,111,1,113,1,1,1,3
female,131,0,1122,8,111,2,125,1,1,1,3
male,111,0,1121,13,120,2,112,1,1,1,3
male,135,0,1131,6,111,1,112,1,1,1,3
female,139,0,1122,11,112,2,113,1,1,1,2
male,122,0,1131,8,111,1,112,1,1,1,3
male,124,0,1122,9,111,2,125,1,1,1,2
female,138,0,1122,9,111,2,114,1,3,1,1
female,132,1,1122,8,120,2,114,1,1,1,2
male,136,0,1122,11,111,2,113,1,1,1,2
female,138,1,1140,8,111,2,114,1,1,1,5
male,136,1,1122,11,111,2,114,1,1,1,5
male,133,0,1131,6,111,1,112,1,1,1,3
male,131,1,1121,12,111,2,112,1,1,1,3
female,135,1,1110,6,111,1,113,1,1,1,5
female,122,0,1122,9,111,2,114,1,1,1,2
female,122,1,1122,10,111,2,114,1,1,1,5
male,134,1,1131,10,111,1,112,1,1,1,5
male,136,0,1110,6,111,2,114,1,2,1,5
female,122,0,1110,5,111,4,113,1,1,1,3
male,133,0,1110,5,111,1,113,1,1,1,3
female,122,1,1121,11,111,2,112,1,1,1,5
female,135,0,1122,8,111,2,114,1,1,1,1
female,133,1,1220,10,111,1,125,1,1,1,5
male,135,1,1122,10,111,2,114,1,1,1,5
female,135,1,1131,6,111,1,112,2,1,1,5
female,122,0,1122,9,111,2,125,1,1,1,2
male,131,0,1110,5,111,2,114,1,1,1,3
male,137,0,1122,8,111,2,114,1,2,1,5
male,134,1,1121,14,111,2,113,1,1,1,5
male,135,1,1122,6,111,2,113,1,1,1,3
female,131,0,1121,6,111,2,112,1,1,1,3
female,137,0,1210,10,111,1,111,1,1,1,4
female,137,1,1210,11,111,4,111,1,1,1,5
male,131,1,1122,9,111,2,125,1,1,1,5
male,131,1,1132,9,120,1,113,1,1,1,1
female,137,0,1121,11,111,2,112,1,1,1,1
male,131,0,1122,7,111,2,114,1,1,1,2
male,124,1,1121,13,120,2,112,1,2,1,3
male,131,0,1122,8,111,2,114,1,1,1,2
female,139,0,1110,4,112,1,114,1,1,1,3
female,122,0,1210,5,111,1,111,1,1,1,2
male,135,1,1122,9,111,2,114,1,1,1,5
male,131,0,1122,7,111,2,114,1,1,1,3
male,137,1,1121,12,111,2,112,1,1,1,5
male,131,0,1122,10,111,2,114,1,1,1,3
male,131,1,1110,8,111,1,112,1,1,1,5
female,138,0,1110,5,111,1,114,1,1,1,5
male,132,0,1110,5,112,1,114,1,3,1,3
female,132,0,1122,10,111,2,113,1,1,1,2
male,135,1,1122,8,111,2,113,1,1,1,5
male,137,1,1220,12,111,3,113,1,3,2,5
female,122,0,1210,7,111,1,111,1,3,2,3
male,135,0,1210,5,111,1,111,1,1,1,5
male,136,1,1122,8,111,2,125,1,1,1,5
female,137,1,1121,8,111,2,112,1,1,1,5
male,136,0,1122,10,111,2,114,1,1,1,3
male,137,1,1131,8,111,4,112,1,1,1,5
male,135,1,1122,10,111,2,114,1,1,1,3
male,138,0,1210,10,111,1,114,1,1,1,3
male,132,0,1122,10,111,2,114,1,1,2,3
female,122,1,1122,10,111,2,114,1,1,1,5
male,124,0,1121,8,111,2,112,1,3,1,0
female,138,0,1122,10,111,2,113,1,1,1,3
male,122,0,1121,10,111,2,112,1,1,1,2
male,122,1,1122,9,111,2,125,1,1,1,5
female,139,0,1122,9,111,2,114,1,1,1,2
female,139,1,1122,8,111,2,114,1,1,1,5
female,138,1,1122,15,111,4,113,1,1,1,5
female,136,0,1131,8,111,1,112,1,1,1,2
male,122,1,1110,12,111,2,113,1,1,1,3
female,135,1,1122,11,111,2,114,1,1,1,5
male,134,0,1131,12,111,3,112,2,1,2,3
female,136,0,1122,9,111,2,114,1,1,1,3
male,135,0,1122,10,111,2,126,1,1,1,3
female,122,0,1131,5,111,1,112,1,1,1,3
female,135,1,1210,7,111,4,111,1,1,1,5
female,135,0,1110,4,112,1,125,1,1,1,2
male,124,1,1122,7,111,2,113,1,1,1,5
male,136,0,1121,12,111,2,112,1,1,1,1
male,131,0,1110,4,112,1,114,1,2,1,3
female,137,1,1132,7,111,4,113,1,1,1,5
male,137,1,1122,11,111,2,113,1,1,1,5
female,138,0,1140,6,111,1,112,1,1,1,3
male,135,1,1121,11,120,2,112,1,1,1,3
female,131,0,1140,9,111,1,113,1,2,1,3
male,132,0,1110,4,111,1,113,1,1,1,2
female,137,1,1131,6,111,1,112,1,1,1,5
female,131,0,1140,7,111,1,112,1,1,1,2
male,136,0,1121,11,111,2,112,1,1,1,2
male,136,1,1122,11,111,2,113,1,1,1,5
male,111,1,1122,12,120,2,126,1,1,1,3
female,134,1,1122,9,111,2,114,1,1,1,5
female,138,0,1110,4,111,1,114,1,1,1,1
male,137,1,1122,9,120,2,126,1,1,1,5
male,131,0,1132,6,111,1,113,1,1,1,3
male,137,0,1121,12,111,2,112,1,1,1,5
male,139,0,1122,7,111,2,113,1,1,1,5
female,131,0,1122,9,111,2,125,1,1,1,3
male,131,1,1122,8,111,2,114,1,1,1,3
female,135,1,1121,8,120,2,112,1,3,1,0
male,133,1,1122,11,111,2,114,1,1,1,4
male,135,1,1122,11,111,2,114,1,1,1,5
female,138,0,1121,11,111,2,112,1,1,1,3
male,131,1,1210,7,111,4,111,1,1,1,5
male,122,0,1210,12,111,4,111,1,1,1,2
male,133,0,1122,7,111,2,114,1,1,1,3
male,136,1,1122,9,111,2,125,1,1,1,5
female,138,0,1132,10,111,1,113,1,1,1,3
male,131,0,1122,8,111,2,114,1,1,1,3
male,133,1,1122,13,111,2,114,1,1,1,3
male,131,1,1210,11,111,4,111,1,1,1,3
female,138,1,1132,8,111,1,113,1,1,1,3
male,124,1,1122,8,111,2,113,1,1,1,3
male,124,1,1121,12,111,2,112,1,1,1,4
female,134,0,1131,6,111,1,112,2,1,1,2
male,122,0,1122,10,111,2,113,1,1,1,2
male,131,0,1110,4,112,1,113,1,3,1,2
male,131,0,1131,5,111,1,112,1,1,1,3
male,136,0,1122,11,111,2,113,1,1,1,3
female,138,1,1122,10,111,2,114,1,1,1,5
female,137,1,1122,10,111,2,114,2,3,2,5
male,134,1,1210,10,111,1,111,1,1,1,4
female,138,1,1122,11,111,2,113,1,2,1,5
male,138,1,1121,11,111,2,112,1,1,1,5
female,131,0,1210,5,112,1,111,1,1,1,5
male,131,1,1131,6,111,1,112,1,1,1,3
male,131,0,1110,5,111,1,112,1,1,1,2
female,138,0,1122,11,111,2,113,1,1,1,3
female,131,0,1121,11,111,2,112,1,1,1,2
male,124,0,1110,10,111,1,112,1,1,1,3
male,135,0,1121,7,120,2,112,1,1,1,4
female,137,1,1122,9,111,2,114,1,1,2,5
male,122,1,1131,7,111,1,112,1,1,1,5
male,122,0,1122,8,111,2,114,1,1,1,3
male,131,0,1122,7,111,2,114,1,1,1,2
male,137,1,1122,11,111,2,113,1,1,1,5
female,138,0,1121,12,111,2,112,1,1,1,3
female,135,0,1122,10,111,2,113,1,2,1,2
female,134,1,1121,13,111,2,112,1,1,1,5
female,135,0,1122,7,111,2,114,1,1,1,1
female,137,1,1122,11,111,2,114,1,1,1,5
male,138,1,1110,7,111,1,113,1,1,1,5
male,131,0,1121,11,120,2,112,1,2,1,3
female,138,0,1110,5,111,1,113,1,1,1,5
male,111,1,1122,14,120,2,113,1,1,1,3
female,122,1,1122,7,111,2,114,1,1,1,5
male,111,1,1122,12,120,2,113,1,1,1,2
male,138,1,1122,11,111,2,113,1,3,3,4
female,136,0,1121,11,111,2,112,1,1,1,3
female,138,1,1122,8,111,2,125,2,1,1,5
female,131,1,1210,8,111,1,111,1,1,1,3
female,131,0,1110,4,112,1,113,1,1,1,2
male,137,1,1121,12,111,2,112,1,1,1,5
male,132,0,1122,9,111,2,114,1,1,1,2
male,132,0,1110,4,112,1,113,1,1,1,3
female,131,0,1110,4,111,1,114,1,1,1,3
female,132,0,1131,5,111,1,112,1,3,2,3
male,139,1,1122,7,111,2,114,1,1,1,5
male,135,0,1131,11,111,3,112,1,1,1,3
female,132,1,1122,12,111,2,113,1,1,2,2
male,122,0,1122,12,111,2,113,1,1,1,3
male,135,1,1122,8,111,2,126,1,1,1,3
male,124,1,1122,10,120,2,125,1,1,1,4
female,131,0,1122,6,111,2,114,1,1,1,1
female,131,0,1110,4,112,1,125,1,1,1,3
female,138,0,1131,6,111,4,112,1,1,1,2
male,136,1,1122,8,111,2,125,1,1,1,5
female,122,0,1122,10,111,2,114,1,1,1,3
female,137,0,1121,12,111,2,112,1,1,1,5
female,131,0,1122,8,111,2,114,1,1,1,2
male,131,1,1121,5,111,2,112,1,1,1,1
male,138,0,1132,8,111,1,114,1,1,1,3
female,135,0,1121,14,111,2,112,1,1,1,3
male,122,0,1121,11,111,2,112,1,1,1,3
male,136,0,1122,9,111,2,113,1,1,1,4
female,135,1,1121,9,120,2,112,1,1,1,3
female,138,0,1131,6,111,1,112,1,1,1,2
female,111,0,1122,11,111,2,113,1,1,1,2
male,135,0,1110,4,112,1,126,1,1,1,5
male,122,1,1122,8,111,2,114,1,1,1,3
