sex,cur_eco_activity,economic_status,age,household_position,citizenship,household_size,occupation,prev_residence_place,edu_level,country_birth,marital_status
male,124,111,10,1122,1,113,1,1,5,1,2
male,131,111,8,1122,1,125,1,1,3,1,2
male,124,120,4,1110,1,114,1,1,3,1,2
male,137,111,7,1122,1,114,0,1,4,1,2
male,133,111,8,1131,1,112,1,2,5,3,1
male,139,120,11,1131,1,112,1,1,5,1,4
male,135,111,5,1122,1,114,1,1,5,1,2
male,135,111,6,1121,1,112,1,1,5,1,2
male,134,111,11,1122,1,114,1,2,3,3,2
male,124,111,8,1122,1,113,0,1,2,1,2
male,136,111,5,1121,1,112,1,1,5,1,2
male,137,111,9,1210,1,111,1,1,5,1,1
male,135,120,8,1110,1,113,0,1,3,1,1
male,137,111,6,1210,1,111,0,1,2,1,1
male,135,111,9,1122,1,113,0,1,2,1,2
male,111,120,11,1122,1,114,0,1,2,1,2
male,122,111,8,1131,1,112,1,1,5,1,1
male,131,111,7,1210,2,111,1,1,4,1,1
male,131,111,6,1122,1,113,0,1,2,1,2
male,135,111,5,1121,1,112,1,2,3,3,2
male,124,120,10,1220,1,114,0,1,2,1,1
male,137,111,8,1210,1,111,0,1,3,1,1
male,122,111,10,1122,1,114,0,1,3,1,2
male,135,111,11,1122,1,113,0,1,2,1,2
male,124,111,9,1210,1,111,0,1,1,1,1
male,131,111,8,1210,1,111,1,1,5,1,1
male,135,111,8,1210,1,111,1,1,3,1,1
male,137,111,8,1132,1,125,1,1,3,1,4
male,138,111,11,1122,1,114,0,1,2,1,2
male,122,111,8,1122,1,114,1,1,5,1,2
male,132,111,5,1121,1,112,0,1,3,1,2
male,135,120,9,1122,1,113,1,1,3,1,2
male,122,111,9,1122,1,113,1,1,5,1,2
male,124,120,9,1132,1,113,0,1,5,2,1
male,135,120,4,1210,1,111,0,1,2,2,2
male,124,111,6,1121,1,112,1,1,5,1,2
male,137,111,9,1122,1,113,0,1,3,1,2
male,136,111,6,1121,1,112,0,1,3,1,2
male,136,111,11,1210,1,111,1,1,4,1,1
male,122,111,5,1210,1,111,0,1,3,1,1
male,139,111,11,1122,1,113,1,1,5,1,2
male,134,111,11,1122,1,113,0,1,1,1,2
male,124,111,8,1122,1,114,1,1,3,1,2
male,135,111,6,1122,1,113,1,1,2,1,2
male,131,111,12,1131,1,112,1,1,4,1,1
male,122,111,12,1121,1,112,0,1,2,2,2
male,134,111,7,1121,1,112,0,1,2,1,2
male,131,111,7,1132,1,114,1,1,5,1,1
male,134,111,12,1121,1,112,0,1,3,1,2
male,135,111,6,1122,1,114,0,1,3,2,2
male,122,111,7,1210,1,111,0,1,3,1,1
male,124,111,10,1122,1,114,0,1,2,1,2
male,122,111,10,1131,1,112,0,1,3,2,1
male,135,111,10,1122,1,125,1,2,3,1,2
male,135,111,7,1121,1,112,1,1,0,1,2
male,137,111,5,1121,1,112,0,1,3,1,2
male,135,111,6,1110,1,112,0,1,3,1,1
male,124,111,13,1110,1,114,0,1,4,1,1
male,122,111,9,1122,1,114,1,1,4,1,2
male,139,111,9,1122,1,113,1,1,5,1,2
male,135,120,11,1131,1,112,1,1,5,1,1
male,111,111,11,1210,1,111,1,1,5,1,3
male,131,111,5,1110,1,125,0,1,3,1,1
male,122,111,10,1121,1,112,0,1,5,1,2
male,131,111,9,1122,1,114,1,1,5,1,2
male,131,111,11,1122,1,125,1,1,5,1,2
male,122,111,8,1131,1,112,1,1,2,1,1
male,138,111,9,1122,1,114,1,1,3,1,2
male,111,120,9,1140,3,113,0,1,1,1,4
male,135,112,15,1220,1,126,1,1,2,1,1
male,134,111,11,1220,1,112,0,1,1,1,1
male,131,111,10,1121,1,112,0,1,2,1,2
male,122,120,12,1121,1,112,1,1,3,1,2
male,135,111,8,1122,1,125,0,1,3,1,2
male,135,120,13,1121,1,112,1,1,3,1,2
male,135,111,6,1122,1,114,0,1,3,1,2
male,131,111,5,1220,3,112,0,1,4,1,2
male,135,111,10,1122,1,114,0,1,2,1,2
male,137,111,8,1122,3,114,0,1,1,1,2
male,135,111,5,1110,1,125,0,1,2,1,1
male,132,111,8,1122,1,114,1,1,3,1,2
male,134,111,8,1122,1,113,0,1,3,1,2
male,131,120,11,1122,1,113,1,1,5,1,2
male,138,111,11,1121,1,112,1,1,3,1,2
male,137,111,10,1210,1,111,1,1,5,1,1
male,136,111,9,1122,1,114,0,1,4,1,2
male,133,111,6,1131,1,112,1,1,5,1,1
male,124,111,7,1122,1,114,1,1,5,1,2
male,133,111,6,1121,1,112,1,1,5,1,2
male,131,111,7,1121,1,112,1,1,5,1,2
male,135,111,7,1132,1,114,1,1,5,2,4
male,135,111,13,1220,1,126,0,1,3,1,1
male,136,111,7,1122,1,114,1,1,5,1,2
male,138,111,7,1122,1,114,1,1,5,1,2
male,136,111,11,1122,1,114,1,1,3,1,2
male,135,120,10,1131,1,111,0,1,4,1,4
male,122,111,9,1122,1,114,1,1,3,2,2
male,135,111,6,1122,1,114,1,1,5,1,2
male,136,111,9,1121,1,112,0,1,4,1,2
male,131,111,11,1210,1,111,1,1,5,1,1
male,135,120,10,1132,1,113,0,1,3,1,1
male,131,111,8,1121,1,112,0,1,3,1,2
male,122,111,6,1122,1,114,1,1,5,3,2
male,132,111,7,1122,1,125,0,1,2,3,2
male,124,111,8,1132,1,113,0,1,3,1,1
male,131,111,7,1210,1,111,1,1,5,1,4
male,131,111,9,1121,1,112,0,1,2,1,2
male,131,111,7,1132,1,125,0,1,3,1,1
male,137,111,11,1122,1,125,0,1,3,1,2
male,137,111,8,1122,1,125,0,1,3,1,2
male,135,111,12,1121,1,112,1,1,3,1,2
male,138,111,8,1110,1,113,1,1,5,1,1
male,131,111,6,1121,1,112,0,1,2,1,2
male,137,111,11,1132,1,114,0,1,3,1,1
male,131,111,11,1131,1,112,1,1,5,1,1
male,135,111,7,1132,1,114,0,1,2,1,1
male,131,112,4,1110,1,126,0,1,2,1,1
male,137,111,12,1210,1,111,1,1,3,1,4
male,122,111,8,1132,1,113,1,1,5,1,1
male,136,111,12,1121,1,112,0,1,2,1,2
male,135,120,7,1131,1,112,0,1,3,1,2
male,135,111,12,1121,1,112,0,1,5,1,2
male,131,111,10,1122,1,126,1,1,5,1,2
male,139,111,11,1121,1,112,1,1,3,1,2
male,124,111,10,1110,1,113,1,1,5,1,1
male,135,111,5,1121,1,112,1,1,5,1,2
male,136,111,11,1121,1,112,1,1,5,1,2
male,136,111,6,1210,1,111,1,1,5,1,1
male,131,111,8,1121,1,112,0,1,3,3,2
male,137,111,9,1122,1,113,0,1,3,1,2
male,122,111,9,1122,1,114,1,1,1,1,2
male,135,111,10,1122,1,114,0,1,3,1,2
male,135,111,6,1122,1,114,1,1,5,1,2
male,131,111,9,1122,1,114,1,1,1,1,2
male,139,111,13,1121,1,112,0,1,2,1,2
male,134,111,8,1131,1,112,1,1,2,1,1
male,131,111,7,1122,1,113,0,1,3,1,2
male,136,111,9,1210,1,111,0,1,3,1,1
male,133,111,5,1110,1,126,1,1,3,2,1
male,122,111,8,1210,1,111,0,1,3,1,1
male,131,120,7,1122,1,113,1,2,4,1,2
male,131,111,11,1122,1,114,0,1,4,1,2
male,136,111,11,1122,1,114,1,1,4,2,2
male,135,111,7,1132,1,114,1,1,5,3,1
male,133,111,8,1210,1,111,0,1,3,1,1
male,132,111,11,1131,1,112,1,1,5,1,1
male,136,111,9,1131,1,112,0,1,2,1,4
male,136,111,8,1122,1,113,0,1,3,1,2
male,131,111,12,1122,1,113,0,1,2,1,2
male,136,111,10,1210,1,111,0,1,2,1,1
male,133,111,6,1121,1,112,0,1,2,1,2
male,135,111,8,1122,1,114,1,1,3,1,2
male,131,111,7,1110,1,114,0,1,3,1,1
male,135,111,8,1122,1,114,0,1,3,1,2
male,139,111,10,1131,1,112,0,1,4,1,1
male,135,112,4,1210,1,111,0,1,3,1,2
male,136,111,10,1122,1,126,1,1,5,1,2
male,131,111,7,1131,1,112,0,1,2,1,1
male,131,120,9,1132,1,114,1,1,5,1,4
male,138,120,4,1121,1,112,0,1,2,1,2
male,122,111,9,1122,1,125,0,1,3,1,2
male,137,111,13,1122,1,114,0,1,2,1,2
male,131,111,8,1122,1,125,0,1,3,1,2
male,137,111,11,1210,1,111,0,1,2,1,1
male,135,111,9,1122,1,114,0,1,3,1,2
male,137,111,9,1132,1,114,1,1,5,1,1
male,122,111,8,1122,1,125,0,1,2,1,2
male,122,111,8,1122,1,125,1,1,2,1,2
male,135,111,5,1131,1,112,1,1,3,1,1
male,138,120,8,1122,1,126,1,1,2,1,2
male,133,111,9,1122,1,114,1,1,3,1,2
male,138,112,7,1210,1,111,0,1,5,3,1
male,122,111,10,1122,1,114,0,1,3,1,2
male,135,111,10,1122,1,113,1,1,3,1,2
male,111,120,6,1132,1,114,1,1,5,1,4
male,135,111,6,1121,1,112,1,1,3,1,2
male,122,111,9,1122,1,114,1,1,5,1,2
male,131,111,7,1131,1,112,1,1,3,1,1
male,122,111,12,1122,1,114,0,1,2,1,2
male,137,111,11,1131,1,112,1,1,3,1,4
male,131,111,8,1122,1,114,1,1,5,1,2
male,122,111,10,1122,1,125,1,1,5,1,2
male,135,111,6,1121,1,112,0,1,1,1,2
male,131,111,7,1210,1,111,0,2,5,1,1
male,139,111,7,1122,3,114,1,1,5,1,2
male,131,111,9,1122,1,114,1,1,5,1,2
male,132,111,4,1131,1,112,0,1,3,1,2
male,131,112,4,1220,1,125,0,1,3,1,2
male,137,111,11,1132,1,113,1,1,5,1,1
male,111,111,9,1140,1,112,0,1,2,1,4
male,138,111,11,1210,1,111,1,1,5,1,1
male,131,111,7,1210,1,111,1,1,2,3,4
male,133,111,12,1122,1,113,0,1,3,1,2
male,132,111,9,1210,1,111,1,1,3,1,1
male,132,111,7,1122,1,113,1,1,5,2,2
male,131,111,9,1122,1,113,1,1,5,1,2
male,133,111,11,1122,1,114,0,1,2,1,2
male,135,120,10,1122,1,113,1,1,5,1,2
male,131,111,8,1122,1,113,0,1,1,1,2
male,124,111,8,1220,1,113,1,1,5,1,1
male,137,111,12,1210,1,111,1,1,5,1,1
male,138,111,8,1122,1,114,0,1,3,3,2
male,138,120,9,1132,1,114,0,1,5,1,1
male,133,111,7,1220,1,113,1,1,5,2,1
male,135,112,4,1131,1,112,1,1,5,1,2
male,122,111,12,1121,1,112,0,1,1,1,2
male,124,111,10,1210,1,111,1,1,5,1,1
male,135,120,11,1122,1,113,0,1,2,1,2
male,137,111,11,1121,1,112,1,2,3,1,2
male,135,111,13,1121,1,112,0,1,3,1,2
male,132,111,6,1121,1,112,1,1,5,3,2
male,131,112,4,1131,1,112,0,1,2,1,2
male,136,111,9,1122,1,114,1,1,3,1,2
male,135,120,11,1122,1,114,0,1,3,1,2
male,133,120,4,1110,1,112,0,1,5,1,2
male,135,111,7,1122,1,114,1,1,5,1,2
male,131,111,5,1210,1,111,0,1,2,1,1
male,132,111,8,1121,1,112,1,1,3,1,2
male,136,111,12,1210,1,111,1,1,3,3,1
male,136,111,7,1131,1,112,1,1,3,1,1
male,137,111,8,1122,1,114,0,1,5,1,2
male,122,111,5,1110,1,114,0,1,3,3,2
male,133,111,8,1132,1,113,1,1,3,1,1
male,131,120,7,1110,1,113,0,1,3,1,1
male,135,111,7,1131,1,112,0,1,2,1,1
male,122,111,11,1122,1,113,1,1,5,1,2
male,133,111,8,1210,1,111,0,1,3,1,1
male,135,120,9,1122,1,113,1,1,3,1,2
male,131,111,4,1210,1,111,0,1,5,2,2
male,131,111,11,1131,1,112,1,1,3,1,1
male,131,111,5,1121,1,112,1,2,5,1,2
male,136,111,11,1131,1,112,0,1,3,1,1
male,111,120,11,1131,1,112,0,1,3,1,1
male,138,111,8,1122,1,114,1,1,2,1,2
male,131,111,6,1121,1,112,1,1,3,1,2
male,135,120,13,1210,1,111,0,1,1,1,1
male,124,111,6,1110,1,113,0,1,3,1,4
male,133,111,6,1210,1,111,1,1,5,1,1
male,122,111,4,1132,1,114,1,1,5,1,2
male,134,120,7,1131,1,112,0,1,2,1,4
male,131,111,7,1132,1,113,1,1,1,1,1
male,138,120,9,1122,1,125,0,1,1,1,2
male,137,111,10,1122,1,114,0,1,3,1,2
male,133,120,6,1122,1,125,0,1,3,1,2
male,135,111,9,1122,1,113,1,1,5,1,2
male,137,111,6,1122,1,114,1,1,3,1,2
male,131,112,4,1140,1,114,0,1,1,1,2
male,111,120,11,1121,1,112,0,1,2,1,2
male,133,111,8,1122,1,113,0,1,3,1,2
male,137,111,13,1210,1,111,1,1,2,1,1
male,135,111,10,1122,1,114,1,1,5,1,2
male,122,111,6,1122,1,126,1,1,5,1,2
male,135,111,6,1122,1,125,1,1,5,1,2
male,131,111,9,1122,1,114,0,1,2,1,2
male,137,111,6,1131,1,112,1,1,3,1,1
male,131,111,7,1210,1,111,0,1,5,1,1
male,131,111,13,1121,1,112,1,1,3,1,2
male,132,120,6,1122,1,114,0,1,5,2,2
male,131,111,5,1121,1,112,0,1,2,1,2
male,135,111,8,1210,1,111,0,1,3,1,1
male,131,111,10,1121,1,112,1,1,4,1,2
male,136,111,10,1122,1,114,1,1,1,1,2
male,134,111,8,1121,3,112,1,1,3,1,2
male,135,111,4,1122,1,113,1,1,3,1,4
male,122,111,11,1122,1,125,1,1,3,1,2
male,122,111,12,1122,1,114,1,1,3,1,2
male,131,111,4,1110,1,113,1,1,1,1,1
male,131,111,5,1121,1,112,0,1,2,1,2
male,137,111,11,1122,1,113,1,1,3,1,2
male,134,111,12,1122,1,114,1,1,5,1,2
male,135,111,10,1122,1,114,1,1,5,1,2
male,131,111,8,1131,1,112,1,1,3,1,1
male,135,111,6,1132,1,113,1,1,5,1,1
male,138,111,8,1122,1,114,1,1,5,1,2
male,111,120,13,1122,1,113,1,1,5,1,2
male,139,120,8,1121,1,112,0,1,2,1,2
male,131,111,4,1110,1,114,0,2,5,1,4
male,136,111,7,1122,1,113,0,1,3,2,2
male,139,111,7,1122,1,125,1,1,3,1,2
male,136,111,5,1121,1,112,0,1,2,1,2
male,124,111,6,1110,1,113,0,1,3,1,1
male,134,111,8,1122,1,114,1,1,5,1,2
male,139,111,12,1122,1,125,1,1,3,1,2
male,131,120,4,1110,1,126,0,1,2,1,2
male,135,111,13,1121,1,112,1,1,5,1,2
male,131,111,4,1210,1,111,0,1,2,1,2
male,122,111,11,1121,1,112,0,1,5,2,2
male,124,111,10,1210,1,111,1,1,5,1,1
male,135,111,6,1121,1,112,0,1,3,1,2
male,111,120,7,1122,1,113,0,1,2,1,2
male,135,111,5,1122,1,114,1,1,5,1,2
male,132,120,10,1210,1,111,0,1,2,3,1
male,111,120,9,1122,1,113,0,1,3,1,2
male,122,111,11,1122,1,125,1,1,3,1,2
male,122,111,6,1210,1,111,1,1,5,1,1
male,136,111,10,1122,1,113,0,1,3,1,2
male,131,111,8,1121,1,112,1,1,3,1,2
male,132,111,5,1121,1,112,1,1,5,1,2
male,135,111,8,1122,1,113,1,1,2,1,2
male,135,111,11,1210,1,111,0,1,2,2,1
male,138,111,12,1122,1,114,0,1,2,1,2
male,131,111,8,1122,1,114,1,1,5,2,2
male,136,111,9,1122,1,113,0,1,3,1,2
male,136,111,9,1122,1,114,1,1,3,1,2
male,136,111,12,1121,1,112,1,1,5,1,2
male,133,120,5,1122,1,125,1,1,1,3,2
male,131,111,8,1122,1,114,1,1,5,1,2
male,137,111,8,1122,1,114,1,1,3,1,2
male,137,111,9,1122,1,114,1,1,5,1,2
male,136,111,12,1210,1,111,1,1,5,1,1
male,131,111,4,1121,1,112,1,1,3,1,2
male,122,111,9,1122,1,125,0,1,3,1,2
male,135,111,6,1210,1,111,0,1,3,1,1
male,135,120,15,1131,1,112,0,1,3,1,2
male,138,111,10,1110,1,113,1,1,5,1,1
male,136,111,6,1121,1,112,1,1,5,3,2
male,122,111,8,1122,1,125,1,1,5,1,2
male,122,111,9,1122,1,114,1,1,5,1,2
male,136,111,6,1121,1,112,0,1,3,1,2
male,131,111,5,1121,1,112,1,1,5,1,2
male,135,111,6,1220,1,113,0,1,2,1,1
male,133,111,9,1122,1,113,0,1,1,1,2
male,131,111,10,1122,1,125,1,1,5,1,2
male,136,111,9,1210,1,111,1,1,2,1,1
male,131,120,5,1121,1,112,1,1,5,1,3
male,131,111,7,1122,1,114,0,1,3,1,2
male,136,111,8,1210,1,111,0,1,2,1,1
male,135,120,10,1122,1,113,0,1,2,1,2
male,135,120,8,1122,1,113,0,1,3,1,2
male,133,111,9,1122,1,113,1,1,5,1,2
male,135,111,9,1122,1,113,1,1,3,1,2
male,122,111,7,1121,1,112,0,1,1,1,2
male,111,120,8,1131,1,112,1,1,3,1,1
male,122,111,8,1122,1,114,0,1,1,1,2
male,135,111,6,1121,1,112,0,1,4,1,2
male,122,111,10,1122,1,113,1,1,3,1,2
male,131,111,7,1122,1,125,1,1,5,1,2
male,137,111,6,1122,1,113,0,1,3,1,2
male,138,111,12,1121,1,112,1,1,3,1,2
male,136,111,8,1122,2,125,0,1,3,1,2
male,138,111,11,1121,1,112,1,1,3,1,2
male,134,111,10,1132,1,113,0,1,3,1,1
male,137,111,10,1122,1,113,0,1,0,1,2
male,135,111,7,1122,1,113,0,1,3,1,2
male,138,111,11,1121,1,112,1,1,3,1,2
male,131,111,11,1121,1,112,0,1,2,1,2
male,131,111,6,1131,1,112,0,1,3,1,1
male,131,120,10,1122,1,125,0,1,1,1,2
male,135,111,8,1122,1,114,0,1,3,1,2
male,132,111,7,1210,1,111,0,1,1,3,1
male,135,111,4,1110,1,114,0,1,3,1,2
male,139,111,11,1121,1,112,1,1,4,1,2
male,138,111,10,1122,1,126,0,1,3,1,2
male,138,111,11,1122,1,114,1,1,5,1,2
male,131,111,10,1210,1,111,0,1,3,1,1
male,135,120,10,1122,1,114,0,1,3,1,2
male,138,111,8,1122,1,126,0,1,3,1,2
male,132,111,10,1210,1,111,1,1,3,1,1
male,111,120,12,1210,1,113,0,1,3,1,1
male,111,120,12,1121,1,112,1,1,3,1,2
male,122,111,9,1122,1,125,1,1,3,1,2
male,122,111,11,1140,1,112,0,1,3,1,4
male,138,111,8,1121,1,112,1,1,5,1,2
male,124,111,10,1210,1,111,0,1,2,1,1
male,111,120,12,1122,1,114,1,1,3,1,2
male,131,111,9,1122,1,126,1,1,4,1,2
male,131,120,8,1210,2,111,0,1,3,1,1
male,136,111,7,1132,1,125,1,1,5,1,1
male,138,111,10,1122,1,114,0,1,2,1,2
male,133,111,7,1122,1,114,0,1,2,1,2
male,131,120,5,1131,1,112,0,1,2,1,4
male,131,111,8,1110,1,113,0,2,5,1,1
male,135,111,7,1122,2,114,1,1,5,1,2
male,131,111,6,1121,1,112,0,1,1,1,2
male,132,120,7,1131,1,112,0,1,3,1,1
male,122,111,7,1131,1,112,1,1,5,1,1
male,124,111,7,1122,1,113,0,1,3,1,2
male,136,111,8,1122,1,113,0,1,2,1,2
male,136,111,6,1122,1,114,0,1,2,1,2
male,133,111,5,1110,1,112,0,1,3,1,1
male,132,111,7,1210,1,111,1,1,3,1,1
male,134,111,11,1210,1,111,0,1,3,1,1
male,122,111,8,1131,1,112,1,1,5,1,1
male,131,111,11,1122,1,114,0,1,1,1,2
male,131,111,7,1122,1,114,0,1,2,1,2
male,131,111,5,1121,1,112,1,1,3,1,2
male,135,111,8,1122,1,114,1,1,5,1,2
male,135,111,12,1122,1,114,0,1,2,1,2
male,131,111,10,1132,1,114,1,1,2,1,1
male,131,111,7,1131,1,112,0,1,1,1,1
male,133,111,12,1122,1,114,1,2,2,1,2
male,122,111,12,1122,1,113,1,1,3,1,2
male,136,111,12,1121,1,112,0,1,1,1,2
male,131,111,8,1121,1,112,0,1,3,1,2
male,137,111,10,1122,1,114,0,1,3,1,2
male,122,111,9,1132,1,114,1,1,2,1,1
male,137,111,8,1122,1,113,1,1,5,1,2
male,131,111,6,1121,1,112,1,1,3,1,2
male,137,111,10,1140,1,112,0,1,1,1,4
male,137,120,8,1121,1,112,1,2,5,3,2
male,136,111,9,1140,1,114,1,1,3,1,4
male,133,111,10,1122,1,114,0,1,2,1,2
male,135,120,10,1122,1,114,0,1,2,1,2
male,136,111,6,1131,1,112,1,1,3,1,1
male,131,111,10,1122,1,114,0,1,1,2,2
male,124,111,11,1122,1,114,0,1,3,1,2
male,131,111,7,1121,1,112,0,1,1,1,2
male,137,111,9,1121,1,112,1,1,5,1,2
male,137,111,11,1121,1,112,0,1,2,1,2
male,132,111,4,1131,1,112,0,1,2,1,2
male,133,111,8,1122,1,114,1,1,3,1,2
male,133,111,11,1122,1,113,0,1,3,1,2
male,111,120,11,1210,1,125,1,1,5,1,4
male,131,111,5,1121,1,112,1,1,4,1,2
male,122,111,8,1122,1,114,0,1,2,1,2
male,124,111,10,1210,1,111,1,1,5,1,1
male,131,111,4,1110,2,113,1,1,5,1,2
male,135,111,9,1210,1,111,1,1,3,1,1
male,131,111,5,1121,1,112,1,1,5,1,2
male,134,111,7,1122,1,114,1,1,4,1,2
male,136,111,8,1110,1,113,0,1,2,1,1
male,111,111,5,1121,1,112,0,1,5,1,2
male,139,111,6,1122,1,113,1,1,4,3,2
male,124,111,13,1121,1,112,0,1,3,1,2
male,138,111,8,1122,1,114,1,1,3,1,2
male,135,111,5,1121,1,112,0,1,2,1,2
male,133,111,11,1122,1,125,1,1,5,1,2
male,138,111,10,1122,1,114,0,1,3,3,2
male,132,120,7,1122,1,114,0,1,1,3,2
male,135,111,7,1122,1,114,0,1,3,1,2
male,131,112,4,1121,1,112,1,1,2,1,2
male,124,111,4,1110,1,114,1,1,5,1,1
male,131,120,8,1122,1,114,1,1,2,1,2
male,131,120,9,1140,1,113,1,1,5,1,1
male,135,120,8,1122,1,114,1,1,3,1,2
male,137,111,11,1210,1,111,0,1,2,1,1
male,131,111,7,1122,1,125,1,1,5,1,2
male,122,111,7,1122,1,114,1,1,5,1,2
male,122,111,7,1122,2,114,1,1,3,1,2
male,122,111,10,1210,1,111,1,1,5,1,4
