sex,priors_count_cat,juv_other_count_cat,age_cat,days_b_screening_arrest_cat,two_year_recid,juv_misd_count_cat,c_days_from_compas_cat,race_cat,c_charge_degree,juv_fel_count_cat
Male,priors_count_4-6,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_1,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,M,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_1,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_1,25 - 45,days_b_screening_arrest_-2,0,juv_misd_count_1,c_days_from_compas_15-21,white,M,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_0,juv_other_count_2+,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_0,white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,M,juv_fel_count_0
Male,priors_count_10-15,juv_other_count_1,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Female,priors_count_15+,juv_other_count_2+,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_22-28,non_white,F,juv_fel_count_1+
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Female,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_2-7,non_white,F,juv_fel_count_1+
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,M,juv_fel_count_0
Male,priors_count_1,juv_other_count_1,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_0,white,M,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_2-7,white,F,juv_fel_count_0
Male,priors_count_1,juv_other_count_2+,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_1+
Male,priors_count_1,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_2+,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,missing,non_white,F,juv_fel_count_0
Female,priors_count_7-9,juv_other_count_2+,25 - 45,days_b_screening_arrest_-2,0,juv_misd_count_1,c_days_from_compas_22-28,non_white,F,juv_fel_count_1+
Male,priors_count_4-6,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_2-7,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_10-15,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_15+,juv_other_count_1,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_10-15,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_2-7,white,M,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_7-9,juv_other_count_2+,Less than 25,days_b_screening_arrest_-2,0,juv_misd_count_0,c_days_from_compas_22-28,non_white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_1+
Male,priors_count_2-3,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Female,priors_count_4-6,juv_other_count_1,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_1,c_days_from_compas_15-21,white,M,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_1,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,M,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Female,priors_count_2-3,juv_other_count_2+,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_1,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,M,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Female,priors_count_7-9,juv_other_count_0,Greater than 45,days_b_screening_arrest_1+,0,juv_misd_count_1,missing,white,M,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Female,priors_count_10-15,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,cjuv_misd_count_2+,missing,white,F,juv_fel_count_1+
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,F,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_1,c_days_from_compas_8-14,non_white,F,juv_fel_count_0
Male,priors_count_10-15,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_1,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_15-21,non_white,M,juv_fel_count_0
Female,priors_count_2-3,juv_other_count_0,Less than 25,days_b_screening_arrest_-2,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_1+
Female,priors_count_1,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,M,juv_fel_count_0
Male,priors_count_10-15,juv_other_count_2+,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_1,missing,white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Female,priors_count_15+,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,cjuv_misd_count_2+,missing,non_white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_1+
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_4-6,juv_other_count_2+,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_2-7,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_22-28,non_white,F,juv_fel_count_1+
Female,priors_count_10-15,juv_other_count_2+,Less than 25,days_b_screening_arrest_-1,0,cjuv_misd_count_2+,c_days_from_compas_22-28,non_white,F,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_2-7,white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_8-14,white,F,juv_fel_count_0
Male,priors_count_10-15,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,M,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_2+,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_29+,non_white,M,juv_fel_count_0
Male,priors_count_0,juv_other_count_1,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,M,juv_fel_count_0
Female,priors_count_4-6,juv_other_count_2+,25 - 45,days_b_screening_arrest_-2,0,juv_misd_count_1,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_4-6,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,M,juv_fel_count_0
Male,priors_count_4-6,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_4-6,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_2-7,white,M,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,25 - 45,days_b_screening_arrest_lt_-3,0,cjuv_misd_count_2+,c_days_from_compas_2-7,non_white,M,juv_fel_count_1+
Male,priors_count_1,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Female,priors_count_15+,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,Greater than 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,M,juv_fel_count_0
Female,priors_count_1,juv_other_count_0,Less than 25,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,M,juv_fel_count_0
Male,priors_count_15+,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_1,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,white,M,juv_fel_count_0
Male,priors_count_2-3,juv_other_count_1,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Male,priors_count_7-9,juv_other_count_0,Greater than 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_0,white,M,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,non_white,F,juv_fel_count_0
Male,priors_count_0,juv_other_count_0,Less than 25,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Female,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_-1,0,juv_misd_count_0,c_days_from_compas_1,non_white,F,juv_fel_count_0
Male,priors_count_1,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,F,juv_fel_count_0
Female,priors_count_0,juv_other_count_0,25 - 45,days_b_screening_arrest_0,0,juv_misd_count_0,c_days_from_compas_0,white,M,juv_fel_count_0
Female,priors_count_15+,juv_other_count_1,25 - 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_2-7,non_white,F,juv_fel_count_0
Female,priors_count_15+,juv_other_count_2+,Greater than 45,days_b_screening_arrest_lt_-3,0,juv_misd_count_0,c_days_from_compas_29+,white,M,juv_fel_count_1+
