sex,priors_count_cat,race_cat,days_b_screening_arrest_cat,juv_misd_count_cat,age_cat,juv_other_count_cat,c_charge_degree,juv_fel_count_cat,two_year_recid,c_days_from_compas_cat
Female,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,Less than 25,juv_other_count_2+,F,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_1,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_1,Less than 25,juv_other_count_1,M,juv_fel_count_1+,1,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_8-14
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_15-21
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_8-14
Male,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_misd_count_1,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_2+,F,juv_fel_count_0,0,c_days_from_compas_2-7
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_29+
Male,priors_count_4-6,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,Less than 25,juv_other_count_2+,M,juv_fel_count_1+,1,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_-2,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_2-7
Male,priors_count_4-6,white,days_b_screening_arrest_0,juv_misd_count_0,Greater than 45,juv_other_count_2+,F,juv_fel_count_1+,1,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_0,cjuv_misd_count_2+,Less than 25,juv_other_count_2+,M,juv_fel_count_1+,0,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_10-15,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_1+,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_8-14
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_29+
Male,priors_count_10-15,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_2+,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_15+,white,days_b_screening_arrest_0,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_10-15,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,25 - 45,juv_other_count_0,F,juv_fel_count_1+,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_2-7
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,Less than 25,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_2-7
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_22-28
Male,priors_count_2-3,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_2-7
Male,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_15-21
Male,priors_count_0,white,days_b_screening_arrest_1+,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_15+,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_2+,F,juv_fel_count_0,1,c_days_from_compas_22-28
Male,priors_count_2-3,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_2-7
Male,priors_count_15+,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_2+,F,juv_fel_count_1+,1,c_days_from_compas_15-21
Female,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_2-7
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_7-9,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_1,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_15+,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_15-21
Female,priors_count_15+,white,days_b_screening_arrest_-2,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_2-3,white,days_b_screening_arrest_0,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_7-9,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,Greater than 45,juv_other_count_1,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_8-14
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_7-9,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_0
Female,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_7-9,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_2-7
Female,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_22-28
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_1,M,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_1,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,Less than 25,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_1,Less than 25,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_1,Greater than 45,juv_other_count_2+,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_0,M,juv_fel_count_1+,0,c_days_from_compas_1
Female,priors_count_4-6,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_29+
Female,priors_count_0,white,days_b_screening_arrest_1+,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_8-14
Female,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,25 - 45,juv_other_count_2+,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_1+,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_2-7
Male,priors_count_10-15,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_2-7
Male,priors_count_10-15,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,Greater than 45,juv_other_count_2+,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_15+,white,days_b_screening_arrest_lt_-3,cjuv_misd_count_2+,Greater than 45,juv_other_count_2+,M,juv_fel_count_1+,1,c_days_from_compas_22-28
Female,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_7-9,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,missing
Female,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_7-9,white,days_b_screening_arrest_-2,cjuv_misd_count_2+,25 - 45,juv_other_count_2+,F,juv_fel_count_1+,1,c_days_from_compas_15-21
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_1+,0,c_days_from_compas_0
Male,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_2-3,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_0
Female,priors_count_0,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,Greater than 45,juv_other_count_1,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_-2,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_10-15,white,days_b_screening_arrest_-2,juv_misd_count_1,25 - 45,juv_other_count_1,F,juv_fel_count_1+,1,c_days_from_compas_1
Male,priors_count_10-15,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_2+,M,juv_fel_count_1+,1,c_days_from_compas_0
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_10-15,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Less than 25,juv_other_count_1,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_1,M,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_2-3,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_2-7
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_0,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_2-7
Male,priors_count_2-3,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_0
Male,priors_count_2-3,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_2+,M,juv_fel_count_1+,0,c_days_from_compas_0
Male,priors_count_1,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_1,white,days_b_screening_arrest_1+,cjuv_misd_count_2+,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_8-14
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,25 - 45,juv_other_count_2+,M,juv_fel_count_1+,1,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_8-14
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_7-9,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_15-21
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_2-7
Female,priors_count_0,white,days_b_screening_arrest_lt_-3,cjuv_misd_count_2+,25 - 45,juv_other_count_1,F,juv_fel_count_0,1,c_days_from_compas_2-7
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Less than 25,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_2-7
Male,priors_count_2-3,white,days_b_screening_arrest_-1,cjuv_misd_count_2+,25 - 45,juv_other_count_1,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_1,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_1,F,juv_fel_count_1+,1,c_days_from_compas_1
Male,priors_count_10-15,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_1,F,juv_fel_count_1+,1,c_days_from_compas_0
Female,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_2-7
Female,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_2+,F,juv_fel_count_0,1,c_days_from_compas_29+
Female,priors_count_1,white,days_b_screening_arrest_1+,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_1,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_-1,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,25 - 45,juv_other_count_1,F,juv_fel_count_0,0,c_days_from_compas_1
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_29+
Female,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_2-7
Male,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_-2,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_0,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_1,white,days_b_screening_arrest_0,juv_misd_count_1,25 - 45,juv_other_count_0,F,juv_fel_count_1+,0,c_days_from_compas_2-7
Male,priors_count_4-6,white,days_b_screening_arrest_lt_-3,juv_misd_count_1,25 - 45,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,M,juv_fel_count_0,0,c_days_from_compas_0
Male,priors_count_4-6,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,0,c_days_from_compas_1
Female,priors_count_2-3,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Less than 25,juv_other_count_2+,M,juv_fel_count_0,0,c_days_from_compas_2-7
Female,priors_count_0,white,days_b_screening_arrest_0,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_10-15,white,days_b_screening_arrest_0,juv_misd_count_0,Greater than 45,juv_other_count_0,F,juv_fel_count_1+,0,c_days_from_compas_1
Female,priors_count_0,white,days_b_screening_arrest_lt_-3,juv_misd_count_0,Less than 25,juv_other_count_0,M,juv_fel_count_0,1,c_days_from_compas_1
Male,priors_count_2-3,white,days_b_screening_arrest_-1,juv_misd_count_0,25 - 45,juv_other_count_0,F,juv_fel_count_1+,0,c_days_from_compas_0
