sex,race_cat,juv_fel_count_cat,age_cat,priors_count_cat,two_year_recid,c_charge_degree,juv_misd_count_cat,juv_other_count_cat,days_b_screening_arrest_cat,c_days_from_compas_cat
Female,white,juv_fel_count_0,Greater than 45,priors_count_1,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,Greater than 45,priors_count_4-6,0,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_2-7
Male,white,juv_fel_count_1+,Less than 25,priors_count_2-3,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_2-3,0,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_0
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_0,1,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_29+
Male,white,juv_fel_count_1+,Greater than 45,priors_count_15+,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,Greater than 45,priors_count_4-6,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_0
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_0,25 - 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_0,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_29+
Female,white,juv_fel_count_1+,Less than 25,priors_count_4-6,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_22-28
Male,white,juv_fel_count_1+,25 - 45,priors_count_0,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_2-3,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_8-14
Female,white,juv_fel_count_0,Greater than 45,priors_count_2-3,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_4-6,0,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_4-6,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_1+,25 - 45,priors_count_7-9,0,F,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_1+,c_days_from_compas_15-21
Male,white,juv_fel_count_0,25 - 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_1,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_0,25 - 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_1,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_29+
Female,white,juv_fel_count_0,Greater than 45,priors_count_10-15,0,M,juv_misd_count_1,juv_other_count_1,days_b_screening_arrest_-2,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_7-9,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_0
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,M,juv_misd_count_0,juv_other_count_2+,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-2,c_days_from_compas_1
Male,white,juv_fel_count_1+,Greater than 45,priors_count_1,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_22-28
Male,white,juv_fel_count_0,25 - 45,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_22-28
Female,white,juv_fel_count_0,25 - 45,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_1+,Greater than 45,priors_count_15+,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_1+,Greater than 45,priors_count_1,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Male,white,juv_fel_count_0,25 - 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_0
Male,white,juv_fel_count_0,Greater than 45,priors_count_4-6,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_0,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_8-14
Female,white,juv_fel_count_0,25 - 45,priors_count_10-15,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_0,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_4-6,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_8-14
Male,white,juv_fel_count_1+,Greater than 45,priors_count_2-3,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_1,0,F,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_1+,25 - 45,priors_count_4-6,0,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Female,white,juv_fel_count_1+,25 - 45,priors_count_1,0,M,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_15+,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_29+
Female,white,juv_fel_count_0,25 - 45,priors_count_4-6,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_1+,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_1,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_8-14
Female,white,juv_fel_count_1+,25 - 45,priors_count_4-6,1,F,juv_misd_count_1,juv_other_count_1,days_b_screening_arrest_-2,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_2-3,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_1,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_4-6,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_0,Less than 25,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_4-6,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Male,white,juv_fel_count_0,25 - 45,priors_count_4-6,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Female,white,juv_fel_count_0,Less than 25,priors_count_0,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Female,white,juv_fel_count_0,Greater than 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_8-14
Female,white,juv_fel_count_0,Greater than 45,priors_count_2-3,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_2-3,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Male,white,juv_fel_count_0,Greater than 45,priors_count_2-3,1,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_1+,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_2-3,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_1+,Greater than 45,priors_count_0,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_7-9,1,F,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_1,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Female,white,juv_fel_count_1+,Less than 25,priors_count_0,0,M,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_8-14
Male,white,juv_fel_count_0,Less than 25,priors_count_7-9,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_7-9,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_1+,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_4-6,1,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_0
Female,white,juv_fel_count_0,25 - 45,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_0,0,F,cjuv_misd_count_2+,juv_other_count_2+,days_b_screening_arrest_1+,c_days_from_compas_2-7
Female,white,juv_fel_count_0,25 - 45,priors_count_10-15,1,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_0,1,M,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,M,juv_misd_count_0,juv_other_count_2+,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_0,25 - 45,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,missing
Female,white,juv_fel_count_0,25 - 45,priors_count_10-15,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_1,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_1,0,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_0,Greater than 45,priors_count_1,1,M,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_0,0,M,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Male,white,juv_fel_count_0,Less than 25,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_2-3,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_4-6,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_0,25 - 45,priors_count_2-3,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_10-15,0,M,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_0,c_days_from_compas_0
Female,white,juv_fel_count_0,25 - 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_2-7
Male,white,juv_fel_count_1+,25 - 45,priors_count_10-15,0,F,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_8-14
Female,white,juv_fel_count_0,25 - 45,priors_count_1,1,F,juv_misd_count_1,juv_other_count_1,days_b_screening_arrest_1+,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_4-6,0,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_15+,1,F,juv_misd_count_0,juv_other_count_2+,days_b_screening_arrest_1+,c_days_from_compas_1
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_10-15,1,M,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_4-6,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Female,white,juv_fel_count_1+,25 - 45,priors_count_0,1,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Male,white,juv_fel_count_1+,25 - 45,priors_count_1,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_2-7
Female,white,juv_fel_count_1+,25 - 45,priors_count_4-6,0,F,juv_misd_count_1,juv_other_count_1,days_b_screening_arrest_-1,c_days_from_compas_0
Male,white,juv_fel_count_0,Greater than 45,priors_count_1,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_0,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_2-7
Male,white,juv_fel_count_0,Greater than 45,priors_count_2-3,0,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Female,white,juv_fel_count_1+,Greater than 45,priors_count_4-6,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_15-21
Female,white,juv_fel_count_0,25 - 45,priors_count_15+,0,M,cjuv_misd_count_2+,juv_other_count_1,days_b_screening_arrest_-2,c_days_from_compas_2-7
Male,white,juv_fel_count_0,25 - 45,priors_count_4-6,0,M,juv_misd_count_1,juv_other_count_2+,days_b_screening_arrest_1+,c_days_from_compas_15-21
Female,white,juv_fel_count_0,25 - 45,priors_count_0,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_2-3,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_1,0,M,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_-2,c_days_from_compas_22-28
Female,white,juv_fel_count_1+,Greater than 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_2-3,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_2-7
Male,white,juv_fel_count_0,25 - 45,priors_count_1,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Female,white,juv_fel_count_0,Less than 25,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_0,c_days_from_compas_15-21
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_1,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_0,25 - 45,priors_count_1,1,M,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1
Female,white,juv_fel_count_1+,Greater than 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_0,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_0,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Male,white,juv_fel_count_0,Less than 25,priors_count_1,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_7-9,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_22-28
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-2,c_days_from_compas_1
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,1,M,juv_misd_count_0,juv_other_count_1,days_b_screening_arrest_1+,c_days_from_compas_0
Female,white,juv_fel_count_1+,Greater than 45,priors_count_2-3,1,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_1+,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_1,0,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_1+,Greater than 45,priors_count_0,0,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_29+
Male,white,juv_fel_count_0,Greater than 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Greater than 45,priors_count_7-9,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,Less than 25,priors_count_1,1,F,juv_misd_count_1,juv_other_count_2+,days_b_screening_arrest_lt_-3,c_days_from_compas_8-14
Male,white,juv_fel_count_0,25 - 45,priors_count_1,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-2,c_days_from_compas_2-7
Male,white,juv_fel_count_1+,Less than 25,priors_count_2-3,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,white,juv_fel_count_0,25 - 45,priors_count_0,0,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_1+,25 - 45,priors_count_0,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,white,juv_fel_count_0,25 - 45,priors_count_0,0,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_15-21
Male,white,juv_fel_count_0,Greater than 45,priors_count_1,1,F,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,white,juv_fel_count_1+,Less than 25,priors_count_2-3,0,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_15-21
Female,white,juv_fel_count_0,Greater than 45,priors_count_2-3,0,F,cjuv_misd_count_2+,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_15-21
Female,white,juv_fel_count_0,Greater than 45,priors_count_0,1,M,juv_misd_count_1,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Male,white,juv_fel_count_0,Less than 25,priors_count_0,1,M,juv_misd_count_0,juv_other_count_0,days_b_screening_arrest_-1,c_days_from_compas_8-14
