sex,juv_other_count_cat,c_charge_degree,age_cat,two_year_recid,juv_fel_count_cat,juv_misd_count_cat,race_cat,priors_count_cat,days_b_screening_arrest_cat,c_days_from_compas_cat
Female,juv_other_count_2+,F,Less than 25,1,juv_fel_count_0,cjuv_misd_count_2+,non_white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_22-28
Female,juv_other_count_0,M,Less than 25,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_1+,c_days_from_compas_29+
Male,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_1,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_4-6,days_b_screening_arrest_0,c_days_from_compas_0
Female,juv_other_count_1,M,Greater than 45,0,juv_fel_count_0,cjuv_misd_count_2+,non_white,priors_count_10-15,days_b_screening_arrest_-1,missing
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_1+,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_lt_-3,c_days_from_compas_8-14
Male,juv_other_count_2+,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_15+,days_b_screening_arrest_1+,c_days_from_compas_15-21
Male,juv_other_count_0,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_2+,M,Less than 25,1,juv_fel_count_1+,cjuv_misd_count_2+,non_white,priors_count_4-6,days_b_screening_arrest_-1,c_days_from_compas_15-21
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,M,Less than 25,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_1,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_15+,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_4-6,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_1,F,25 - 45,1,juv_fel_count_1+,juv_misd_count_1,non_white,priors_count_2-3,days_b_screening_arrest_0,c_days_from_compas_0
Female,juv_other_count_1,M,Greater than 45,0,juv_fel_count_1+,cjuv_misd_count_2+,non_white,priors_count_0,days_b_screening_arrest_0,missing
Female,juv_other_count_0,M,25 - 45,0,juv_fel_count_1+,cjuv_misd_count_2+,non_white,priors_count_15+,days_b_screening_arrest_lt_-3,c_days_from_compas_8-14
Male,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_10-15,days_b_screening_arrest_lt_-3,c_days_from_compas_2-7
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_lt_-3,c_days_from_compas_22-28
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,cjuv_misd_count_2+,non_white,priors_count_10-15,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_7-9,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_4-6,days_b_screening_arrest_0,c_days_from_compas_1
Female,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_-2,c_days_from_compas_2-7
Female,juv_other_count_0,M,Greater than 45,0,juv_fel_count_1+,juv_misd_count_1,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_lt_-3,c_days_from_compas_15-21
Male,juv_other_count_0,F,Greater than 45,1,juv_fel_count_1+,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_1,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_7-9,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_1,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_15+,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_1,M,Greater than 45,0,juv_fel_count_0,cjuv_misd_count_2+,non_white,priors_count_0,days_b_screening_arrest_1+,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_1+,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_2-7
Male,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_1,white,priors_count_1,days_b_screening_arrest_0,c_days_from_compas_1
Female,juv_other_count_2+,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_10-15,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,M,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_1,F,Greater than 45,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_0
Female,juv_other_count_0,F,Greater than 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_4-6,days_b_screening_arrest_lt_-3,c_days_from_compas_2-7
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_10-15,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_1,non_white,priors_count_4-6,days_b_screening_arrest_0,c_days_from_compas_8-14
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_1,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,cjuv_misd_count_2+,white,priors_count_0,days_b_screening_arrest_lt_-3,missing
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_4-6,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,Less than 25,0,juv_fel_count_1+,cjuv_misd_count_2+,non_white,priors_count_1,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_10-15,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,Greater than 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_15+,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_10-15,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,F,Less than 25,0,juv_fel_count_0,juv_misd_count_1,non_white,priors_count_7-9,days_b_screening_arrest_-2,c_days_from_compas_15-21
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_4-6,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_0,days_b_screening_arrest_0,c_days_from_compas_0
Female,juv_other_count_1,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_1,white,priors_count_10-15,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_1,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_4-6,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_1,non_white,priors_count_7-9,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_1,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_15+,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_4-6,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,Greater than 45,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_lt_-3,c_days_from_compas_22-28
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_15+,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,F,25 - 45,1,juv_fel_count_1+,juv_misd_count_0,white,priors_count_4-6,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,cjuv_misd_count_2+,non_white,priors_count_7-9,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_0
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_1,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_0,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_0,c_days_from_compas_1
Female,juv_other_count_1,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_10-15,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_7-9,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,cjuv_misd_count_2+,non_white,priors_count_15+,days_b_screening_arrest_-1,c_days_from_compas_0
Male,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_0,c_days_from_compas_1
Female,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_0,c_days_from_compas_1
Female,juv_other_count_0,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_1+,c_days_from_compas_15-21
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_4-6,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_1,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_2+,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_1,M,Greater than 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_4-6,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_1+,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_lt_-3,c_days_from_compas_15-21
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_1,days_b_screening_arrest_lt_-3,c_days_from_compas_15-21
Male,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,F,25 - 45,1,juv_fel_count_1+,juv_misd_count_0,non_white,priors_count_15+,days_b_screening_arrest_0,c_days_from_compas_0
Male,juv_other_count_0,F,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,Less than 25,1,juv_fel_count_1+,cjuv_misd_count_2+,white,priors_count_15+,days_b_screening_arrest_0,c_days_from_compas_8-14
Female,juv_other_count_1,M,Greater than 45,0,juv_fel_count_0,cjuv_misd_count_2+,non_white,priors_count_4-6,days_b_screening_arrest_1+,c_days_from_compas_29+
Female,juv_other_count_2+,F,Less than 25,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_1,days_b_screening_arrest_-2,c_days_from_compas_15-21
Male,juv_other_count_0,M,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_7-9,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_0,c_days_from_compas_1
Male,juv_other_count_0,F,25 - 45,1,juv_fel_count_1+,juv_misd_count_0,non_white,priors_count_15+,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,F,Less than 25,1,juv_fel_count_1+,juv_misd_count_0,non_white,priors_count_2-3,days_b_screening_arrest_-1,c_days_from_compas_1
Female,juv_other_count_0,M,25 - 45,0,juv_fel_count_0,juv_misd_count_0,non_white,priors_count_0,days_b_screening_arrest_-1,c_days_from_compas_1
Male,juv_other_count_0,M,Greater than 45,0,juv_fel_count_0,juv_misd_count_0,white,priors_count_4-6,days_b_screening_arrest_-1,c_days_from_compas_2-7
Male,juv_other_count_0,M,Greater than 45,1,juv_fel_count_1+,juv_misd_count_0,white,priors_count_4-6,days_b_screening_arrest_-1,c_days_from_compas_1
