sex,juv_misd_count_cat,age_cat,juv_other_count_cat,days_b_screening_arrest_cat,c_charge_degree,c_days_from_compas_cat,two_year_recid,race_cat,juv_fel_count_cat,priors_count_cat
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_1+,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_1
Female,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_lt_-3,M,c_days_from_compas_2-7,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_10-15
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_10-15
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_15+
Male,juv_misd_count_0,Greater than 45,juv_other_count_1,days_b_screening_arrest_-2,F,c_days_from_compas_0,0,non_white,juv_fel_count_1+,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,Less than 25,juv_other_count_1,days_b_screening_arrest_-2,M,c_days_from_compas_2-7,0,non_white,juv_fel_count_0,priors_count_0
Male,cjuv_misd_count_2+,Less than 25,juv_other_count_2+,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_2-3
Female,cjuv_misd_count_2+,Less than 25,juv_other_count_0,days_b_screening_arrest_lt_-3,M,c_days_from_compas_8-14,0,white,juv_fel_count_0,priors_count_15+
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Female,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_1+,M,c_days_from_compas_15-21,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_1,0,non_white,juv_fel_count_1+,priors_count_4-6
Male,cjuv_misd_count_2+,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_29+,0,white,juv_fel_count_0,priors_count_2-3
Female,juv_misd_count_0,25 - 45,juv_other_count_1,days_b_screening_arrest_-1,F,c_days_from_compas_22-28,0,non_white,juv_fel_count_0,priors_count_1
Female,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_10-15
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_7-9
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Less than 25,juv_other_count_2+,days_b_screening_arrest_1+,F,c_days_from_compas_22-28,0,white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,M,c_days_from_compas_2-7,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Less than 25,juv_other_count_2+,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_1+,priors_count_10-15
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_7-9
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_4-6
Female,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_1
Female,juv_misd_count_0,25 - 45,juv_other_count_1,days_b_screening_arrest_1+,F,c_days_from_compas_2-7,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Less than 25,juv_other_count_1,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_1+,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_7-9
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Female,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Female,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_lt_-3,M,c_days_from_compas_22-28,0,non_white,juv_fel_count_0,priors_count_1
Female,cjuv_misd_count_2+,Less than 25,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_4-6
Female,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_2-3
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_15+
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_7-9
Female,juv_misd_count_0,25 - 45,juv_other_count_2+,days_b_screening_arrest_lt_-3,M,c_days_from_compas_2-7,0,non_white,juv_fel_count_1+,priors_count_10-15
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_0,0,non_white,juv_fel_count_0,priors_count_2-3
Female,juv_misd_count_0,25 - 45,juv_other_count_1,days_b_screening_arrest_-1,F,c_days_from_compas_2-7,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_10-15
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_1
Female,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_1
Female,cjuv_misd_count_2+,Greater than 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_1+,priors_count_15+
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_2-3
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_22-28,0,non_white,juv_fel_count_0,priors_count_7-9
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_2-3
Female,cjuv_misd_count_2+,Greater than 45,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_0,0,non_white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_2-3
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_10-15
Male,cjuv_misd_count_2+,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_1,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_1,days_b_screening_arrest_0,F,c_days_from_compas_1,0,non_white,juv_fel_count_1+,priors_count_4-6
Female,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_2-7,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Female,juv_misd_count_1,25 - 45,juv_other_count_0,days_b_screening_arrest_1+,F,c_days_from_compas_29+,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_2-7,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_1
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Female,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_4-6
Female,juv_misd_count_0,25 - 45,juv_other_count_1,days_b_screening_arrest_1+,F,c_days_from_compas_22-28,0,white,juv_fel_count_1+,priors_count_1
Male,juv_misd_count_0,Less than 25,juv_other_count_1,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_15+
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_0,0,non_white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,cjuv_misd_count_2+,Less than 25,juv_other_count_0,days_b_screening_arrest_1+,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_10-15
Male,juv_misd_count_1,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_29+,0,white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,Less than 25,juv_other_count_1,days_b_screening_arrest_1+,M,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_7-9
Male,juv_misd_count_1,Less than 25,juv_other_count_0,days_b_screening_arrest_1+,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,cjuv_misd_count_2+,25 - 45,juv_other_count_2+,days_b_screening_arrest_-2,F,missing,0,white,juv_fel_count_0,priors_count_15+
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-2,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_1,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_4-6
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_8-14,0,white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Male,cjuv_misd_count_2+,Greater than 45,juv_other_count_2+,days_b_screening_arrest_0,F,c_days_from_compas_22-28,0,white,juv_fel_count_0,priors_count_0
Female,juv_misd_count_0,25 - 45,juv_other_count_2+,days_b_screening_arrest_-2,M,c_days_from_compas_2-7,0,white,juv_fel_count_0,priors_count_1
Female,cjuv_misd_count_2+,Less than 25,juv_other_count_1,days_b_screening_arrest_-1,F,c_days_from_compas_29+,0,white,juv_fel_count_0,priors_count_1
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,white,juv_fel_count_1+,priors_count_4-6
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_15+
Female,juv_misd_count_1,Less than 25,juv_other_count_1,days_b_screening_arrest_0,F,c_days_from_compas_22-28,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_1,25 - 45,juv_other_count_0,days_b_screening_arrest_lt_-3,F,c_days_from_compas_8-14,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-2,M,c_days_from_compas_2-7,0,white,juv_fel_count_0,priors_count_1
Female,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,Less than 25,juv_other_count_2+,days_b_screening_arrest_-1,F,c_days_from_compas_15-21,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_1+,priors_count_0
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_2-3
Female,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_2-3
Female,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_0,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Less than 25,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_0
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_lt_-3,M,c_days_from_compas_8-14,0,white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_-1,M,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_2-3
Male,juv_misd_count_1,25 - 45,juv_other_count_0,days_b_screening_arrest_-1,F,c_days_from_compas_1,0,non_white,juv_fel_count_0,priors_count_7-9
Male,juv_misd_count_0,Greater than 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,25 - 45,juv_other_count_0,days_b_screening_arrest_0,M,c_days_from_compas_0,0,non_white,juv_fel_count_0,priors_count_4-6
Male,juv_misd_count_0,Greater than 45,juv_other_count_2+,days_b_screening_arrest_1+,F,c_days_from_compas_8-14,0,white,juv_fel_count_0,priors_count_2-3
