sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and same size as original dataset lambda = 0.2,random_forest,0.6223 ± 0.0079,0.6932 ± 0.0277,0.6555 ± 0.0118,0.5948 ± 0.0085,0.5948 ± 0.0085,0.1138 ± 0.0451,0.8334 ± 0.0640,0.1233 ± 0.0536
HC with fairness constraints and same size as original dataset lambda = 0.2,xgboost,0.6300 ± 0.0042,0.7107 ± 0.0218,0.6677 ± 0.0089,0.6057 ± 0.0043,0.6057 ± 0.0043,0.1178 ± 0.0353,0.8303 ± 0.0480,0.1199 ± 0.0460
HC with fairness constraints and same size as original dataset lambda = 0.2,mlp,0.6198 ± 0.0125,0.7006 ± 0.0567,0.6561 ± 0.0223,0.5923 ± 0.0096,0.5923 ± 0.0096,0.0988 ± 0.0627,0.8582 ± 0.0807,0.1068 ± 0.0767
HC with fairness constraints and double the size of original dataset lambda = 0.2,logistic_regression,0.6735 ± 0.0041,0.6893 ± 0.0144,0.6812 ± 0.0077,0.6448 ± 0.0053,0.6448 ± 0.0053,0.1190 ± 0.0185,0.8134 ± 0.0219,0.1618 ± 0.0208
HC with fairness constraints and double the size of original dataset lambda = 0.2,random_forest,0.6151 ± 0.0080,0.6804 ± 0.0137,0.6460 ± 0.0075,0.5856 ± 0.0087,0.5856 ± 0.0087,0.0691 ± 0.0347,0.8956 ± 0.0520,0.1312 ± 0.0501
HC with fairness constraints and double the size of original dataset lambda = 0.2,xgboost,0.6367 ± 0.0029,0.7021 ± 0.0126,0.6677 ± 0.0061,0.6115 ± 0.0038,0.6115 ± 0.0038,0.0806 ± 0.0347,0.8779 ± 0.0489,0.1318 ± 0.0354
HC with fairness constraints and double the size of original dataset lambda = 0.2,mlp,0.6118 ± 0.0170,0.6783 ± 0.0553,0.6419 ± 0.0227,0.5808 ± 0.0171,0.5808 ± 0.0171,0.1063 ± 0.0462,0.8451 ± 0.0676,0.1493 ± 0.0553
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,logistic_regression,0.6808 ± 0.0037,0.6455 ± 0.0116,0.6626 ± 0.0074,0.6418 ± 0.0051,0.6418 ± 0.0051,0.1312 ± 0.0193,0.7824 ± 0.0283,0.1443 ± 0.0131
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,random_forest,0.6211 ± 0.0097,0.5857 ± 0.0077,0.6029 ± 0.0066,0.5792 ± 0.0090,0.5792 ± 0.0090,0.0633 ± 0.0129,0.8859 ± 0.0229,0.0900 ± 0.0178
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,xgboost,0.6419 ± 0.0116,0.6432 ± 0.0099,0.6425 ± 0.0094,0.6070 ± 0.0118,0.6070 ± 0.0118,0.0726 ± 0.0188,0.8782 ± 0.0288,0.0804 ± 0.0200
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,mlp,0.6050 ± 0.0131,0.6009 ± 0.0324,0.6023 ± 0.0158,0.5654 ± 0.0121,0.5654 ± 0.0121,0.0465 ± 0.0365,0.9207 ± 0.0603,0.0793 ± 0.0226
HC with fairness constraints and equal number of protected attribute lambda = 0.2,logistic_regression,0.6808 ± 0.0037,0.6455 ± 0.0116,0.6626 ± 0.0074,0.6418 ± 0.0051,0.6418 ± 0.0051,0.1312 ± 0.0193,0.7824 ± 0.0283,0.1443 ± 0.0131
HC with fairness constraints and equal number of protected attribute lambda = 0.2,random_forest,0.6211 ± 0.0097,0.5857 ± 0.0077,0.6029 ± 0.0066,0.5792 ± 0.0090,0.5792 ± 0.0090,0.0633 ± 0.0129,0.8859 ± 0.0229,0.0900 ± 0.0178
HC with fairness constraints and equal number of protected attribute lambda = 0.2,xgboost,0.6419 ± 0.0116,0.6432 ± 0.0099,0.6425 ± 0.0094,0.6070 ± 0.0118,0.6070 ± 0.0118,0.0726 ± 0.0188,0.8782 ± 0.0288,0.0804 ± 0.0200
HC with fairness constraints and equal number of protected attribute lambda = 0.2,mlp,0.6105 ± 0.0147,0.6262 ± 0.0367,0.6173 ± 0.0132,0.5732 ± 0.0123,0.5732 ± 0.0123,0.0807 ± 0.0510,0.8728 ± 0.0764,0.1003 ± 0.0644
HC with fairness constraints and same size as original dataset lambda = 0.3,logistic_regression,0.6624 ± 0.0031,0.7714 ± 0.0131,0.7127 ± 0.0060,0.6507 ± 0.0043,0.6507 ± 0.0043,0.0889 ± 0.0215,0.8724 ± 0.0277,0.1174 ± 0.0267
HC with fairness constraints and same size as original dataset lambda = 0.3,random_forest,0.6338 ± 0.0065,0.7110 ± 0.0168,0.6701 ± 0.0103,0.6100 ± 0.0088,0.6100 ± 0.0088,0.0440 ± 0.0253,0.9327 ± 0.0364,0.0626 ± 0.0334
HC with fairness constraints and same size as original dataset lambda = 0.3,xgboost,0.6391 ± 0.0060,0.7452 ± 0.0161,0.6879 ± 0.0062,0.6208 ± 0.0058,0.6208 ± 0.0058,0.1195 ± 0.0255,0.8326 ± 0.0354,0.1325 ± 0.0333
HC with fairness constraints and same size as original dataset lambda = 0.3,mlp,0.6293 ± 0.0111,0.6738 ± 0.0458,0.6497 ± 0.0190,0.5988 ± 0.0085,0.5988 ± 0.0085,0.0706 ± 0.0189,0.8867 ± 0.0345,0.0646 ± 0.0206
HC with fairness constraints and double the size of original dataset lambda = 0.3,logistic_regression,0.6601 ± 0.0036,0.8155 ± 0.0097,0.7296 ± 0.0029,0.6567 ± 0.0031,0.6567 ± 0.0031,0.1417 ± 0.0314,0.8154 ± 0.0375,0.1702 ± 0.0254
HC with fairness constraints and double the size of original dataset lambda = 0.3,random_forest,0.6442 ± 0.0052,0.6935 ± 0.0233,0.6676 ± 0.0092,0.6175 ± 0.0039,0.6175 ± 0.0039,0.1437 ± 0.0221,0.7885 ± 0.0336,0.1401 ± 0.0262
HC with fairness constraints and double the size of original dataset lambda = 0.3,xgboost,0.6701 ± 0.0051,0.7601 ± 0.0118,0.7122 ± 0.0028,0.6562 ± 0.0031,0.6562 ± 0.0031,0.1547 ± 0.0190,0.7850 ± 0.0239,0.2003 ± 0.0287
HC with fairness constraints and double the size of original dataset lambda = 0.3,mlp,0.6393 ± 0.0173,0.7045 ± 0.0566,0.6685 ± 0.0178,0.6129 ± 0.0108,0.6129 ± 0.0108,0.1303 ± 0.0513,0.8103 ± 0.0768,0.1411 ± 0.0612
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,logistic_regression,0.7024 ± 0.0021,0.6393 ± 0.0056,0.6694 ± 0.0037,0.6577 ± 0.0027,0.6577 ± 0.0027,0.1416 ± 0.0062,0.7591 ± 0.0092,0.1799 ± 0.0105
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,random_forest,0.6565 ± 0.0051,0.6562 ± 0.0126,0.6563 ± 0.0070,0.6228 ± 0.0054,0.6228 ± 0.0054,0.1110 ± 0.0269,0.8209 ± 0.0380,0.1121 ± 0.0262
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,xgboost,0.6696 ± 0.0044,0.6682 ± 0.0182,0.6687 ± 0.0091,0.6369 ± 0.0051,0.6369 ± 0.0051,0.1346 ± 0.0133,0.7868 ± 0.0186,0.1338 ± 0.0178
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,mlp,0.6493 ± 0.0130,0.6405 ± 0.0382,0.6440 ± 0.0156,0.6128 ± 0.0098,0.6128 ± 0.0098,0.1062 ± 0.0573,0.8272 ± 0.0887,0.1060 ± 0.0498
HC with fairness constraints and equal number of protected attribute lambda = 0.3,logistic_regression,0.7024 ± 0.0021,0.6393 ± 0.0056,0.6694 ± 0.0037,0.6577 ± 0.0027,0.6577 ± 0.0027,0.1416 ± 0.0062,0.7591 ± 0.0092,0.1799 ± 0.0105
HC with fairness constraints and equal number of protected attribute lambda = 0.3,random_forest,0.6565 ± 0.0051,0.6562 ± 0.0126,0.6563 ± 0.0070,0.6228 ± 0.0054,0.6228 ± 0.0054,0.1110 ± 0.0269,0.8209 ± 0.0380,0.1121 ± 0.0262
HC with fairness constraints and equal number of protected attribute lambda = 0.3,xgboost,0.6696 ± 0.0044,0.6682 ± 0.0182,0.6687 ± 0.0091,0.6369 ± 0.0051,0.6369 ± 0.0051,0.1346 ± 0.0133,0.7868 ± 0.0186,0.1338 ± 0.0178
HC with fairness constraints and equal number of protected attribute lambda = 0.3,mlp,0.6471 ± 0.0233,0.6628 ± 0.0528,0.6528 ± 0.0165,0.6129 ± 0.0157,0.6129 ± 0.0157,0.0729 ± 0.0608,0.8794 ± 0.0956,0.0763 ± 0.0525
HC with fairness constraints and same size as original dataset lambda = 0.4,logistic_regression,0.6738 ± 0.0062,0.7762 ± 0.0064,0.7213 ± 0.0040,0.6634 ± 0.0062,0.6634 ± 0.0062,0.2635 ± 0.0221,0.6705 ± 0.0247,0.3302 ± 0.0201
HC with fairness constraints and same size as original dataset lambda = 0.4,random_forest,0.6534 ± 0.0052,0.7098 ± 0.0252,0.6802 ± 0.0104,0.6296 ± 0.0049,0.6296 ± 0.0049,0.2333 ± 0.0199,0.6862 ± 0.0264,0.2540 ± 0.0296
HC with fairness constraints and same size as original dataset lambda = 0.4,xgboost,0.6587 ± 0.0089,0.7509 ± 0.0158,0.7017 ± 0.0082,0.6427 ± 0.0095,0.6427 ± 0.0095,0.2185 ± 0.0226,0.7138 ± 0.0285,0.2428 ± 0.0249
HC with fairness constraints and same size as original dataset lambda = 0.4,mlp,0.6453 ± 0.0108,0.6723 ± 0.0370,0.6578 ± 0.0136,0.6146 ± 0.0069,0.6146 ± 0.0069,0.2434 ± 0.0456,0.6654 ± 0.0529,0.2731 ± 0.0610
HC with fairness constraints and double the size of original dataset lambda = 0.4,logistic_regression,0.6775 ± 0.0043,0.7375 ± 0.0141,0.7061 ± 0.0051,0.6588 ± 0.0029,0.6588 ± 0.0029,0.2337 ± 0.0288,0.6867 ± 0.0357,0.3078 ± 0.0337
HC with fairness constraints and double the size of original dataset lambda = 0.4,random_forest,0.6595 ± 0.0043,0.6804 ± 0.0059,0.6698 ± 0.0049,0.6302 ± 0.0050,0.6302 ± 0.0050,0.2029 ± 0.0282,0.7084 ± 0.0329,0.2127 ± 0.0429
HC with fairness constraints and double the size of original dataset lambda = 0.4,xgboost,0.6668 ± 0.0022,0.7045 ± 0.0088,0.6851 ± 0.0047,0.6417 ± 0.0032,0.6417 ± 0.0032,0.1970 ± 0.0250,0.7207 ± 0.0294,0.2248 ± 0.0299
HC with fairness constraints and double the size of original dataset lambda = 0.4,mlp,0.6521 ± 0.0089,0.6854 ± 0.0474,0.6675 ± 0.0235,0.6240 ± 0.0123,0.6240 ± 0.0123,0.1836 ± 0.0423,0.7369 ± 0.0476,0.2048 ± 0.0533
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,logistic_regression,0.6922 ± 0.0023,0.6973 ± 0.0079,0.6947 ± 0.0035,0.6633 ± 0.0020,0.6633 ± 0.0020,0.2787 ± 0.0227,0.6187 ± 0.0245,0.3371 ± 0.0173
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,random_forest,0.6643 ± 0.0045,0.6574 ± 0.0114,0.6608 ± 0.0077,0.6301 ± 0.0060,0.6301 ± 0.0060,0.1930 ± 0.0297,0.7106 ± 0.0362,0.2299 ± 0.0384
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,xgboost,0.6765 ± 0.0056,0.6714 ± 0.0037,0.6739 ± 0.0019,0.6437 ± 0.0043,0.6437 ± 0.0043,0.2162 ± 0.0174,0.6828 ± 0.0234,0.2555 ± 0.0216
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,mlp,0.6587 ± 0.0138,0.6696 ± 0.0537,0.6626 ± 0.0220,0.6265 ± 0.0092,0.6265 ± 0.0092,0.1727 ± 0.0518,0.7404 ± 0.0756,0.1986 ± 0.0599
HC with fairness constraints and equal number of protected attribute lambda = 0.4,logistic_regression,0.6922 ± 0.0023,0.6973 ± 0.0079,0.6947 ± 0.0035,0.6633 ± 0.0020,0.6633 ± 0.0020,0.2787 ± 0.0227,0.6187 ± 0.0245,0.3371 ± 0.0173
HC with fairness constraints and equal number of protected attribute lambda = 0.4,random_forest,0.6643 ± 0.0045,0.6574 ± 0.0114,0.6608 ± 0.0077,0.6301 ± 0.0060,0.6301 ± 0.0060,0.1930 ± 0.0297,0.7106 ± 0.0362,0.2299 ± 0.0384
HC with fairness constraints and equal number of protected attribute lambda = 0.4,xgboost,0.6765 ± 0.0056,0.6714 ± 0.0037,0.6739 ± 0.0019,0.6437 ± 0.0043,0.6437 ± 0.0043,0.2162 ± 0.0174,0.6828 ± 0.0234,0.2555 ± 0.0216
HC with fairness constraints and equal number of protected attribute lambda = 0.4,mlp,0.6620 ± 0.0040,0.6604 ± 0.0332,0.6608 ± 0.0167,0.6286 ± 0.0071,0.6286 ± 0.0071,0.1991 ± 0.0642,0.7078 ± 0.0780,0.2383 ± 0.0741
HC with fairness constraints and same size as original dataset lambda = 0.5,logistic_regression,0.6868 ± 0.0034,0.7342 ± 0.0058,0.7097 ± 0.0016,0.6669 ± 0.0022,0.6669 ± 0.0022,0.1480 ± 0.0212,0.7822 ± 0.0291,0.2236 ± 0.0340
HC with fairness constraints and same size as original dataset lambda = 0.5,random_forest,0.6545 ± 0.0056,0.7196 ± 0.0239,0.6853 ± 0.0112,0.6326 ± 0.0070,0.6326 ± 0.0070,0.1495 ± 0.0300,0.7853 ± 0.0431,0.1872 ± 0.0283
HC with fairness constraints and same size as original dataset lambda = 0.5,xgboost,0.6540 ± 0.0055,0.7562 ± 0.0204,0.7012 ± 0.0082,0.6388 ± 0.0056,0.6388 ± 0.0056,0.1356 ± 0.0204,0.8111 ± 0.0293,0.1629 ± 0.0058
HC with fairness constraints and same size as original dataset lambda = 0.5,mlp,0.6333 ± 0.0059,0.7205 ± 0.0511,0.6731 ± 0.0208,0.6104 ± 0.0055,0.6104 ± 0.0055,0.1125 ± 0.0657,0.8375 ± 0.0973,0.1475 ± 0.0514
HC with fairness constraints and double the size of original dataset lambda = 0.5,logistic_regression,0.6862 ± 0.0016,0.7679 ± 0.0043,0.7247 ± 0.0022,0.6740 ± 0.0020,0.6740 ± 0.0020,0.1912 ± 0.0062,0.7396 ± 0.0074,0.2619 ± 0.0074
HC with fairness constraints and double the size of original dataset lambda = 0.5,random_forest,0.6782 ± 0.0032,0.7161 ± 0.0054,0.6966 ± 0.0015,0.6548 ± 0.0021,0.6548 ± 0.0021,0.1825 ± 0.0354,0.7382 ± 0.0433,0.2456 ± 0.0372
HC with fairness constraints and double the size of original dataset lambda = 0.5,xgboost,0.6734 ± 0.0047,0.7271 ± 0.0201,0.6991 ± 0.0106,0.6527 ± 0.0073,0.6527 ± 0.0073,0.2140 ± 0.0315,0.7064 ± 0.0385,0.2628 ± 0.0319
HC with fairness constraints and double the size of original dataset lambda = 0.5,mlp,0.6599 ± 0.0081,0.7188 ± 0.0257,0.6877 ± 0.0106,0.6377 ± 0.0071,0.6377 ± 0.0071,0.1637 ± 0.0292,0.7673 ± 0.0331,0.2098 ± 0.0407
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,logistic_regression,0.7058 ± 0.0052,0.6902 ± 0.0082,0.6978 ± 0.0028,0.6730 ± 0.0030,0.6730 ± 0.0030,0.2156 ± 0.0170,0.6798 ± 0.0238,0.2767 ± 0.0154
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,random_forest,0.6881 ± 0.0047,0.6649 ± 0.0156,0.6762 ± 0.0063,0.6522 ± 0.0021,0.6522 ± 0.0021,0.1225 ± 0.0339,0.7987 ± 0.0522,0.1463 ± 0.0416
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,xgboost,0.6943 ± 0.0063,0.6562 ± 0.0065,0.6747 ± 0.0063,0.6553 ± 0.0065,0.6553 ± 0.0065,0.1680 ± 0.0114,0.7310 ± 0.0157,0.2101 ± 0.0100
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,mlp,0.6782 ± 0.0163,0.6440 ± 0.0688,0.6578 ± 0.0333,0.6377 ± 0.0077,0.6377 ± 0.0077,0.1099 ± 0.0444,0.8200 ± 0.0583,0.1330 ± 0.0577
HC with fairness constraints and equal number of protected attribute lambda = 0.5,logistic_regression,0.7058 ± 0.0052,0.6902 ± 0.0082,0.6978 ± 0.0028,0.6730 ± 0.0030,0.6730 ± 0.0030,0.2156 ± 0.0170,0.6798 ± 0.0238,0.2767 ± 0.0154
HC with fairness constraints and equal number of protected attribute lambda = 0.5,random_forest,0.6881 ± 0.0047,0.6649 ± 0.0156,0.6762 ± 0.0063,0.6522 ± 0.0021,0.6522 ± 0.0021,0.1225 ± 0.0339,0.7987 ± 0.0522,0.1463 ± 0.0416
HC with fairness constraints and equal number of protected attribute lambda = 0.5,xgboost,0.6943 ± 0.0063,0.6562 ± 0.0065,0.6747 ± 0.0063,0.6553 ± 0.0065,0.6553 ± 0.0065,0.1680 ± 0.0114,0.7310 ± 0.0157,0.2101 ± 0.0100
HC with fairness constraints and equal number of protected attribute lambda = 0.5,mlp,0.6751 ± 0.0098,0.6732 ± 0.0528,0.6727 ± 0.0210,0.6421 ± 0.0027,0.6421 ± 0.0027,0.1149 ± 0.0525,0.8173 ± 0.0753,0.1363 ± 0.0518
HC with fairness constraints and same size as original dataset lambda = 0.6,logistic_regression,0.6572 ± 0.0063,0.7301 ± 0.0068,0.6917 ± 0.0027,0.6373 ± 0.0056,0.6373 ± 0.0056,0.0672 ± 0.0229,0.8971 ± 0.0340,0.1331 ± 0.0258
HC with fairness constraints and same size as original dataset lambda = 0.6,random_forest,0.6304 ± 0.0116,0.6976 ± 0.0097,0.6622 ± 0.0067,0.6040 ± 0.0117,0.6040 ± 0.0117,0.0783 ± 0.0496,0.8835 ± 0.0666,0.1336 ± 0.0599
HC with fairness constraints and same size as original dataset lambda = 0.6,xgboost,0.6402 ± 0.0062,0.7199 ± 0.0234,0.6775 ± 0.0102,0.6180 ± 0.0068,0.6180 ± 0.0068,0.0563 ± 0.0323,0.9140 ± 0.0486,0.1227 ± 0.0285
