sex,juv_misd_count_cat,days_b_screening_arrest_cat,c_charge_degree,two_year_recid,juv_other_count_cat,age_cat,juv_fel_count_cat,race_cat,priors_count_cat,c_days_from_compas_cat
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,1,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_1,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_1,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_1+,white,priors_count_2-3,c_days_from_compas_8-14
Male,juv_misd_count_1,days_b_screening_arrest_-1,F,1,juv_other_count_0,Greater than 45,juv_fel_count_1+,non_white,priors_count_0,missing
Male,juv_misd_count_0,days_b_screening_arrest_1+,F,0,juv_other_count_0,Less than 25,juv_fel_count_1+,non_white,priors_count_1,c_days_from_compas_29+
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_0,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_1+,M,0,juv_other_count_2+,Less than 25,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_22-28
Male,juv_misd_count_1,days_b_screening_arrest_-1,F,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_7-9,missing
Male,juv_misd_count_0,days_b_screening_arrest_0,M,0,juv_other_count_2+,Greater than 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_8-14
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_-2,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,cjuv_misd_count_2+,days_b_screening_arrest_-1,F,1,juv_other_count_1,25 - 45,juv_fel_count_1+,non_white,priors_count_10-15,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_1,Less than 25,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_15+,c_days_from_compas_29+
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_2+,Less than 25,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-2,F,1,juv_other_count_2+,Greater than 45,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_22-28
Male,juv_misd_count_0,days_b_screening_arrest_0,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_29+
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,cjuv_misd_count_2+,days_b_screening_arrest_lt_-3,F,1,juv_other_count_0,Greater than 45,juv_fel_count_1+,white,priors_count_1,missing
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_29+
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_7-9,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,1,juv_other_count_1,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_1,25 - 45,juv_fel_count_0,white,priors_count_15+,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_0,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_0,c_days_from_compas_0
Female,cjuv_misd_count_2+,days_b_screening_arrest_1+,M,0,juv_other_count_1,Less than 25,juv_fel_count_1+,non_white,priors_count_1,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_1,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-2,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_0,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_2+,25 - 45,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_1,days_b_screening_arrest_1+,M,0,juv_other_count_1,Less than 25,juv_fel_count_0,white,priors_count_15+,c_days_from_compas_29+
Female,juv_misd_count_1,days_b_screening_arrest_lt_-3,M,0,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_7-9,c_days_from_compas_8-14
Female,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_1,days_b_screening_arrest_lt_-3,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_2+,Greater than 45,juv_fel_count_1+,non_white,priors_count_7-9,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_0,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_1+,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_1+,F,0,juv_other_count_0,25 - 45,juv_fel_count_1+,white,priors_count_10-15,c_days_from_compas_8-14
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_7-9,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_0
Male,juv_misd_count_1,days_b_screening_arrest_lt_-3,M,0,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_22-28
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,0,juv_other_count_2+,25 - 45,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_2-7
Female,cjuv_misd_count_2+,days_b_screening_arrest_lt_-3,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_8-14
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_15+,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_1,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,M,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_0,M,1,juv_other_count_1,Greater than 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_1,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_10-15,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_15+,c_days_from_compas_8-14
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Female,cjuv_misd_count_2+,days_b_screening_arrest_lt_-3,M,0,juv_other_count_1,25 - 45,juv_fel_count_1+,non_white,priors_count_7-9,c_days_from_compas_8-14
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,25 - 45,juv_fel_count_1+,white,priors_count_7-9,c_days_from_compas_15-21
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_15+,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_0,c_days_from_compas_1
Male,cjuv_misd_count_2+,days_b_screening_arrest_0,M,0,juv_other_count_2+,Greater than 45,juv_fel_count_1+,non_white,priors_count_10-15,c_days_from_compas_8-14
Female,juv_misd_count_0,days_b_screening_arrest_-2,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_2-7
Female,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_1,days_b_screening_arrest_-2,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,M,0,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_10-15,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_1+,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_29+
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_1,Less than 25,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_22-28
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_15-21
Male,juv_misd_count_1,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_22-28
Female,cjuv_misd_count_2+,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_1+,white,priors_count_4-6,c_days_from_compas_15-21
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_7-9,c_days_from_compas_1
Female,cjuv_misd_count_2+,days_b_screening_arrest_lt_-3,M,0,juv_other_count_1,25 - 45,juv_fel_count_1+,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_1
Male,cjuv_misd_count_2+,days_b_screening_arrest_lt_-3,F,1,juv_other_count_0,25 - 45,juv_fel_count_1+,white,priors_count_10-15,c_days_from_compas_8-14
Female,juv_misd_count_1,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_15-21
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_10-15,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_1,25 - 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-2,M,1,juv_other_count_2+,25 - 45,juv_fel_count_1+,white,priors_count_7-9,missing
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_10-15,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_15+,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_0,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_15+,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,0,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_7-9,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_2+,Greater than 45,juv_fel_count_0,white,priors_count_0,c_days_from_compas_1
Female,juv_misd_count_0,days_b_screening_arrest_0,M,0,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_1,Less than 25,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,1,juv_other_count_0,25 - 45,juv_fel_count_0,white,priors_count_1,c_days_from_compas_1
Male,cjuv_misd_count_2+,days_b_screening_arrest_1+,M,1,juv_other_count_0,Less than 25,juv_fel_count_1+,white,priors_count_15+,c_days_from_compas_22-28
Male,juv_misd_count_0,days_b_screening_arrest_0,M,0,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_4-6,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-2,M,0,juv_other_count_2+,Less than 25,juv_fel_count_1+,white,priors_count_4-6,c_days_from_compas_15-21
Male,juv_misd_count_0,days_b_screening_arrest_0,F,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_0
Female,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_1,days_b_screening_arrest_lt_-3,F,1,juv_other_count_0,25 - 45,juv_fel_count_1+,white,priors_count_7-9,c_days_from_compas_29+
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,25 - 45,juv_fel_count_0,non_white,priors_count_1,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,0,juv_other_count_1,Less than 25,juv_fel_count_0,non_white,priors_count_2-3,c_days_from_compas_0
Male,juv_misd_count_0,days_b_screening_arrest_-1,M,1,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_-1,F,0,juv_other_count_0,Less than 25,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_1
Male,juv_misd_count_0,days_b_screening_arrest_0,F,0,juv_other_count_0,Greater than 45,juv_fel_count_0,non_white,priors_count_0,c_days_from_compas_2-7
Male,juv_misd_count_0,days_b_screening_arrest_lt_-3,F,1,juv_other_count_0,Less than 25,juv_fel_count_0,white,priors_count_1,c_days_from_compas_15-21
Female,juv_misd_count_0,days_b_screening_arrest_lt_-3,M,1,juv_other_count_0,Greater than 45,juv_fel_count_1+,non_white,priors_count_0,c_days_from_compas_22-28
Male,cjuv_misd_count_2+,days_b_screening_arrest_0,F,1,juv_other_count_0,25 - 45,juv_fel_count_1+,white,priors_count_7-9,c_days_from_compas_0
Male,cjuv_misd_count_2+,days_b_screening_arrest_-1,M,1,juv_other_count_2+,25 - 45,juv_fel_count_1+,non_white,priors_count_7-9,c_days_from_compas_2-7
