sex,two_year_recid,race_cat,juv_fel_count_cat,c_days_from_compas_cat,c_charge_degree,age_cat,juv_other_count_cat,priors_count_cat,juv_misd_count_cat,days_b_screening_arrest_cat
Male,0,white,juv_fel_count_0,c_days_from_compas_8-14,M,25 - 45,juv_other_count_0,priors_count_10-15,juv_misd_count_1,days_b_screening_arrest_lt_-3
Female,0,white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_2-3,juv_misd_count_1,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,white,juv_fel_count_0,c_days_from_compas_2-7,F,Less than 25,juv_other_count_1,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,Less than 25,juv_other_count_0,priors_count_4-6,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_4-6,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_2-7,M,25 - 45,juv_other_count_0,priors_count_1,juv_misd_count_0,days_b_screening_arrest_lt_-3
Female,0,white,juv_fel_count_0,c_days_from_compas_29+,F,Greater than 45,juv_other_count_0,priors_count_10-15,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,0,non_white,juv_fel_count_0,c_days_from_compas_0,M,25 - 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,0,non_white,juv_fel_count_0,c_days_from_compas_0,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_29+,M,25 - 45,juv_other_count_2+,priors_count_15+,juv_misd_count_1,days_b_screening_arrest_-2
Female,0,non_white,juv_fel_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
Female,0,white,juv_fel_count_0,c_days_from_compas_1,M,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_0
Male,0,white,juv_fel_count_0,c_days_from_compas_29+,M,Less than 25,juv_other_count_0,priors_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,M,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
Female,0,non_white,juv_fel_count_0,c_days_from_compas_15-21,M,25 - 45,juv_other_count_1,priors_count_15+,juv_misd_count_0,days_b_screening_arrest_0
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_10-15,juv_misd_count_0,days_b_screening_arrest_0
Male,0,white,juv_fel_count_0,c_days_from_compas_0,M,25 - 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,0,white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,white,juv_fel_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_8-14,M,25 - 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_0
Male,0,non_white,juv_fel_count_0,c_days_from_compas_0,F,Greater than 45,juv_other_count_2+,priors_count_10-15,juv_misd_count_1,days_b_screening_arrest_lt_-3
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_1,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Greater than 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,white,juv_fel_count_1+,c_days_from_compas_2-7,F,Greater than 45,juv_other_count_2+,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,non_white,juv_fel_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_0,F,25 - 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_15+,juv_misd_count_1,days_b_screening_arrest_-2
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_2+,priors_count_10-15,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_4-6,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,white,juv_fel_count_0,c_days_from_compas_15-21,M,Greater than 45,juv_other_count_1,priors_count_15+,cjuv_misd_count_2+,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_0
Male,0,non_white,juv_fel_count_1+,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_15+,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Greater than 45,juv_other_count_2+,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,M,25 - 45,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_2-3,juv_misd_count_0,days_b_screening_arrest_0
Male,0,non_white,juv_fel_count_1+,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,25 - 45,juv_other_count_0,priors_count_1,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,white,juv_fel_count_0,c_days_from_compas_1,M,Greater than 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Male,0,non_white,juv_fel_count_0,c_days_from_compas_1,F,Less than 25,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_-1
Female,0,white,juv_fel_count_0,c_days_from_compas_0,M,Greater than 45,juv_other_count_0,priors_count_0,juv_misd_count_0,days_b_screening_arrest_0
