sex,c_charge_degree,age_cat,priors_count_cat,juv_other_count_cat,two_year_recid,juv_misd_count_cat,race_cat,juv_fel_count_cat,c_days_from_compas_cat,days_b_screening_arrest_cat
Male,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Greater than 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_0
Male,M,Greater than 45,priors_count_4-6,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,M,Less than 25,priors_count_4-6,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,Less than 25,priors_count_0,juv_other_count_1,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_4-6,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_10-15,juv_other_count_0,1,juv_misd_count_1,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_7-9,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_7-9,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_4-6,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_15+,juv_other_count_2+,1,juv_misd_count_0,non_white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,25 - 45,priors_count_10-15,juv_other_count_1,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Less than 25,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,missing,days_b_screening_arrest_lt_-3
Male,M,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,M,25 - 45,priors_count_4-6,juv_other_count_0,1,cjuv_misd_count_2+,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_7-9,juv_other_count_1,1,cjuv_misd_count_2+,non_white,juv_fel_count_1+,missing,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Greater than 45,priors_count_0,juv_other_count_1,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_4-6,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,M,Less than 25,priors_count_4-6,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,M,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,Greater than 45,priors_count_15+,juv_other_count_0,0,juv_misd_count_1,non_white,juv_fel_count_1+,c_days_from_compas_15-21,days_b_screening_arrest_lt_-3
Male,F,Greater than 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,1,juv_misd_count_1,non_white,juv_fel_count_1+,c_days_from_compas_15-21,days_b_screening_arrest_lt_-3
Male,F,Less than 25,priors_count_1,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,cjuv_misd_count_2+,non_white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1
Female,M,25 - 45,priors_count_7-9,juv_other_count_0,0,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,Greater than 45,priors_count_7-9,juv_other_count_0,1,juv_misd_count_1,white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-2
Male,M,25 - 45,priors_count_2-3,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Female,F,25 - 45,priors_count_10-15,juv_other_count_1,1,cjuv_misd_count_2+,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_0,juv_other_count_1,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,F,Greater than 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,M,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Greater than 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_1+,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,F,Greater than 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,M,25 - 45,priors_count_7-9,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_1,white,juv_fel_count_1+,c_days_from_compas_2-7,days_b_screening_arrest_1+
Male,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,M,25 - 45,priors_count_4-6,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Female,F,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Female,M,25 - 45,priors_count_10-15,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Female,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Greater than 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,M,Greater than 45,priors_count_7-9,juv_other_count_0,1,juv_misd_count_1,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Less than 25,priors_count_0,juv_other_count_2+,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,Greater than 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Female,F,Greater than 45,priors_count_4-6,juv_other_count_2+,1,cjuv_misd_count_2+,white,juv_fel_count_1+,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3
Female,M,Less than 25,priors_count_2-3,juv_other_count_0,1,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Less than 25,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,F,Less than 25,priors_count_10-15,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,missing,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_0
Male,F,Less than 25,priors_count_15+,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Greater than 45,priors_count_10-15,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_1+,c_days_from_compas_8-14,days_b_screening_arrest_-2
Male,F,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Greater than 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_1+
Male,F,Less than 25,priors_count_1,juv_other_count_0,0,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_4-6,juv_other_count_0,0,juv_misd_count_1,white,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_10-15,juv_other_count_1,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_1,non_white,juv_fel_count_1+,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Female,M,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Greater than 45,priors_count_15+,juv_other_count_2+,1,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_-1
Female,M,25 - 45,priors_count_15+,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,M,Greater than 45,priors_count_7-9,juv_other_count_2+,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Less than 25,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,Greater than 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_15+,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_0
Male,F,Less than 25,priors_count_0,juv_other_count_2+,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Female,F,Less than 25,priors_count_7-9,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Female,F,Less than 25,priors_count_0,juv_other_count_2+,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_4-6,juv_other_count_0,0,cjuv_misd_count_2+,non_white,juv_fel_count_1+,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,M,Greater than 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_4-6,juv_other_count_0,1,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3
Female,M,Less than 25,priors_count_7-9,juv_other_count_1,0,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3
Male,M,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-1
Male,M,Greater than 45,priors_count_7-9,juv_other_count_2+,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,M,25 - 45,priors_count_2-3,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_0
Male,M,Greater than 45,priors_count_2-3,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_-2
Female,M,Less than 25,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_4-6,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3
Male,M,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_lt_-3
Female,M,25 - 45,priors_count_15+,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_15+,juv_other_count_0,1,cjuv_misd_count_2+,white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3
Male,M,Less than 25,priors_count_15+,juv_other_count_2+,1,cjuv_misd_count_2+,non_white,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,F,Less than 25,priors_count_4-6,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,M,Less than 25,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_4-6,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,F,25 - 45,priors_count_2-3,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Female,M,25 - 45,priors_count_2-3,juv_other_count_0,0,cjuv_misd_count_2+,non_white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,M,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Female,F,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,Greater than 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_4-6,juv_other_count_0,1,juv_misd_count_1,non_white,juv_fel_count_0,c_days_from_compas_29+,days_b_screening_arrest_1+
Male,F,25 - 45,priors_count_7-9,juv_other_count_2+,0,juv_misd_count_0,non_white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Female,M,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_4-6,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_4-6,juv_other_count_0,0,cjuv_misd_count_2+,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Greater than 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Female,M,25 - 45,priors_count_2-3,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_4-6,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_1+
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_15-21,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_7-9,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_8-14,days_b_screening_arrest_lt_-3
Male,F,25 - 45,priors_count_10-15,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_7-9,juv_other_count_2+,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,M,Greater than 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3
Male,M,25 - 45,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_4-6,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_0,juv_other_count_1,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_4-6,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_0
Male,F,Greater than 45,priors_count_1,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_1,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_0,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,25 - 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_0,days_b_screening_arrest_-2
Male,M,Less than 25,priors_count_1,juv_other_count_0,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_22-28,days_b_screening_arrest_lt_-3
Female,M,Less than 25,priors_count_0,juv_other_count_0,0,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_0
Male,F,25 - 45,priors_count_2-3,juv_other_count_0,0,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,F,Less than 25,priors_count_1,juv_other_count_1,1,juv_misd_count_0,white,juv_fel_count_0,c_days_from_compas_2-7,days_b_screening_arrest_lt_-3
Male,F,Greater than 45,priors_count_0,juv_other_count_0,1,juv_misd_count_0,non_white,juv_fel_count_0,c_days_from_compas_1,days_b_screening_arrest_-1
Male,M,Greater than 45,priors_count_4-6,juv_other_count_0,0,juv_misd_count_1,white,juv_fel_count_1+,c_days_from_compas_1,days_b_screening_arrest_-1
