sex,priors_count_cat,age_cat,c_days_from_compas_cat,juv_other_count_cat,juv_misd_count_cat,days_b_screening_arrest_cat,race_cat,c_charge_degree,two_year_recid,juv_fel_count_cat
Female,priors_count_7-9,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Female,priors_count_0,Greater than 45,c_days_from_compas_15-21,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,M,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_29+,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+,non_white,M,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,white,M,0,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,0,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+,non_white,M,1,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,1,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_15-21,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,white,F,1,juv_fel_count_0
Female,priors_count_2-3,Greater than 45,c_days_from_compas_22-28,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Female,priors_count_1,25 - 45,c_days_from_compas_0,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_0,white,M,0,juv_fel_count_0
Male,priors_count_7-9,Less than 25,c_days_from_compas_0,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_2-3,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_22-28,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,M,0,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_1+
Male,priors_count_15+,Greater than 45,c_days_from_compas_29+,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,1,juv_fel_count_0
Male,priors_count_2-3,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Female,priors_count_0,25 - 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_10-15,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,white,M,0,juv_fel_count_0
Male,priors_count_2-3,Less than 25,c_days_from_compas_22-28,juv_other_count_1,juv_misd_count_1,days_b_screening_arrest_lt_-3,non_white,F,1,juv_fel_count_1+
Male,priors_count_1,Greater than 45,c_days_from_compas_22-28,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,white,F,0,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Female,priors_count_15+,Greater than 45,c_days_from_compas_15-21,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,1,juv_fel_count_1+
Male,priors_count_0,Greater than 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_0,white,F,0,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,0,juv_fel_count_0
Male,priors_count_7-9,25 - 45,c_days_from_compas_0,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1,non_white,M,1,juv_fel_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_7-9,Greater than 45,c_days_from_compas_0,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_0,white,F,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_2-7,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_1+,white,M,1,juv_fel_count_0
Male,priors_count_7-9,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,1,juv_fel_count_0
Male,priors_count_2-3,Less than 25,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_15-21,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_4-6,Greater than 45,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_0,white,F,0,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,M,1,juv_fel_count_0
Male,priors_count_15+,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Female,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_7-9,25 - 45,c_days_from_compas_1,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,1,juv_fel_count_0
Female,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,white,M,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,0,juv_fel_count_0
Female,priors_count_10-15,25 - 45,c_days_from_compas_15-21,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_8-14,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_1+
Male,priors_count_4-6,25 - 45,c_days_from_compas_29+,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_lt_-3,white,M,0,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2,non_white,F,1,juv_fel_count_0
Female,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1,white,M,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,1,juv_fel_count_1+
Female,priors_count_0,Greater than 45,c_days_from_compas_2-7,juv_other_count_1,cjuv_misd_count_2+,days_b_screening_arrest_-2,white,M,1,juv_fel_count_0
Female,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,0,juv_fel_count_0
Male,priors_count_1,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_15+,Greater than 45,missing,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,1,juv_fel_count_1+
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_15-21,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_8-14,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_1,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_4-6,Greater than 45,c_days_from_compas_22-28,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,M,1,juv_fel_count_1+
Female,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,1,juv_fel_count_0
Male,priors_count_1,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,0,juv_fel_count_0
Male,priors_count_7-9,Less than 25,c_days_from_compas_0,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,non_white,M,1,juv_fel_count_0
Male,priors_count_15+,25 - 45,c_days_from_compas_2-7,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_-2,white,F,1,juv_fel_count_1+
Male,priors_count_15+,25 - 45,c_days_from_compas_0,juv_other_count_1,juv_misd_count_1,days_b_screening_arrest_0,non_white,M,1,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_22-28,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,0,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Female,priors_count_4-6,25 - 45,c_days_from_compas_0,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_0,white,F,1,juv_fel_count_0
Male,priors_count_7-9,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,1,juv_fel_count_0
Male,priors_count_2-3,Greater than 45,c_days_from_compas_29+,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,M,0,juv_fel_count_0
Male,priors_count_2-3,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,non_white,M,1,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,0,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,M,0,juv_fel_count_0
Female,priors_count_10-15,25 - 45,c_days_from_compas_15-21,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+,white,F,1,juv_fel_count_0
Female,priors_count_15+,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,1,juv_fel_count_0
Male,priors_count_10-15,Greater than 45,c_days_from_compas_0,juv_other_count_1,cjuv_misd_count_2+,days_b_screening_arrest_0,white,M,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_1,Less than 25,c_days_from_compas_15-21,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_1+,non_white,F,1,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Male,priors_count_2-3,Greater than 45,missing,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,white,M,0,juv_fel_count_1+
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Female,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1,white,F,1,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,0,juv_fel_count_0
Male,priors_count_2-3,Greater than 45,c_days_from_compas_22-28,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,M,0,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,0,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Female,priors_count_0,25 - 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,0,juv_fel_count_0
Female,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1,white,M,0,juv_fel_count_0
Male,priors_count_2-3,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_10-15,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,1,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_7-9,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,M,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,missing,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_1+
Male,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Female,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_8-14,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_7-9,Greater than 45,c_days_from_compas_1,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,1,juv_fel_count_0
Female,priors_count_2-3,Less than 25,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,0,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_15-21,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+,non_white,F,1,juv_fel_count_0
Female,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_4-6,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_1,days_b_screening_arrest_-1,white,F,1,juv_fel_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_1,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Female,priors_count_7-9,Less than 25,c_days_from_compas_29+,juv_other_count_1,cjuv_misd_count_2+,days_b_screening_arrest_-2,white,M,0,juv_fel_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_0,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_22-28,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,white,F,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2,non_white,F,1,juv_fel_count_0
Male,priors_count_7-9,25 - 45,c_days_from_compas_22-28,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Female,priors_count_1,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,0,juv_fel_count_0
Male,priors_count_4-6,25 - 45,c_days_from_compas_29+,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+,non_white,F,1,juv_fel_count_0
Female,priors_count_1,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_1+,non_white,F,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,white,M,0,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,0,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,non_white,F,0,juv_fel_count_0
Male,priors_count_10-15,25 - 45,c_days_from_compas_15-21,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_lt_-3,white,F,1,juv_fel_count_0
Female,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_1,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2,non_white,F,0,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_1,25 - 45,c_days_from_compas_2-7,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-2,non_white,F,0,juv_fel_count_0
Male,priors_count_1,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_0,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,0,juv_fel_count_0
Female,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_2+,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_2-3,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,0,juv_fel_count_0
Male,priors_count_0,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,1,juv_fel_count_0
Male,priors_count_0,Greater than 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,white,F,0,juv_fel_count_0
Male,priors_count_7-9,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,F,1,juv_fel_count_1+
Male,priors_count_4-6,25 - 45,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_-1,non_white,M,1,juv_fel_count_0
Male,priors_count_1,Less than 25,c_days_from_compas_0,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,F,0,juv_fel_count_0
Female,priors_count_2-3,25 - 45,c_days_from_compas_8-14,juv_other_count_0,cjuv_misd_count_2+,days_b_screening_arrest_lt_-3,white,M,0,juv_fel_count_0
Male,priors_count_7-9,Less than 25,c_days_from_compas_1,juv_other_count_0,juv_misd_count_0,days_b_screening_arrest_0,non_white,M,1,juv_fel_count_0
