sex,c_charge_degree,juv_misd_count_cat,age_cat,priors_count_cat,juv_fel_count_cat,days_b_screening_arrest_cat,c_days_from_compas_cat,two_year_recid,race_cat,juv_other_count_cat
Male,F,juv_misd_count_0,25 - 45,priors_count_4-6,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Greater than 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,0,white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_10-15,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Less than 25,priors_count_15+,juv_fel_count_1+,days_b_screening_arrest_-2,c_days_from_compas_8-14,0,white,juv_other_count_0
Female,F,juv_misd_count_1,25 - 45,priors_count_4-6,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_8-14,1,white,juv_other_count_2+
Male,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,0,non_white,juv_other_count_0
Female,M,juv_misd_count_0,25 - 45,priors_count_15+,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,0,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_7-9,juv_fel_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1,1,white,juv_other_count_1
Male,F,juv_misd_count_0,Greater than 45,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1,0,non_white,juv_other_count_0
Female,M,juv_misd_count_1,Less than 25,priors_count_1,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_2-3,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,1,non_white,juv_other_count_0
Female,F,juv_misd_count_0,Greater than 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,1,white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-2,c_days_from_compas_0,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_1,juv_fel_count_1+,days_b_screening_arrest_lt_-3,c_days_from_compas_1,0,non_white,juv_other_count_0
Female,M,juv_misd_count_0,25 - 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_15+,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,1,white,juv_other_count_0
Female,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_1+,days_b_screening_arrest_-2,c_days_from_compas_0,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_7-9,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_2-7,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,25 - 45,priors_count_15+,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,M,juv_misd_count_0,25 - 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Female,F,juv_misd_count_0,Greater than 45,priors_count_2-3,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_22-28,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1,0,white,juv_other_count_0
Male,F,cjuv_misd_count_2+,Greater than 45,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_1+,c_days_from_compas_8-14,1,non_white,juv_other_count_2+
Male,F,juv_misd_count_1,Less than 25,priors_count_15+,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,0,white,juv_other_count_1
Male,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Female,F,juv_misd_count_0,25 - 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_15-21,1,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,M,juv_misd_count_0,25 - 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,white,juv_other_count_0
Male,F,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_4-6,juv_fel_count_1+,days_b_screening_arrest_-2,c_days_from_compas_8-14,1,white,juv_other_count_2+
Male,F,juv_misd_count_0,Greater than 45,priors_count_7-9,juv_fel_count_1+,days_b_screening_arrest_-2,c_days_from_compas_1,1,non_white,juv_other_count_1
Male,M,juv_misd_count_0,Greater than 45,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_1+,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,F,juv_misd_count_1,25 - 45,priors_count_10-15,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_1,1,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_15+,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_2-7,1,non_white,juv_other_count_2+
Male,F,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,1,white,juv_other_count_0
Male,M,juv_misd_count_0,Less than 25,priors_count_7-9,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,0,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_0,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_15-21,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Less than 25,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,F,cjuv_misd_count_2+,Less than 25,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_2-7,1,non_white,juv_other_count_1
Female,F,cjuv_misd_count_2+,25 - 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_15-21,1,white,juv_other_count_2+
Male,M,juv_misd_count_0,Greater than 45,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Less than 25,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Female,F,juv_misd_count_0,25 - 45,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_15+,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Less than 25,priors_count_1,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_15-21,1,non_white,juv_other_count_0
Female,F,juv_misd_count_0,Less than 25,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-2,c_days_from_compas_1,0,non_white,juv_other_count_0
Female,F,juv_misd_count_0,25 - 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Female,M,juv_misd_count_0,25 - 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,25 - 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-2,c_days_from_compas_1,0,non_white,juv_other_count_0
Female,F,cjuv_misd_count_2+,Greater than 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_7-9,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_0,0,non_white,juv_other_count_0
Female,F,juv_misd_count_0,25 - 45,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7,0,non_white,juv_other_count_0
Male,F,juv_misd_count_1,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_0,1,non_white,juv_other_count_1
Male,F,juv_misd_count_0,Greater than 45,priors_count_7-9,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Female,M,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_1,25 - 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,1,white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Less than 25,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_1+,c_days_from_compas_2-7,0,white,juv_other_count_0
Male,M,juv_misd_count_0,25 - 45,priors_count_1,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Less than 25,priors_count_2-3,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,cjuv_misd_count_2+,25 - 45,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_1+,c_days_from_compas_2-7,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Greater than 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,M,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,0,non_white,juv_other_count_0
Female,M,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_0,0,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_15+,juv_fel_count_1+,days_b_screening_arrest_-1,c_days_from_compas_8-14,1,non_white,juv_other_count_2+
Female,F,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_10-15,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Female,F,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_1+,days_b_screening_arrest_0,c_days_from_compas_22-28,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,25 - 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
Male,F,juv_misd_count_0,Greater than 45,priors_count_15+,juv_fel_count_1+,days_b_screening_arrest_-2,c_days_from_compas_1,1,white,juv_other_count_2+
Female,F,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_8-14,0,white,juv_other_count_0
Male,F,juv_misd_count_0,25 - 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_lt_-3,c_days_from_compas_1,0,white,juv_other_count_1
Female,M,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Greater than 45,priors_count_1,juv_fel_count_0,days_b_screening_arrest_0,c_days_from_compas_1,0,non_white,juv_other_count_0
Female,F,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_2-7,0,non_white,juv_other_count_0
Male,M,juv_misd_count_0,Greater than 45,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,non_white,juv_other_count_0
Female,F,juv_misd_count_0,25 - 45,priors_count_4-6,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_22-28,0,white,juv_other_count_0
Male,F,juv_misd_count_0,Less than 25,priors_count_0,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,0,white,juv_other_count_0
Male,F,juv_misd_count_0,Less than 25,priors_count_1,juv_fel_count_0,days_b_screening_arrest_-1,c_days_from_compas_1,1,non_white,juv_other_count_0
