sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,logistic_regression,0.6771 ± 0.0020,0.9602 ± 0.0000,0.7942 ± 0.0014,0.9586 ± 0.0002,0.9586 ± 0.0002,0.1312 ± 0.0023,0.4360 ± 0.0044,0.1886 ± 0.0024
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,random_forest,0.6980 ± 0.0194,0.9602 ± 0.0000,0.8082 ± 0.0129,0.9606 ± 0.0018,0.9606 ± 0.0018,0.0745 ± 0.0207,0.5970 ± 0.0739,0.1292 ± 0.0216
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,xgboost,0.7630 ± 0.0161,0.9602 ± 0.0000,0.8502 ± 0.0101,0.9661 ± 0.0013,0.9661 ± 0.0013,0.0214 ± 0.0100,0.8357 ± 0.0652,0.0741 ± 0.0103
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.1,mlp,0.6883 ± 0.0170,0.9602 ± 0.0000,0.8017 ± 0.0115,0.9597 ± 0.0016,0.9597 ± 0.0016,0.0744 ± 0.0214,0.6001 ± 0.0650,0.1290 ± 0.0224
HC with fairness constraints and equal number of protected attribute lambda = 0.1,logistic_regression,0.6771 ± 0.0020,0.9602 ± 0.0000,0.7942 ± 0.0014,0.9586 ± 0.0002,0.9586 ± 0.0002,0.1312 ± 0.0023,0.4360 ± 0.0044,0.1886 ± 0.0024
HC with fairness constraints and equal number of protected attribute lambda = 0.1,random_forest,0.6980 ± 0.0194,0.9602 ± 0.0000,0.8082 ± 0.0129,0.9606 ± 0.0018,0.9606 ± 0.0018,0.0745 ± 0.0207,0.5970 ± 0.0739,0.1292 ± 0.0216
HC with fairness constraints and equal number of protected attribute lambda = 0.1,xgboost,0.7630 ± 0.0161,0.9602 ± 0.0000,0.8502 ± 0.0101,0.9661 ± 0.0013,0.9661 ± 0.0013,0.0214 ± 0.0100,0.8357 ± 0.0652,0.0741 ± 0.0103
HC with fairness constraints and equal number of protected attribute lambda = 0.1,mlp,0.6907 ± 0.0151,0.9602 ± 0.0000,0.8034 ± 0.0103,0.9599 ± 0.0014,0.9599 ± 0.0014,0.0794 ± 0.0219,0.5816 ± 0.0663,0.1343 ± 0.0229
HC with fairness constraints and same size as original dataset lambda = 0.2,logistic_regression,0.9037 ± 0.0000,0.9602 ± 0.0000,0.9311 ± 0.0000,0.9753 ± 0.0000,0.9753 ± 0.0000,0.0479 ± 0.0000,0.5132 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.2,random_forest,0.8825 ± 0.0021,0.9602 ± 0.0000,0.9197 ± 0.0011,0.9741 ± 0.0001,0.9741 ± 0.0001,0.0360 ± 0.0019,0.6361 ± 0.0192,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.2,xgboost,0.8877 ± 0.0112,0.9597 ± 0.0011,0.9222 ± 0.0061,0.9741 ± 0.0009,0.9741 ± 0.0009,0.0371 ± 0.0076,0.6226 ± 0.0775,0.0434 ± 0.0012
HC with fairness constraints and same size as original dataset lambda = 0.2,mlp,0.8789 ± 0.0053,0.9602 ± 0.0000,0.9177 ± 0.0029,0.9739 ± 0.0003,0.9739 ± 0.0003,0.0316 ± 0.0032,0.6796 ± 0.0325,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.2,logistic_regression,0.9033 ± 0.0010,0.9602 ± 0.0000,0.9309 ± 0.0005,0.9753 ± 0.0001,0.9753 ± 0.0001,0.0476 ± 0.0006,0.5164 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.2,random_forest,0.8899 ± 0.0037,0.9597 ± 0.0011,0.9235 ± 0.0018,0.9743 ± 0.0005,0.9743 ± 0.0005,0.0398 ± 0.0017,0.5959 ± 0.0176,0.0434 ± 0.0012
HC with fairness constraints and double the size of original dataset lambda = 0.2,xgboost,0.8918 ± 0.0026,0.9602 ± 0.0000,0.9248 ± 0.0014,0.9747 ± 0.0001,0.9747 ± 0.0001,0.0404 ± 0.0011,0.5898 ± 0.0114,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.2,mlp,0.8848 ± 0.0077,0.9597 ± 0.0011,0.9207 ± 0.0038,0.9740 ± 0.0004,0.9740 ± 0.0004,0.0360 ± 0.0044,0.6346 ± 0.0458,0.0434 ± 0.0012
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,logistic_regression,0.8017 ± 0.0033,0.9602 ± 0.0000,0.8738 ± 0.0020,0.9690 ± 0.0002,0.9690 ± 0.0002,0.0086 ± 0.0028,0.9226 ± 0.0234,0.0610 ± 0.0029
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,random_forest,0.7607 ± 0.0100,0.9602 ± 0.0000,0.8489 ± 0.0063,0.9659 ± 0.0008,0.9659 ± 0.0008,0.0285 ± 0.0022,0.7847 ± 0.0136,0.0816 ± 0.0023
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,xgboost,0.7823 ± 0.0148,0.9602 ± 0.0000,0.8621 ± 0.0089,0.9676 ± 0.0011,0.9676 ± 0.0011,0.0179 ± 0.0108,0.8583 ± 0.0787,0.0694 ± 0.0131
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.2,mlp,0.7564 ± 0.0305,0.9602 ± 0.0000,0.8459 ± 0.0194,0.9655 ± 0.0025,0.9655 ± 0.0025,0.0284 ± 0.0195,0.8032 ± 0.1056,0.0813 ± 0.0202
HC with fairness constraints and equal number of protected attribute lambda = 0.2,logistic_regression,0.8017 ± 0.0033,0.9602 ± 0.0000,0.8738 ± 0.0020,0.9690 ± 0.0002,0.9690 ± 0.0002,0.0086 ± 0.0028,0.9226 ± 0.0234,0.0610 ± 0.0029
HC with fairness constraints and equal number of protected attribute lambda = 0.2,random_forest,0.7607 ± 0.0100,0.9602 ± 0.0000,0.8489 ± 0.0063,0.9659 ± 0.0008,0.9659 ± 0.0008,0.0285 ± 0.0022,0.7847 ± 0.0136,0.0816 ± 0.0023
HC with fairness constraints and equal number of protected attribute lambda = 0.2,xgboost,0.7823 ± 0.0148,0.9602 ± 0.0000,0.8621 ± 0.0089,0.9676 ± 0.0011,0.9676 ± 0.0011,0.0179 ± 0.0108,0.8583 ± 0.0787,0.0694 ± 0.0131
HC with fairness constraints and equal number of protected attribute lambda = 0.2,mlp,0.7573 ± 0.0101,0.9602 ± 0.0000,0.8467 ± 0.0063,0.9657 ± 0.0008,0.9657 ± 0.0008,0.0287 ± 0.0085,0.7872 ± 0.0505,0.0817 ± 0.0089
HC with fairness constraints and same size as original dataset lambda = 0.3,logistic_regression,0.8947 ± 0.0009,0.9602 ± 0.0000,0.9263 ± 0.0005,0.9748 ± 0.0001,0.9748 ± 0.0001,0.0419 ± 0.0006,0.5742 ± 0.0064,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.3,random_forest,0.9061 ± 0.0061,0.9097 ± 0.0042,0.9079 ± 0.0026,0.9504 ± 0.0019,0.9504 ± 0.0019,0.0353 ± 0.0037,0.6144 ± 0.0402,0.0220 ± 0.0073
HC with fairness constraints and same size as original dataset lambda = 0.3,xgboost,0.9089 ± 0.0079,0.9119 ± 0.0018,0.9104 ± 0.0039,0.9517 ± 0.0009,0.9517 ± 0.0009,0.0360 ± 0.0018,0.6071 ± 0.0206,0.0140 ± 0.0014
HC with fairness constraints and same size as original dataset lambda = 0.3,mlp,0.8941 ± 0.0222,0.9222 ± 0.0220,0.9075 ± 0.0104,0.9559 ± 0.0103,0.9559 ± 0.0103,0.0307 ± 0.0077,0.6707 ± 0.0800,0.0382 ± 0.0143
HC with fairness constraints and double the size of original dataset lambda = 0.3,logistic_regression,0.8848 ± 0.0015,0.9602 ± 0.0000,0.9210 ± 0.0008,0.9743 ± 0.0001,0.9743 ± 0.0001,0.0383 ± 0.0008,0.6130 ± 0.0080,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.3,random_forest,0.9196 ± 0.0039,0.9290 ± 0.0065,0.9242 ± 0.0029,0.9607 ± 0.0031,0.9607 ± 0.0031,0.0419 ± 0.0039,0.5500 ± 0.0409,0.0245 ± 0.0122
HC with fairness constraints and double the size of original dataset lambda = 0.3,xgboost,0.9203 ± 0.0081,0.9301 ± 0.0073,0.9251 ± 0.0036,0.9613 ± 0.0034,0.9613 ± 0.0034,0.0427 ± 0.0027,0.5421 ± 0.0280,0.0138 ± 0.0057
HC with fairness constraints and double the size of original dataset lambda = 0.3,mlp,0.9121 ± 0.0160,0.9261 ± 0.0111,0.9189 ± 0.0057,0.9589 ± 0.0049,0.9589 ± 0.0049,0.0376 ± 0.0066,0.5953 ± 0.0696,0.0378 ± 0.0157
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,logistic_regression,0.7131 ± 0.0041,0.9602 ± 0.0000,0.8184 ± 0.0027,0.9620 ± 0.0004,0.9620 ± 0.0004,0.0473 ± 0.0004,0.6959 ± 0.0024,0.1008 ± 0.0004
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,random_forest,0.6265 ± 0.0088,0.9790 ± 0.0084,0.7640 ± 0.0057,0.9621 ± 0.0035,0.9621 ± 0.0035,0.0347 ± 0.0087,0.7897 ± 0.0457,0.0885 ± 0.0085
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,xgboost,0.6549 ± 0.0165,0.9727 ± 0.0066,0.7826 ± 0.0103,0.9623 ± 0.0020,0.9623 ± 0.0020,0.0301 ± 0.0066,0.8049 ± 0.0317,0.0834 ± 0.0072
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.3,mlp,0.6419 ± 0.0329,0.9773 ± 0.0108,0.7741 ± 0.0207,0.9628 ± 0.0022,0.9628 ± 0.0022,0.0263 ± 0.0103,0.8313 ± 0.0572,0.0798 ± 0.0108
HC with fairness constraints and equal number of protected attribute lambda = 0.3,logistic_regression,0.7131 ± 0.0041,0.9602 ± 0.0000,0.8184 ± 0.0027,0.9620 ± 0.0004,0.9620 ± 0.0004,0.0473 ± 0.0004,0.6959 ± 0.0024,0.1008 ± 0.0004
HC with fairness constraints and equal number of protected attribute lambda = 0.3,random_forest,0.6265 ± 0.0088,0.9790 ± 0.0084,0.7640 ± 0.0057,0.9621 ± 0.0035,0.9621 ± 0.0035,0.0347 ± 0.0087,0.7897 ± 0.0457,0.0885 ± 0.0085
HC with fairness constraints and equal number of protected attribute lambda = 0.3,xgboost,0.6549 ± 0.0165,0.9727 ± 0.0066,0.7826 ± 0.0103,0.9623 ± 0.0020,0.9623 ± 0.0020,0.0301 ± 0.0066,0.8049 ± 0.0317,0.0834 ± 0.0072
HC with fairness constraints and equal number of protected attribute lambda = 0.3,mlp,0.6524 ± 0.0207,0.9699 ± 0.0091,0.7797 ± 0.0121,0.9606 ± 0.0022,0.9606 ± 0.0022,0.0366 ± 0.0142,0.7741 ± 0.0714,0.0899 ± 0.0149
HC with fairness constraints and same size as original dataset lambda = 0.4,logistic_regression,0.8839 ± 0.0024,0.9602 ± 0.0000,0.9205 ± 0.0013,0.9742 ± 0.0001,0.9742 ± 0.0001,0.0369 ± 0.0011,0.6265 ± 0.0116,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.4,random_forest,0.8936 ± 0.0101,0.9432 ± 0.0048,0.9177 ± 0.0056,0.9663 ± 0.0024,0.9663 ± 0.0024,0.0525 ± 0.0033,0.4678 ± 0.0326,0.0680 ± 0.0669
HC with fairness constraints and same size as original dataset lambda = 0.4,xgboost,0.8926 ± 0.0056,0.9489 ± 0.0065,0.9199 ± 0.0047,0.9691 ± 0.0033,0.9691 ± 0.0033,0.0469 ± 0.0035,0.5236 ± 0.0334,0.0184 ± 0.0114
HC with fairness constraints and same size as original dataset lambda = 0.4,mlp,0.8820 ± 0.0108,0.9449 ± 0.0116,0.9122 ± 0.0044,0.9665 ± 0.0053,0.9665 ± 0.0053,0.0485 ± 0.0062,0.5116 ± 0.0647,0.0684 ± 0.0794
HC with fairness constraints and double the size of original dataset lambda = 0.4,logistic_regression,0.8871 ± 0.0021,0.9602 ± 0.0000,0.9222 ± 0.0011,0.9744 ± 0.0001,0.9744 ± 0.0001,0.0376 ± 0.0007,0.6183 ± 0.0073,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.4,random_forest,0.8955 ± 0.0053,0.9494 ± 0.0045,0.9217 ± 0.0037,0.9695 ± 0.0023,0.9695 ± 0.0023,0.0544 ± 0.0050,0.4518 ± 0.0494,0.1092 ± 0.0640
HC with fairness constraints and double the size of original dataset lambda = 0.4,xgboost,0.9008 ± 0.0042,0.9545 ± 0.0018,0.9269 ± 0.0015,0.9723 ± 0.0007,0.9723 ± 0.0007,0.0518 ± 0.0031,0.4762 ± 0.0321,0.0387 ± 0.0229
HC with fairness constraints and double the size of original dataset lambda = 0.4,mlp,0.8914 ± 0.0073,0.9506 ± 0.0053,0.9200 ± 0.0043,0.9698 ± 0.0026,0.9698 ± 0.0026,0.0513 ± 0.0064,0.4833 ± 0.0643,0.0932 ± 0.0742
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,logistic_regression,0.6981 ± 0.0056,0.9602 ± 0.0000,0.8084 ± 0.0038,0.9606 ± 0.0005,0.9606 ± 0.0005,0.0974 ± 0.0059,0.5143 ± 0.0148,0.1533 ± 0.0061
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,random_forest,0.6815 ± 0.0073,0.9602 ± 0.0000,0.7972 ± 0.0050,0.9591 ± 0.0007,0.9591 ± 0.0007,0.0794 ± 0.0129,0.5803 ± 0.0418,0.1343 ± 0.0135
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,xgboost,0.7196 ± 0.0087,0.9602 ± 0.0000,0.8226 ± 0.0057,0.9626 ± 0.0008,0.9626 ± 0.0008,0.0552 ± 0.0118,0.6608 ± 0.0486,0.1092 ± 0.0123
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.4,mlp,0.6735 ± 0.0295,0.9602 ± 0.0000,0.7913 ± 0.0203,0.9582 ± 0.0029,0.9582 ± 0.0029,0.0853 ± 0.0294,0.5746 ± 0.0845,0.1403 ± 0.0306
HC with fairness constraints and equal number of protected attribute lambda = 0.4,logistic_regression,0.6981 ± 0.0056,0.9602 ± 0.0000,0.8084 ± 0.0038,0.9606 ± 0.0005,0.9606 ± 0.0005,0.0974 ± 0.0059,0.5143 ± 0.0148,0.1533 ± 0.0061
HC with fairness constraints and equal number of protected attribute lambda = 0.4,random_forest,0.6815 ± 0.0073,0.9602 ± 0.0000,0.7972 ± 0.0050,0.9591 ± 0.0007,0.9591 ± 0.0007,0.0794 ± 0.0129,0.5803 ± 0.0418,0.1343 ± 0.0135
HC with fairness constraints and equal number of protected attribute lambda = 0.4,xgboost,0.7196 ± 0.0087,0.9602 ± 0.0000,0.8226 ± 0.0057,0.9626 ± 0.0008,0.9626 ± 0.0008,0.0552 ± 0.0118,0.6608 ± 0.0486,0.1092 ± 0.0123
HC with fairness constraints and equal number of protected attribute lambda = 0.4,mlp,0.6735 ± 0.0222,0.9602 ± 0.0000,0.7915 ± 0.0154,0.9582 ± 0.0022,0.9582 ± 0.0022,0.0951 ± 0.0191,0.5357 ± 0.0507,0.1507 ± 0.0199
HC with fairness constraints and same size as original dataset lambda = 0.5,logistic_regression,0.9009 ± 0.0018,0.9602 ± 0.0000,0.9296 ± 0.0010,0.9752 ± 0.0001,0.9752 ± 0.0001,0.0461 ± 0.0012,0.5325 ± 0.0120,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.5,random_forest,0.8837 ± 0.0067,0.9580 ± 0.0045,0.9193 ± 0.0036,0.9731 ± 0.0021,0.9731 ± 0.0021,0.0348 ± 0.0036,0.6458 ± 0.0368,0.0453 ± 0.0049
HC with fairness constraints and same size as original dataset lambda = 0.5,xgboost,0.8931 ± 0.0037,0.9591 ± 0.0014,0.9249 ± 0.0016,0.9742 ± 0.0006,0.9742 ± 0.0006,0.0409 ± 0.0020,0.5844 ± 0.0211,0.0440 ± 0.0015
HC with fairness constraints and same size as original dataset lambda = 0.5,mlp,0.8818 ± 0.0086,0.9574 ± 0.0044,0.9180 ± 0.0047,0.9727 ± 0.0021,0.9727 ± 0.0021,0.0331 ± 0.0054,0.6627 ± 0.0553,0.0459 ± 0.0047
HC with fairness constraints and double the size of original dataset lambda = 0.5,logistic_regression,0.9037 ± 0.0000,0.9602 ± 0.0000,0.9311 ± 0.0000,0.9753 ± 0.0000,0.9753 ± 0.0000,0.0479 ± 0.0000,0.5132 ± 0.0000,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.5,random_forest,0.8923 ± 0.0028,0.9602 ± 0.0000,0.9250 ± 0.0015,0.9747 ± 0.0002,0.9747 ± 0.0002,0.0419 ± 0.0017,0.5760 ± 0.0175,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.5,xgboost,0.8961 ± 0.0035,0.9602 ± 0.0000,0.9270 ± 0.0019,0.9749 ± 0.0002,0.9749 ± 0.0002,0.0429 ± 0.0023,0.5645 ± 0.0236,0.0428 ± 0.0000
HC with fairness constraints and double the size of original dataset lambda = 0.5,mlp,0.8863 ± 0.0067,0.9602 ± 0.0000,0.9217 ± 0.0036,0.9743 ± 0.0004,0.9743 ± 0.0004,0.0378 ± 0.0048,0.6176 ± 0.0484,0.0428 ± 0.0000
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,logistic_regression,0.7998 ± 0.0015,0.9602 ± 0.0000,0.8727 ± 0.0009,0.9688 ± 0.0001,0.9688 ± 0.0001,0.0105 ± 0.0005,0.9059 ± 0.0041,0.0630 ± 0.0005
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,random_forest,0.7324 ± 0.0113,0.9602 ± 0.0000,0.8309 ± 0.0073,0.9636 ± 0.0009,0.9636 ± 0.0009,0.0262 ± 0.0104,0.8100 ± 0.0609,0.0789 ± 0.0108
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,xgboost,0.7749 ± 0.0174,0.9602 ± 0.0000,0.8576 ± 0.0106,0.9670 ± 0.0013,0.9670 ± 0.0013,0.0184 ± 0.0112,0.8541 ± 0.0707,0.0673 ± 0.0163
HC with fairness constraints and equal number of class 1 and class 0 lambda = 0.5,mlp,0.7362 ± 0.0188,0.9602 ± 0.0000,0.8333 ± 0.0122,0.9639 ± 0.0016,0.9639 ± 0.0016,0.0272 ± 0.0114,0.8039 ± 0.0588,0.0799 ± 0.0118
HC with fairness constraints and equal number of protected attribute lambda = 0.5,logistic_regression,0.7998 ± 0.0015,0.9602 ± 0.0000,0.8727 ± 0.0009,0.9688 ± 0.0001,0.9688 ± 0.0001,0.0105 ± 0.0005,0.9059 ± 0.0041,0.0630 ± 0.0005
HC with fairness constraints and equal number of protected attribute lambda = 0.5,random_forest,0.7324 ± 0.0113,0.9602 ± 0.0000,0.8309 ± 0.0073,0.9636 ± 0.0009,0.9636 ± 0.0009,0.0262 ± 0.0104,0.8100 ± 0.0609,0.0789 ± 0.0108
HC with fairness constraints and equal number of protected attribute lambda = 0.5,xgboost,0.7749 ± 0.0174,0.9602 ± 0.0000,0.8576 ± 0.0106,0.9670 ± 0.0013,0.9670 ± 0.0013,0.0184 ± 0.0112,0.8541 ± 0.0707,0.0673 ± 0.0163
HC with fairness constraints and equal number of protected attribute lambda = 0.5,mlp,0.7350 ± 0.0257,0.9602 ± 0.0000,0.8324 ± 0.0165,0.9638 ± 0.0022,0.9638 ± 0.0022,0.0306 ± 0.0173,0.7901 ± 0.0932,0.0836 ± 0.0180
HC with fairness constraints and same size as original dataset lambda = 0.6,logistic_regression,0.8942 ± 0.0021,0.9602 ± 0.0000,0.9260 ± 0.0011,0.9748 ± 0.0001,0.9748 ± 0.0001,0.0435 ± 0.0014,0.5597 ± 0.0143,0.0428 ± 0.0000
HC with fairness constraints and same size as original dataset lambda = 0.6,random_forest,0.9135 ± 0.0095,0.9222 ± 0.0058,0.9177 ± 0.0032,0.9570 ± 0.0025,0.9570 ± 0.0025,0.0415 ± 0.0071,0.5539 ± 0.0760,0.0501 ± 0.0164
HC with fairness constraints and same size as original dataset lambda = 0.6,xgboost,0.9115 ± 0.0075,0.9239 ± 0.0055,0.9176 ± 0.0035,0.9577 ± 0.0026,0.9577 ± 0.0026,0.0430 ± 0.0052,0.5403 ± 0.0568,0.0337 ± 0.0275
