fam_inc,lsat_bin,admit,ugpa_bin,race,male
3.0,lsat_39_43,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_35_39,0,ugpa_3.5_3.75,White,1.0
5.0,lsat_39_43,0,ugpa_3.0_3.25,Non-White,0.0
4.0,lsat_23_27,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_35_39,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_35_39,0,ugpa_2.25_2.5,White,0.0
2.0,lsat_27_31,0,ugpa_3.25_3.5,Non-White,0.0
2.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_35_39,0,ugpa_3.75_4.0,White,1.0
2.0,lsat_27_31,0,ugpa_2.75_3.0,Non-White,0.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,0.0
5.0,lsat_39_43,0,ugpa_2.25_2.5,Non-White,1.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_27_31,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_27_31,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_39_43,0,ugpa_3.75_4.0,Non-White,1.0
4.0,lsat_23_27,0,ugpa_2.75_3.0,White,0.0
3.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_23_27,0,ugpa_2.25_2.5,White,0.0
3.0,lsat_39_43,0,ugpa_3.0_3.25,White,1.0
5.0,lsat_23_27,0,ugpa_2.25_2.5,White,0.0
3.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_27_31,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_35_39,0,ugpa_2.5_2.75,Non-White,0.0
3.0,lsat_39_43,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_27_31,0,ugpa_2.0_2.25,White,1.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_23_27,0,ugpa_2.25_2.5,Non-White,1.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,Non-White,0.0
4.0,lsat_27_31,0,ugpa_2.25_2.5,White,0.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_39_43,0,ugpa_3.75_4.0,White,1.0
3.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
5.0,lsat_39_43,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_31_35,0,ugpa_3.5_3.75,White,1.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,Non-White,0.0
5.0,lsat_23_27,0,ugpa_3.5_3.75,White,1.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_35_39,0,ugpa_3.75_4.0,White,0.0
5.0,lsat_35_39,0,ugpa_3.75_4.0,White,0.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,Non-White,1.0
3.0,lsat_31_35,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_27_31,0,ugpa_3.75_4.0,White,0.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
2.0,lsat_23_27,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_35_39,0,ugpa_2.5_2.75,White,1.0
4.0,lsat_27_31,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,0.0
1.0,lsat_19_23,0,ugpa_2.75_3.0,White,1.0
5.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_31_35,0,ugpa_3.5_3.75,White,1.0
3.0,lsat_35_39,0,ugpa_3.25_3.5,Non-White,1.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,White,0.0
3.0,lsat_31_35,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_23_27,0,ugpa_2.5_2.75,White,0.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
2.0,lsat_35_39,0,ugpa_3.5_3.75,White,1.0
2.0,lsat_23_27,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,Non-White,1.0
3.0,lsat_31_35,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
2.0,lsat_31_35,0,ugpa_3.25_3.5,Non-White,1.0
3.0,lsat_35_39,0,ugpa_2.25_2.5,White,1.0
2.0,lsat_31_35,0,ugpa_3.0_3.25,Non-White,1.0
2.0,lsat_39_43,0,ugpa_3.0_3.25,White,1.0
5.0,lsat_39_43,0,ugpa_2.5_2.75,White,0.0
3.0,lsat_23_27,0,ugpa_2.25_2.5,White,0.0
1.0,lsat_31_35,0,ugpa_3.75_4.0,Non-White,0.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
5.0,lsat_27_31,0,ugpa_2.5_2.75,White,0.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
3.0,lsat_35_39,0,ugpa_2.25_2.5,White,0.0
3.0,lsat_27_31,0,ugpa_3.25_3.5,White,0.0
2.0,lsat_27_31,0,ugpa_2.25_2.5,Non-White,0.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_27_31,0,ugpa_3.75_4.0,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_39_43,0,ugpa_3.75_4.0,White,1.0
3.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_2.5_2.75,White,0.0
5.0,lsat_39_43,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
5.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_35_39,0,ugpa_2.25_2.5,Non-White,0.0
4.0,lsat_35_39,0,ugpa_3.5_3.75,Non-White,0.0
3.0,lsat_35_39,0,ugpa_3.25_3.5,Non-White,1.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_39_43,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_27_31,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_39_43,0,ugpa_2.25_2.5,Non-White,0.0
3.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_35_39,0,ugpa_3.75_4.0,White,1.0
2.0,lsat_31_35,0,ugpa_3.0_3.25,Non-White,1.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_27_31,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,Non-White,0.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
1.0,lsat_23_27,0,ugpa_2.75_3.0,Non-White,0.0
5.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
5.0,lsat_39_43,0,ugpa_3.5_3.75,Non-White,1.0
4.0,lsat_35_39,0,ugpa_2.25_2.5,White,0.0
1.0,lsat_31_35,0,ugpa_3.0_3.25,Non-White,1.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_35_39,0,ugpa_3.5_3.75,White,1.0
3.0,lsat_39_43,0,ugpa_3.75_4.0,White,1.0
4.0,lsat_39_43,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_19_23,0,ugpa_2.5_2.75,White,1.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,Non-White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
5.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
2.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_39_43,0,ugpa_3.75_4.0,White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_23_27,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_35_39,0,ugpa_3.5_3.75,White,0.0
1.0,lsat_27_31,0,ugpa_2.25_2.5,Non-White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
5.0,lsat_23_27,0,ugpa_2.25_2.5,White,0.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
2.0,lsat_27_31,0,ugpa_2.5_2.75,Non-White,1.0
3.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
2.0,lsat_35_39,0,ugpa_2.75_3.0,Non-White,1.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_39_43,0,ugpa_2.75_3.0,White,0.0
3.0,lsat_23_27,0,ugpa_2.5_2.75,White,1.0
1.0,lsat_35_39,0,ugpa_2.5_2.75,Non-White,1.0
5.0,lsat_31_35,0,ugpa_3.75_4.0,White,0.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_31_35,0,ugpa_2.5_2.75,White,1.0
4.0,lsat_35_39,0,ugpa_3.75_4.0,Non-White,1.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_27_31,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_39_43,0,ugpa_3.75_4.0,Non-White,0.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_3.5_3.75,White,1.0
2.0,lsat_31_35,0,ugpa_2.25_2.5,White,1.0
3.0,lsat_27_31,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_23_27,0,ugpa_2.5_2.75,White,1.0
4.0,lsat_27_31,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,White,0.0
5.0,lsat_31_35,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_27_31,0,ugpa_2.75_3.0,Non-White,0.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,Non-White,1.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_39_43,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_23_27,0,ugpa_3.25_3.5,Non-White,1.0
5.0,lsat_39_43,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_35_39,0,ugpa_3.5_3.75,White,1.0
2.0,lsat_43_47,0,ugpa_2.0_2.25,White,1.0
2.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,Non-White,1.0
4.0,lsat_39_43,0,ugpa_2.5_2.75,White,0.0
4.0,lsat_31_35,0,ugpa_2.25_2.5,White,1.0
3.0,lsat_35_39,0,ugpa_2.5_2.75,Non-White,0.0
3.0,lsat_27_31,0,ugpa_2.0_2.25,White,0.0
3.0,lsat_31_35,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_2.25_2.5,Non-White,1.0
4.0,lsat_31_35,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,Non-White,1.0
3.0,lsat_31_35,0,ugpa_2.25_2.5,Non-White,1.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,Non-White,1.0
2.0,lsat_39_43,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
2.0,lsat_39_43,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_27_31,0,ugpa_3.0_3.25,White,0.0
2.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_35_39,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_35_39,0,ugpa_2.25_2.5,Non-White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_23_27,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_27_31,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,Non-White,1.0
4.0,lsat_39_43,0,ugpa_3.75_4.0,White,0.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,Non-White,1.0
3.0,lsat_31_35,0,ugpa_2.25_2.5,Non-White,0.0
3.0,lsat_39_43,0,ugpa_3.0_3.25,Non-White,0.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_27_31,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_19_23,0,ugpa_3.75_4.0,White,0.0
3.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
2.0,lsat_19_23,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_27_31,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
5.0,lsat_39_43,0,ugpa_3.75_4.0,White,1.0
3.0,lsat_31_35,0,ugpa_3.75_4.0,White,1.0
3.0,lsat_35_39,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,Non-White,0.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_39_43,0,ugpa_2.5_2.75,White,1.0
1.0,lsat_19_23,0,ugpa_2.25_2.5,Non-White,1.0
3.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_35_39,0,ugpa_2.75_3.0,White,0.0
5.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_39_43,0,ugpa_3.0_3.25,White,1.0
5.0,lsat_39_43,0,ugpa_2.5_2.75,White,1.0
5.0,lsat_35_39,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_43_47,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_43_47,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,0.0
5.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
2.0,lsat_31_35,0,ugpa_2.75_3.0,White,0.0
3.0,lsat_39_43,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_3.75_4.0,White,0.0
3.0,lsat_35_39,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_27_31,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_23_27,0,ugpa_3.0_3.25,White,1.0
2.0,lsat_35_39,0,ugpa_3.5_3.75,White,0.0
1.0,lsat_19_23,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_35_39,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_15_19,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_3.75_4.0,White,0.0
4.0,lsat_27_31,0,ugpa_3.75_4.0,Non-White,0.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_11_15,0,ugpa_1.75_2.0,Non-White,0.0
4.0,lsat_27_31,0,ugpa_3.25_3.5,Non-White,0.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_35_39,0,ugpa_3.75_4.0,White,1.0
4.0,lsat_43_47,0,ugpa_2.75_3.0,White,1.0
5.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
5.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
2.0,lsat_23_27,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_27_31,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_35_39,0,ugpa_3.0_3.25,White,0.0
3.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_31_35,0,ugpa_2.0_2.25,White,0.0
2.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_39_43,0,ugpa_3.75_4.0,White,1.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_31_35,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_27_31,0,ugpa_2.75_3.0,White,0.0
5.0,lsat_31_35,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_27_31,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_27_31,0,ugpa_2.75_3.0,White,0.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_39_43,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_43_47,0,ugpa_2.0_2.25,Non-White,0.0
2.0,lsat_35_39,0,ugpa_3.75_4.0,Non-White,1.0
3.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_43_47,0,ugpa_2.25_2.5,White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
5.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_3.5_3.75,White,0.0
4.0,lsat_27_31,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_31_35,0,ugpa_2.5_2.75,White,1.0
4.0,lsat_19_23,0,ugpa_2.5_2.75,White,1.0
5.0,lsat_35_39,0,ugpa_2.5_2.75,White,0.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,Non-White,1.0
3.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_39_43,0,ugpa_3.75_4.0,Non-White,1.0
3.0,lsat_35_39,0,ugpa_2.0_2.25,Non-White,1.0
4.0,lsat_31_35,0,ugpa_3.25_3.5,White,1.0
4.0,lsat_35_39,0,ugpa_2.75_3.0,White,0.0
3.0,lsat_31_35,0,ugpa_3.75_4.0,White,1.0
3.0,lsat_27_31,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_31_35,0,ugpa_2.25_2.5,Non-White,1.0
5.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
3.0,lsat_27_31,0,ugpa_2.5_2.75,White,0.0
4.0,lsat_31_35,0,ugpa_3.0_3.25,White,0.0
4.0,lsat_39_43,0,ugpa_3.75_4.0,White,1.0
3.0,lsat_31_35,0,ugpa_3.0_3.25,White,1.0
4.0,lsat_43_47,0,ugpa_2.75_3.0,White,0.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_39_43,0,ugpa_3.75_4.0,White,0.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,0.0
3.0,lsat_31_35,0,ugpa_2.75_3.0,White,0.0
3.0,lsat_39_43,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,1.0
3.0,lsat_35_39,0,ugpa_2.75_3.0,Non-White,0.0
3.0,lsat_39_43,0,ugpa_3.5_3.75,White,1.0
3.0,lsat_31_35,0,ugpa_3.75_4.0,White,1.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,1.0
2.0,lsat_35_39,0,ugpa_3.5_3.75,White,1.0
3.0,lsat_23_27,0,ugpa_3.0_3.25,White,0.0
1.0,lsat_35_39,0,ugpa_2.0_2.25,Non-White,0.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_39_43,0,ugpa_3.5_3.75,White,1.0
3.0,lsat_35_39,0,ugpa_3.5_3.75,White,0.0
3.0,lsat_35_39,0,ugpa_2.75_3.0,White,0.0
5.0,lsat_23_27,0,ugpa_3.0_3.25,White,0.0
3.0,lsat_39_43,0,ugpa_3.0_3.25,White,1.0
3.0,lsat_23_27,0,ugpa_2.5_2.75,Non-White,0.0
3.0,lsat_35_39,0,ugpa_3.5_3.75,White,1.0
4.0,lsat_39_43,0,ugpa_3.25_3.5,White,1.0
5.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
3.0,lsat_23_27,0,ugpa_3.5_3.75,Non-White,0.0
4.0,lsat_31_35,0,ugpa_3.5_3.75,Non-White,0.0
4.0,lsat_31_35,0,ugpa_2.75_3.0,White,1.0
4.0,lsat_35_39,0,ugpa_3.25_3.5,White,0.0
4.0,lsat_35_39,0,ugpa_3.0_3.25,White,0.0
3.0,lsat_27_31,0,ugpa_3.0_3.25,White,1.0
