age_cat,marital_status_cat,hours_per_week_cat,capital_loss_cat,income_f,education_cat,occupation_cat,race_cat,native_country_cat,workclass_cat,relationship_cat,sex
age_40-50,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,Black,United-States,Private,Married,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,Blue-collar,White,United-States,Private,Not-in-family,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Own-child,Female
age_40-50,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Doctorate,White-collar,White,United-States,Private,Married,Female
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,Some-college,Blue-collar,White,United-States,Private,Not-in-family,Female
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,Other-race,native_country_Non-US,Private,Not-in-family,Female
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Self-emp,Own-child,Male
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Self-emp,Own-child,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,native_country_Non-US,Private,Unmarried,Female
age_60+,Divorced-Separated-Widowed,hours_per_week_0-20,capital_loss_0,1,Some-college,White-collar,White,native_country_Non-US,Private,Unmarried,Female
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Some-college,Other-occupation,White,United-States,Other-workclass,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Assoc-acdm,White-collar,White,United-States,Self-emp,Married,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Prof-school,Other-occupation,White,United-States,Other-workclass,Own-child,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Assoc-acdm,White-collar,White,United-States,Private,Other-relative,Female
age_40-50,Married-civ-spouse,hours_per_week_60+,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Married,Male
age_50-60,Never-married,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Gov,Not-in-family,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_60+,capital_loss_0,1,Assoc-voc,Blue-collar,White,native_country_Non-US,Self-emp,Unmarried,Female
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Female
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Female
age_60+,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_25-30,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Assoc-acdm,White-collar,White,United-States,Private,Married,Male
age_20-25,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,Black,United-States,Gov,Married,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Self-emp,Married,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Gov,Not-in-family,Female
age_50-60,Never-married,hours_per_week_40-60,capital_loss_0,1,Assoc-acdm,White-collar,White,United-States,Private,Own-child,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Some-college,Blue-collar,Black,United-States,Private,Unmarried,Male
age_20-25,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_25-30,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Unmarried,Female
age_50-60,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Doctorate,White-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_60+,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Self-emp,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_60+,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_60+,capital_loss_0,1,Bachelors,White-collar,Black,United-States,Private,Not-in-family,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Doctorate,White-collar,White,United-States,Private,Not-in-family,Female
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,Other-race,native_country_Non-US,Gov,Unmarried,Female
age_60+,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Married,Male
age_50-60,Never-married,hours_per_week_40-60,capital_loss_40+,1,Some-college,Other-occupation,White,United-States,Private,Own-child,Female
age_25-30,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Gov,Not-in-family,Male
age_35-40,Married-civ-spouse,hours_per_week_60+,capital_loss_0,1,Doctorate,White-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Female
age_60+,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Married,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Doctorate,White-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Assoc-acdm,White-collar,White,United-States,Self-emp,Married,Male
age_40-50,Never-married,hours_per_week_40-60,capital_loss_40+,1,education_Some-HS,Blue-collar,White,United-States,Private,Not-in-family,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,Other-race,United-States,Gov,Not-in-family,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Self-emp,Not-in-family,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Own-child,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_60+,capital_loss_40+,1,Bachelors,White-collar,White,United-States,Gov,Unmarried,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_40+,1,HS-grad,Blue-collar,White,United-States,Private,Own-child,Female
age_30-35,Never-married,hours_per_week_40-60,capital_loss_0,1,Some-college,Blue-collar,White,native_country_Non-US,Private,Own-child,Male
age_60+,Married-civ-spouse,hours_per_week_60+,capital_loss_0,1,Some-college,White-collar,White,native_country_Non-US,Private,Not-in-family,Male
age_30-35,Married-civ-spouse,hours_per_week_0-20,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_60+,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,Some-college,White-collar,White,United-States,Private,Own-child,Female
age_40-50,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,White,United-States,Self-emp,Married,Male
age_30-35,Never-married,hours_per_week_40-60,capital_loss_0,1,Assoc-acdm,Blue-collar,White,United-States,Private,Own-child,Female
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_40+,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_35-40,Never-married,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Own-child,Male
age_30-35,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Own-child,Male
age_25-30,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Doctorate,White-collar,White,United-States,Gov,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,native_country_Non-US,Private,Married,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Female
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Self-emp,Married,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Self-emp,Not-in-family,Male
age_35-40,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Own-child,Female
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,education_Some-HS,Blue-collar,White,United-States,Private,Own-child,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Some-college,Other-occupation,White,United-States,Other-workclass,Not-in-family,Female
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Married,Male
age_50-60,Never-married,hours_per_week_0-20,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Not-in-family,Female
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_40-50,Never-married,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,education_Some-HS,Blue-collar,Other-race,United-States,Private,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_60+,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,Other-occupation,White,United-States,Other-workclass,Not-in-family,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,Blue-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,United-States,Gov,Married,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Male
age_25-30,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,education_Some-HS,Blue-collar,White,United-States,Private,Married,Female
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,United-States,Private,Married,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_60+,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Not-in-family,Female
age_40-50,Never-married,hours_per_week_60+,capital_loss_0,1,Prof-school,White-collar,White,native_country_Non-US,Private,Not-in-family,Female
age_40-50,Divorced-Separated-Widowed,hours_per_week_21-39,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Female
age_25-30,Never-married,hours_per_week_21-39,capital_loss_40+,1,HS-grad,Blue-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Married-other,hours_per_week_21-39,capital_loss_0,1,education_Some-HS,White-collar,White,United-States,Private,Own-child,Female
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Female
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,Assoc-acdm,Blue-collar,White,native_country_Non-US,Private,Not-in-family,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,United-States,Self-emp,Not-in-family,Female
age_25-30,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,Bachelors,Other-occupation,White,United-States,Other-workclass,Unmarried,Female
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Prof-school,Other-occupation,White,United-States,Other-workclass,Own-child,Male
age_50-60,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,Black,United-States,Gov,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_50-60,Married-other,hours_per_week_40-60,capital_loss_0,1,Masters,Other-occupation,White,United-States,Other-workclass,Other-relative,Male
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,Bachelors,Blue-collar,White,United-States,Private,Not-in-family,Female
age_60+,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,education_Some-HS,Blue-collar,Other-race,United-States,Self-emp,Married,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Married,Male
age_50-60,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Female
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,education_Some-HS,White-collar,White,United-States,Private,Not-in-family,Male
age_60+,Never-married,hours_per_week_60+,capital_loss_0,1,Assoc-voc,Blue-collar,Other-race,United-States,Private,Own-child,Female
age_50-60,Never-married,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Not-in-family,Female
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,Other-race,native_country_Non-US,Private,Married,Female
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Self-emp,Married,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,Masters,White-collar,White,United-States,Gov,Not-in-family,Female
age_25-30,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Other-relative,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Some-college,Blue-collar,Other-race,native_country_Non-US,Private,Married,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,Black,United-States,Private,Married,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,United-States,Private,Other-relative,Male
age_40-50,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Bachelors,Blue-collar,Other-race,United-States,Private,Married,Male
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,education_Some-HS,Other-occupation,White,United-States,Other-workclass,Not-in-family,Female
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,native_country_Non-US,Private,Married,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,Black,United-States,Private,Not-in-family,Female
age_0-20,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Married,Male
age_0-20,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Gov,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Assoc-voc,White-collar,White,United-States,Private,Married,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Own-child,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_40+,1,education_Some-HS,White-collar,White,United-States,Gov,Married,Male
age_60+,Never-married,hours_per_week_0-20,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Other-relative,Male
age_20-25,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Other-occupation,White,native_country_Non-US,Other-workclass,Married,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Not-in-family,Female
age_35-40,Never-married,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,United-States,Gov,Unmarried,Female
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,Blue-collar,White,native_country_Non-US,Private,Married,Male
age_30-35,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Own-child,Female
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,Black,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Married,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Gov,Unmarried,Female
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Married,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Some-college,Blue-collar,White,United-States,Private,Unmarried,Female
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Some-college,Blue-collar,Black,United-States,Gov,Own-child,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,native_country_Non-US,Private,Unmarried,Female
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Married,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_40+,1,education_Some-HS,White-collar,White,United-States,Private,Married,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Married,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Masters,White-collar,White,United-States,Gov,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Own-child,Female
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Doctorate,White-collar,White,United-States,Self-emp,Married,Male
age_30-35,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,native_country_Non-US,Self-emp,Not-in-family,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,Black,United-States,Self-emp,Not-in-family,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,Other-race,United-States,Private,Unmarried,Male
age_30-35,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Own-child,Male
age_20-25,Never-married,hours_per_week_40-60,capital_loss_0,1,Some-college,White-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,Blue-collar,White,United-States,Private,Married,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,HS-grad,White-collar,White,United-States,Private,Not-in-family,Male
age_40-50,Never-married,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Not-in-family,Female
age_25-30,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Prof-school,White-collar,White,United-States,Private,Married,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Gov,Married,Female
age_40-50,Never-married,hours_per_week_40-60,capital_loss_40+,1,Masters,White-collar,White,United-States,Private,Own-child,Female
age_35-40,Divorced-Separated-Widowed,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Other-relative,Female
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,Other-occupation,White,United-States,Other-workclass,Married,Male
age_60+,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,education_Some-HS,Blue-collar,White,United-States,Private,Married,Male
age_40-50,Divorced-Separated-Widowed,hours_per_week_21-39,capital_loss_40+,1,Bachelors,White-collar,White,United-States,Private,Not-in-family,Female
age_35-40,Married-civ-spouse,hours_per_week_0-20,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Other-relative,Male
age_25-30,Never-married,hours_per_week_40-60,capital_loss_40+,1,Some-college,White-collar,White,United-States,Private,Not-in-family,Female
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_40+,1,Assoc-acdm,White-collar,White,United-States,Gov,Married,Male
age_30-35,Married-civ-spouse,hours_per_week_60+,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_30-35,Never-married,hours_per_week_40-60,capital_loss_0,1,Masters,Other-occupation,Black,United-States,Other-workclass,Own-child,Male
age_30-35,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,Blue-collar,White,United-States,Private,Married,Male
age_40-50,Married-other,hours_per_week_40-60,capital_loss_40+,1,HS-grad,Other-occupation,White,United-States,Other-workclass,Not-in-family,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Married,Male
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_40+,1,Bachelors,White-collar,White,United-States,Gov,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Assoc-voc,White-collar,White,native_country_Non-US,Private,Married,Male
age_40-50,Never-married,hours_per_week_0-20,capital_loss_40+,1,Some-college,Blue-collar,Black,United-States,Private,Not-in-family,Female
age_60+,Married-civ-spouse,hours_per_week_60+,capital_loss_0,1,HS-grad,Other-occupation,White,United-States,Other-workclass,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_40-50,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Gov,Married,Male
age_25-30,Never-married,hours_per_week_21-39,capital_loss_0,1,Masters,White-collar,White,United-States,Private,Own-child,Female
age_25-30,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Female
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_40+,1,Some-college,Blue-collar,White,United-States,Private,Other-relative,Female
age_0-20,Married-civ-spouse,hours_per_week_0-20,capital_loss_0,1,Some-college,White-collar,White,native_country_Non-US,Private,Married,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Other-relative,Female
age_35-40,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Not-in-family,Male
age_30-35,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Masters,Blue-collar,White,United-States,Private,Not-in-family,Female
age_35-40,Married-other,hours_per_week_0-20,capital_loss_0,1,Assoc-voc,White-collar,White,United-States,Private,Not-in-family,Female
age_50-60,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,Assoc-acdm,Other-occupation,Black,United-States,Other-workclass,Other-relative,Female
age_35-40,Never-married,hours_per_week_40-60,capital_loss_40+,1,Some-college,White-collar,White,United-States,Private,Not-in-family,Male
age_35-40,Divorced-Separated-Widowed,hours_per_week_40-60,capital_loss_0,1,HS-grad,White-collar,White,United-States,Private,Unmarried,Female
age_30-35,Married-civ-spouse,hours_per_week_21-39,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
age_50-60,Married-civ-spouse,hours_per_week_40-60,capital_loss_0,1,Bachelors,White-collar,White,United-States,Private,Married,Male
